_id,minimumDepthInMeters,dynamicProperties,verbatimLatitude,month,continent,occurrenceID,latestEpochOrHighestSeries,maximumDepthInMeters,waterBody,kingdom,decimalLatitude,earliestEraOrLowestErathem,infraspecificEpithet,latestEraOrHighestErathem,recordNumber,day,individualCount,lifeStage,scientificName,lowestBiostratigraphicZone,habitat,sex,year,eventTime,latestEonOrHighestEonothem,otherCatalogNumbers,latestPeriodOrHighestSystem,specificEpithet,geodeticDatum,collectionCode,higherGeography,latestAgeOrHighestStage,formation,earliestEpochOrLowestSeries,group,highestBiostratigraphicZone,earliestAgeOrLowestStage,country,decimalLongitude,genus,family,phylum,higherClassification,islandGroup,catalogNumber,verbatimLongitude,preparations,maximumElevationInMeters,earliestEonOrLowestEonothem,modified,bed,island,minimumElevationInMeters,subgenus,institutionCode,identificationQualifier,identifiedBy,earliestPeriodOrLowestSystem,georeferenceProtocol,locality,stateProvince,member,taxonRank,typeStatus,recordedBy,class,basisOfRecord,dateIdentified,scientificNameAuthorship,order
1102355,,"{""identificationdescription"": ""Sand, shell, stones"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",54 35 45 N,8,,00e2b1ba-4360-4fea-9d9d-c7fe9ebccc38,,,Northeast Atlantic Ocean,,54.5958,,,,,3,,,"Sand, shell, stones",,,,1961,,,NHMUK:ecatalogue:15567,,,,MIN,,,,,,,,,-5.3467,,,,,,"BM.1961,467(8)",005 20 48 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
232558,,"{""identificationdescription"": ""Globigerina ooze"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",17 31 42 S,8,,0029a5a9-bb30-4e5d-a647-0cb639d35dd2,,,Western Central Pacific Ocean,,-17.5283,,,,,13,,,Globigerina ooze,,,,1925,,,NHMUK:ecatalogue:30957,,,,MIN,,,,,,,,,179.3833,,,,,,,179 23 00 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
558391,,"{""identificationdescription"": ""Medium sand and shells,gravel"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",50 16 23 N,9,,00f502f8-c4a5-40e7-ab21-e314a80ef8e3,,,Northeast Atlantic Ocean,,50.2731,,,,,5,,,"Medium sand and shells,gravel",,,,1977,,,NHMUK:ecatalogue:23343,,,,MIN,,,,,,,,,-5.9114,,,,,,"BM.1977,O2462",005 54 41 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
488733,,"{""identificationdescription"": ""Broken shell, brown mud, some gravel"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",51 51 12 N,10,,0014c700-9be6-46d4-b15d-54ddfcbb9eda,,,Northeast Atlantic Ocean,,51.8533,,,,,15,,,"Broken shell, brown mud, some gravel",,,,1971,,,NHMUK:ecatalogue:19336,,,,MIN,,,,,,,,,1.8183,,,,,,"BM.1972,O174",001 49 06 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
982747,,"{""identificationdescription"": ""Mud sand broken shells and gravel"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",49 41 36 N,4,,00742bd8-96ba-4439-9955-50ebb05ea457,,,Northeast Atlantic Ocean,,49.6933,,,,,22,,,Mud sand broken shells and gravel,,,,1973,,,NHMUK:ecatalogue:20119,,,,MIN,,,,,,,,,-4.3489,,,,,,"BM.1973,O152",004 20 56 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
623766,,"{""identificationdescription"": ""Buff fine sand"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",50   N,07-Feb,,0031a3e6-6438-4b4b-a96b-26e041d1add5,,,Northeast Atlantic Ocean,,50,,,,,,,,Buff fine sand,,,,1973,,,NHMUK:ecatalogue:28984,,,,MIN,,,,,,,,,1,,,,,,"BM.1988,O268",001   E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
508170,,"{""identificationdescription"": ""Coral sand"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",18 45 30 N,1,,00b07b39-c5c5-4ce3-a2fd-7e5e49632129,,,Western Indian Ocean,,18.7583,,,,,29,,,Coral sand,,,,1868,,,NHMUK:ecatalogue:37294,,,,MIN,,,,,,,,,70.82,,,,,,,070 49  E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
1021168,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",35 36 18 N,6,,00081f9e-bf02-4523-a7de-2800dfb21e8c,,,Eastern Central Atlantic Ocean,,35.605,,,,,2,,,,,,,1954,,,NHMUK:ecatalogue:12630,,,,MIN,,,,,,,,,34.2417,,,,,,"BM.1954,208(13)",034 14 30 E,,,,03/09/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
568187,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",23 00 44 S,7,,00ea5210-4dc6-4a50-a104-77daf8d83381,,,Western Central Pacific Ocean,,-23.0122,,,,,23,,,,,,,1901,,,NHMUK:ecatalogue:32664,,,,MIN,,,,,,,,,174.7819,,,,,,,174 46 55 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
477154,,"{""identificationdescription"": ""Cobbles"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",11 58 18 N,12,,00790ab5-5610-4774-bdd6-444ea93a8681,,,Western Central Atlantic Ocean,,11.9717,,,,,21,,,Cobbles,,,,1975,,,NHMUK:ecatalogue:21705,,,,MIN,,,,,,,,,-61.96,,,,,,"BM.1976,O78",061 57 36 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
