"area","diam.max"
182185.668,561.94272
183477.0096,561.07141
118124.4744,443.66999
170550.2808,537.51376
125240.166,450.6441
220273.5888,607.50646
287150.4396,678.80972
200530.7064,602.8373
386317.4868,791.7574
173146.2768,509.93359
143977.932,493.58981
319027.9392,717.52764
279429.0156,686.97799
238951.4472,622.12248
216985.3272,603.1795
276826.3632,657.62171
253622.1528,632.02102
150980.4648,494.66748
190426.2912,567.23047
240742.0188,601.75424
201602.3868,592.55248
138100.3308,500.17411
225172.6992,738.7365
