Measurement Table conglobatus20.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,115697.7123,1.053243539,412.4339225,363.2483304,0.940553671,115272.0975,1297.086118,216.5406504,163.7882671,1,1.161458201
Mean value,115697.7123,1.053243539,412.4339225,363.2483304,0.940553671,115272.0975,1297.086118,216.5406504,163.7882671,1,1.161458201
Standard Deviation,0,0,0,0,0,0,0,0,0,0,0
Minimum,115697.7123,1.053243539,412.4339225,363.2483304,0.940553671,115272.0975,1297.086118,216.5406504,163.7882671,1,1.161458201
Maximum,115697.7123,1.053243539,412.4339225,363.2483304,0.940553671,115272.0975,1297.086118,216.5406504,163.7882671,1,1.161458201
Range,0,0,0,0,0,0,0,0,0,0,0
Sum,115697.7123,1.053243539,412.4339225,363.2483304,0.940553671,115272.0975,1297.086118,216.5406504,163.7882671,1,1.161458201
Index of Minimum,1,1,1,1,1,1,1,1,1,1,1
Index of Maximum,1,1,1,1,1,1,1,1,1,1,1
Number of Elements,1,1,1,1,1,1,1,1,1,1,1
