Measurement Table ZF6529_glutinata31 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R2,39658.8312,1.300393749,254.7415231,167.9974286,1.152196022,38725.17757,806.494222,134.5787372,75.54662196,1,1.336593239
P1R3,30612.7836,1.286651238,222.5689304,159.1464797,1.074091564,29844.20522,704.4452501,117.0237179,72.21360654,1,1.323197372
P1R4,48065.8644,1.105789267,264.2328133,222.7931211,0.954052507,47173.23696,834.7186151,137.7130214,102.0853816,1,1.175370204
P1R5,27843.7212,1.140936691,202.2956925,165.9644034,1.05916032,27121.81842,656.4754685,111.494596,69.90391532,1,1.264469495
P1R6,37082.8044,1.337100024,248.4983356,172.2427787,1.076244596,36347.09253,734.9149666,128.9301128,78.89834186,1,1.182482343
P1R7,39019.8168,1.131963118,239.5512981,193.5171992,1.019003624,38171.71266,744.3034138,128.7319624,80.05474783,1,1.15491104
P1R8,41462.7156,1.290452392,259.8125332,170.5339016,1.049364749,40615.15966,773.1727118,131.1232462,83.45282782,1,1.171264628
P1R9,41129.8956,1.284710974,266.8897458,191.0768275,1.125063762,40235.85932,817.4189218,139.8831425,77.14267503,1,1.321497207
P1R10,33921.0144,1.186313621,230.0978175,181.0601281,1.126257695,33154.67693,714.7632933,120.205572,79.13005782,1,1.226224077
P1R12,43905.6144,1.322248068,270.3465776,181.1520135,1.099469752,43032.69686,810.6542301,139.7831105,81.49307998,1,1.21524236
P1R14,65485.6632,1.237409329,323.5303541,229.5040157,1.161130638,64463.48419,1005.306207,166.6350243,92.25846705,1,1.24759352
P1R15,31797.6228,1.194564099,224.8007758,165.140155,1.064918124,31191.75827,673.7366833,114.1774981,76.97008105,1,1.158059009
P1R16,38607.12,1.285183779,250.4195368,174.0878778,1.039979963,37802.99704,754.3783407,125.4669361,83.17072669,1,1.19796008
P1R18,42780.6828,1.124477475,249.6074999,192.5343907,0.979024835,41947.88223,764.2457304,125.9021929,94.28150325,1,1.108016326
P1R19,35392.0788,1.184807101,238.157898,187.6140805,0.992982436,34570.94356,731.9284976,125.9018148,84.95058365,1,1.233150938
P1R20,32403.3552,1.240493326,221.6398701,144.6871729,1.073932473,31655.27174,676.6838297,114.5541879,67.43191959,1,1.151107036
