Measurement Table menardii27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,73905.06592,1.294053129,348.3117577,248.6072301,1.044064063,73566.99438,1020.242437,178.3074632,110.8189297,1,1.125936536
Mean value,73905.06592,1.294053129,348.3117577,248.6072301,1.044064063,73566.99438,1020.242437,178.3074632,110.8189297,1,1.125936536
Standard Deviation,0,0,0,0,0,0,0,0,0,0,0
Minimum,73905.06592,1.294053129,348.3117577,248.6072301,1.044064063,73566.99438,1020.242437,178.3074632,110.8189297,1,1.125936536
Maximum,73905.06592,1.294053129,348.3117577,248.6072301,1.044064063,73566.99438,1020.242437,178.3074632,110.8189297,1,1.125936536
Range,0,0,0,0,0,0,0,0,0,0,0
Sum,73905.06592,1.294053129,348.3117577,248.6072301,1.044064063,73566.99438,1020.242437,178.3074632,110.8189297,1,1.125936536
Index of Minimum,1,1,1,1,1,1,1,1,1,1,1
Index of Maximum,1,1,1,1,1,1,1,1,1,1,1
Number of Elements,1,1,1,1,1,1,1,1,1,1,1
