Measurement Table ruber31,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,28507.53845,1.240902828,210.9723903,143.9793974,1.067663117,27972.97465,685.1217242,108.2627248,66.51517495,1,1.335325008
P1R2,23407.98801,1.238036285,193.5832303,141.3886964,1.053621465,22947.43586,615.4400325,99.84078033,65.23430945,1,1.313492137
P1R3,25251.31778,1.215341485,197.8143236,151.2688374,1.013226353,24760.42491,625.4064849,101.1710105,68.84919812,1,1.257062365
P1R4,27541.51537,1.190519004,202.3793651,162.8585877,0.970746546,27038.78907,603.1705454,103.7207609,74.15039334,1,1.070737888
P1R5,30916.02459,1.249822878,218.7937739,158.2124194,1.047110239,30358.39984,712.4990499,111.8484891,73.09803962,1,1.33069909
P1R6,17063.12208,1.225633113,161.6638365,126.2642734,0.992024232,16665.54115,477.318211,82.31900973,58.77181267,1,1.08789441
P1R7,35709.9963,1.234443086,237.0103668,171.8890601,1.013812098,35126.76808,714.7209684,119.4183135,79.92082275,1,1.157244195
P1R8,28008.09795,1.236954709,209.7853878,147.3739818,1.032256304,27485.65689,623.2161686,106.5463847,70.89094001,1,1.124505181
P1R9,28573.25431,1.187706238,206.0159843,152.26475,0.988515722,28052.45615,625.215575,104.6494314,73.22792577,1,1.108865424
P1R10,29996.0026,1.252083173,217.9586945,163.2817286,1.058933467,29445.14577,695.3402081,113.3893476,71.7049522,1,1.30668569
P1R11,29634.56539,1.386505962,223.9663213,131.3283156,1.095735096,29092.40957,655.7017463,113.9027273,63.59893029,1,1.176042847
P1R12,24518.58598,1.211586449,191.1234123,138.2989514,1.002043013,24035.57443,576.4039485,98.47267302,66.07416854,1,1.099992048
P1R13,37214.88941,1.387878435,253.4960553,163.1408036,1.139531494,36585.66009,758.19352,127.2719977,70.57972054,1,1.250372458
P1R14,50003.19504,1.251679931,279.046086,203.4804051,1.0604919,49334.22791,903.045628,143.4369163,90.26531582,1,1.315410215
P1R15,28218.38869,1.154546396,204.4550224,160.6034669,1.002487691,27698.73937,659.5196984,103.4493765,75.89041915,1,1.249642239
P1R16,29388.13093,1.155423614,207.2562893,164.2648185,0.940228172,28863.81333,655.8632186,105.2200428,80.19614157,1,1.185940777
P1R17,39110.79186,1.082020395,238.0409567,203.5530579,0.999771657,38744.42597,758.8987535,126.566557,87.6806933,1,1.182901562
P1R18,38926.78747,1.151213617,239.2800447,187.346841,1.027214744,38317.2729,735.3520375,121.7571256,86.45907181,1,1.123016573
P1R19,27196.50712,1.303212701,208.7412238,138.9507775,1.077897092,26672.42317,629.6529804,109.5352283,66.67321191,1,1.182851463
P1R20,51619.80511,1.322407339,289.4043172,188.2391822,1.036363937,50905.71977,908.9796541,147.6495951,93.40844157,1,1.29161149
P1R21,23986.28754,1.190918666,191.5784584,151.2471143,1.03164059,23514.77627,569.7670566,99.9062046,66.77888874,1,1.098611084
P1R22,25566.75389,1.035629928,187.1538175,168.1494786,0.996632065,25060.74179,596.4397056,102.4802315,71.91330977,1,1.129612084
P1R23,26752.92509,1.147295171,197.4152693,164.40478,0.98748081,26263.34196,601.5699756,105.4435678,73.70143121,1,1.096509689
P1R24,46530.11204,1.147766962,264.4519129,208.0790521,1.050304353,45846.66713,823.1006026,139.8433483,86.74205546,1,1.175948295
P1R25,135200.5169,1.353471522,474.1316285,305.9074686,1.123437908,133986.4165,1462.078254,240.8136682,140.5568223,3,1.269610838
P1R26,55004.17171,1.24729335,291.3054844,203.9964852,1.064520925,54261.58253,893.7942098,148.7523303,95.6495181,1,1.171582228
P1R27,31063.88526,1.130161182,213.3265817,176.5847496,1.000177562,30521.72945,653.5529525,114.6613469,77.34302792,1,1.113634254
P1R28,77390.27815,1.310894867,352.4337384,234.3334579,1.095192426,76521.18595,1068.709639,177.9109354,105.3621332,1,1.187757872
P1R29,48564.01779,1.215758988,277.3393661,213.2572586,1.046212516,47893.71606,835.4889814,144.4206581,92.61580522,1,1.159826628
P1R30,46073.38684,1.267686127,270.6780526,189.0491165,1.036802438,45409.65669,803.5461781,136.7460638,88.16117541,1,1.131523605
P1R31,63783.8101,1.222221899,316.3521417,217.921003,1.088804739,63113.50837,995.8282053,166.9320162,101.8982163,1,1.250364631
P1R32,52145.53196,1.211674359,286.4543662,215.716012,1.033707079,51429.22912,858.2500681,147.9189506,99.13392636,1,1.139745367
P1R33,67575.61501,1.364161576,338.3153956,219.6331585,1.099673826,66750.88102,1002.361447,172.2469498,99.7416389,1,1.197793256
P1R34,88101.96272,1.23202634,363.4990872,256.383083,1.026946009,87253.11725,1150.56871,188.2371616,126.0379554,2,1.207353162
P1R35,46493.96832,1.088649515,260.5780277,219.7602848,1.02565234,45805.43669,885.1126423,138.392661,92.17004726,1,1.361037895
P1R36,39189.65089,1.190536871,244.7112054,193.1754358,1.050384632,38557.13578,755.1762755,129.4002194,84.02093183,1,1.177015191
P1R37,52602.25716,1.267249562,289.6766765,205.9202668,1.115002119,52198.10464,894.80451,151.7976237,85.93292193,1,1.220651677
P1R38,32043.05152,1.235247287,228.3251821,172.4425266,1.02360655,31495.96702,667.885923,118.4363713,80.37493798,1,1.127041194
P1R39,114529.5943,1.275970281,425.6237954,293.5247407,1.075181762,113420.8345,1425.657223,216.2026843,131.3754508,2,1.426026369
P1R40,106012.8193,1.297447751,408.9582549,280.4086697,1.081167998,104965.744,1334.424701,212.6774538,129.4979081,2,1.349990504
P1R41,105191.3711,1.214363277,402.5813341,317.016181,1.049968581,104362.0246,1244.432894,215.6288167,134.258528,2,1.18083883
P1R42,78106.58098,1.304661618,354.4371829,236.8231356,1.066186467,77217.77402,1071.189446,179.8478511,110.689915,1,1.182511708
P1R43,68157.20034,1.219471027,335.9323655,250.9884855,1.105181383,68142.41427,1034.936193,175.3961783,99.70184969,1,1.250834325
P1R44,73920.48094,1.237066325,336.7578554,248.819027,1.084682333,73059.60322,1041.433364,174.3741991,108.6411516,1,1.181342481
P1R1,46737.11699,1.261521709,276.1223215,191.9468542,1.044886309,46053.277,885.1206862,141.0928687,90.72547114,1,1.353737939
P1R2,38447.06172,1.250011284,243.7694875,173.0416999,1.064007166,37844.11873,742.8373304,126.4553904,79.90058615,1,1.160323804
P1R3,28668.5423,1.229730013,209.4013016,163.311911,1.003749417,28154.76455,660.1420795,107.3210308,74.1176641,1,1.231723114
P1R4,38759.21203,1.24454368,248.8388345,174.9584118,1.086422424,38133.2685,746.4299306,127.7342279,80.63858244,1,1.162690749
P1R5,35460.27605,1.012603805,218.8613434,203.0277588,0.906680515,34888.5481,685.6024908,115.5628779,94.86166961,1,1.072141321
P1R7,42580.58908,1.333098253,266.0437239,163.9544785,1.062122146,41918.50182,797.8960327,133.6360107,77.61601404,1,1.208584489
