Measurement Table sacculifer31,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,43448.03838,1.347379181,267.0299419,163.3923701,1.113164765,42766.23637,872.5223438,137.103939,77.22537541,1,1.416583699
P1R2,41897.14417,1.296877731,259.2189481,169.9280649,1.060050677,41249.84299,780.1987503,132.3441402,80.53748716,1,1.1742981
P1R3,46270.53441,1.276985373,274.1518281,201.9323868,0.991210408,45610.09005,785.2342362,141.600326,95.13608412,1,1.07579044
P1R4,58109.24591,1.307724542,307.3701364,207.2562893,1.078439656,57330.51302,936.1190503,161.4611998,96.50157884,1,1.216372228
P1R5,75924.81455,1.283826633,343.7112085,241.8207078,0.988944887,75095.15187,1019.123072,174.1451468,117.7109496,1,1.10060511
P1R6,67979.76753,1.412954472,343.7112085,189.8036681,1.147041215,67130.39009,1028.316738,175.5808449,89.75550459,1,1.253501321
P1R7,74410.06406,1.375043682,354.886515,222.7526819,1.052051793,73568.9011,1031.09898,180.8491306,107.2727298,1,1.149996723
P1R8,93681.23892,1.393728826,400.777614,246.3705556,1.05382677,92731.6448,1153.302865,202.9570118,120.6012997,1,1.141429089
P1R9,70549.25751,1.352729872,348.4205811,225.7418011,1.115379618,69722.88062,1015.864955,181.9882064,103.7865088,1,1.177841337
P1R10,71811.00195,1.258386725,340.5611762,239.0808478,1.00546232,70979.69637,1007.935043,174.6984328,113.0257999,1,1.138993143
P1R11,83511.71016,1.333368198,372.2875591,230.3168235,1.082904734,82604.48437,1177.2048,189.3359694,112.9204656,1,1.335028636
P1R12,98964.79376,1.100545176,382.796573,326.7847402,1.027036154,98322.42127,1218.187909,204.243901,143.9361519,1,1.201064032
P1R13,116093.6317,1.372478655,447.7455493,271.5990587,1.090077361,115024.1061,1295.199012,225.1504356,133.842041,1,1.160577907
P1R14,130081.2517,1.41059512,475.8230279,284.9362291,1.084549611,128941.0816,1380.701038,242.5548694,131.0872956,1,1.176516849
P1R15,71745.28609,1.228815077,336.889551,261.9927707,1.054953594,70920.5521,1003.450623,174.3370369,109.6355318,1,1.129822094
P1R16,113471.569,1.347903995,433.9266726,290.9612549,1.039743092,112431.6156,1263.595496,223.3793218,137.8329303,1,1.130102523
P1R1,147778.5318,1.397010841,504.461463,310.0152251,1.057340773,146559.5027,1572.636174,259.5867401,149.7420146,1,1.342866058
P1R2,88703.26281,1.176152901,364.7488876,298.3600156,1.000650318,87799.66978,1096.252766,191.2134651,131.9027052,1,1.089227705
P1R3,109127.7509,1.39472786,442.1925424,279.046086,1.173281669,108138.1058,1334.586092,232.3273827,112.7807128,1,1.31070389
P1R4,77653.14157,1.192093678,349.7101779,283.206996,1.043719119,76799.39049,1113.490802,187.6076895,122.9163583,1,1.284711619
P1R5,97404.04218,1.343461753,404.7303166,253.4895743,1.094749111,96424.87592,1184.107851,205.014803,123.1778135,1,1.157133828
P1R6,132841.3177,1.318053665,464.4165437,337.4693748,1.058920958,131718.2235,1432.683313,243.1378443,146.3464603,1,1.240065707
P1R7,69412.37319,1.319241787,338.3493866,235.8220587,1.0092257,68612.28264,973.3567608,175.4066961,110.776105,1,1.098834759
P1R8,187227.7603,1.473046904,586.2877773,288.3977696,1.195801283,185793.5118,1736.665689,298.0802611,144.1088516,1,1.291790426
P1R9,202112.4018,1.099850736,563.0772647,471.7172619,1.035648267,200710.6895,1831.772549,301.6219293,209.4440715,1,1.3303403
P1R10,141111.6582,1.508077973,511.6917044,301.776463,1.155779595,141803.3176,1464.963136,260.4747954,123.8624988,1,1.204362316
P1R11,257234.862,1.155661926,639.5354815,453.98387,1.040003725,255653.354,2065.656138,326.0918355,217.8586098,1,1.328173216
P1R12,126420.8785,1.130616143,454.7215148,369.7858215,0.987778226,125356.2816,1311.452994,228.0065906,171.6088168,1,1.09181615
P1R13,96037.15237,1.151846132,387.3573658,310.6928086,1.082468099,95056.34321,1179.707174,209.4967045,130.4412156,1,1.165084689
P1R14,182588.2209,1.334020417,543.8026786,348.3970039,1.085599553,181328.1193,1628.15105,279.8942427,170.4750002,1,1.163360696
P1R15,182525.7908,1.468119792,575.5551877,311.3689175,1.138165719,181168.6381,1764.796034,291.1482833,141.9199788,1,1.368031748
P1R16,123913.8186,1.391610925,461.2645034,258.3492006,1.133750496,122795.0061,1365.615933,234.8678961,123.2294283,1,1.20855551
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
