"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_sqrt_max"
"calida","G.calida",23,"A",8,25057.58971,10.1289320430582,158.295892903133,56818.6195475,10.9292470239014,237.320635585897,77122.67268125,11.1185495640392,268.935039257268,63198.588045,11.0540329994902,251.393027121455,105452.388075,11.5633057137267,324.51154060438,134912.56673,11.8086097938005,366.961719325375,143339.9578,11.872974415143,378.602638395455
"calida","G.calida",23,"B",5,110296.548,11.6109279082877,332.10924106384,125200.2276,11.7376695555379,353.836441876752,141256.79568,11.8466978069474,374.761438933154,143844.804,11.876490247368,379.26877540868,160272.7992,11.984632637362,400.340853773381,165390.23952,12.0159414764175,406.669676789171,166669.5996,12.0237686861814,408.251882543118
"conglobatus","G.conglobatus",23,"A",3,61099.97486,11.020266733703,247.184091033383,61784.993265,11.0313543205001,248.562053588628,82043.03751,11.2596858315827,282.402854233973,62470.01167,11.0424419072973,249.940016143874,92514.568835,11.3793953805226,300.012235834268,116550.214567,11.6489581591028,340.070011586584,122559.126,11.7163488537479,350.084455524663
"conglobatus","G.conglobatus",23,"B",42,217524.4956,12.2900667466176,466.39521395486,331836.5169,12.712356797533,576.046627890405,393721.939371429,12.8643433665227,624.498231821961,375291.1602,12.8352634166785,612.580409270768,436000.8564,12.9853978676659,660.303342112722,519343.64388,13.1602734720039,720.646492905545,596666.3832,13.2991134140649,772.441831596399
"falconensis","G.falconensis",23,"A",17,28968.60448,10.2739679183915,170.201658276293,34433.39258,10.4467820870577,185.562368437138,37409.0682247059,10.5220821909512,193.048780733531,37081.34179,10.5208692053789,192.565162451571,40248.02363,10.6028161792809,200.619100860312,45088.321966,10.7163763824216,212.339993760256,45276.51335,10.7205437079246,212.782784430508
"falconensis","G.falconensis",23,"B",9,15030.1512,9.61781354257666,122.597517103733,30732.5988,10.333079220374,175.307155586987,34452.0472,10.404802890829,183.812308204035,35245.638,10.4700970559026,187.738216674176,41116.5828,10.624166793563,202.772243662687,43527.53088,10.6810450421398,208.627113878721,44038.7424,10.6928250345706,209.85409788708
"glutinata","G.glutinata",23,"A",18,23495.77401,10.0645758545993,153.283312888259,27678.80994,10.228389690642,166.368135029473,35613.0513838889,10.4519897877244,187.382996238347,35271.8093,10.4707743298762,187.804853955795,43336.29241,10.6763247244706,208.15192331578,49856.1384735,10.8168961588107,223.284840109514,50001.40372,10.8198063584162,223.609936541291
"glutinata","G.glutinata",23,"B",14,36676.764,10.509898700014,191.511785538123,66321.0414,11.0915220197003,256.820938956626,94031.1591428571,11.3787796571916,301.314233653155,90943.065,11.4179164412131,301.562214024295,116779.8816,11.6631199204921,341.318784775231,153352.80576,11.9403226588294,391.58581947792,157264.1064,11.9656818773755,396.565387294454
"inflata","G.inflata",23,"A",30,29565.56374,10.2943655758898,171.946397868638,56096.6978125,10.9348321950978,236.847412716438,75779.5825103333,11.1549726688127,269.990940351018,72760.59607,11.1936238039283,269.65369207931,96923.49498,11.4813057773205,311.296629650652,119602.85842,11.6919274976895,345.836070999672,136366.9734,11.8231048645746,369.278991278952
"inflata","G.inflata",23,"B",9,60373.548,11.0083063409762,245.7102928247,121119.8544,11.7045358665569,348.022778564852,131842.5752,11.716684212016,356.826739713586,122477.76,11.7156847414641,349.968227129264,165997.3032,12.0197268214236,407.427666218189,201746.16504,12.2145019402689,449.13206993277,205516.35,12.2332808717973,453.339111482784
