"Lat.decimal","Long.decimal","IRN","ZF_PF_no.","Former_Museum_no.","IRN_Residue_OBD","Sea_Depth_meters_NOAA","Ocean_Sea","Sample_depth_min_cm","Sample_depth_max_cm","Vessel","Collection_date","slide_no_check","species","total_ind","ind_diam","pop_max_diam","pop_min_diam","ind_asp_ratio","ind_area","ind_area_mm","ind_area_sqrt","ind_area_log","pop_mean","pop_mean_log","pop_mean_sqrt","pop_median","pop_median_log","pop_median_sqrt","pop_95q","pop_95q_log","pop_95q_sqrt","pop_max","pop_max_log","pop_max_sqrt","pop_min","pop_min_log","pop_min_sqrt","pop_sd","pop_sd_log","pop_sd_sqrt","pop_mad","pop_mad_log","pop_mad_sqrt","sample","ocean"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,280.27161,539.54086,207.95824,1.06588,57111.912,0.05711,238.98099,10.95277,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,296.07116,539.54086,207.95824,1.06772,58822.6068,0.05882,242.53372,10.98228,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,277.299,539.54086,207.95824,1.08604,49650.0876,0.04965,222.823,10.81276,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,255.40697,539.54086,207.95824,1.05788,46355.1696,0.04636,215.30251,10.74409,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,286.70522,539.54086,207.95824,1.11848,55188.2124,0.05519,234.92172,10.9185,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,378.31106,539.54086,207.95824,1.43686,55501.0632,0.0555,235.58664,10.92416,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,281.83474,539.54086,207.95824,1.07631,58190.2488,0.05819,241.22655,10.97147,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,268.17111,539.54086,207.95824,1.08791,50289.102,0.05029,224.25232,10.82554,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,252.70833,539.54086,207.95824,1.09451,43839.0504,0.04384,209.37777,10.68828,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,388.14211,539.54086,207.95824,1.54408,59381.7444,0.05938,243.6837,10.99174,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,207.95824,539.54086,207.95824,1.1787,28269.7308,0.02827,168.13605,10.24955,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
