"species","X5A","X5C","X5L","X10A","X10C","X10L","X20A","X20C","X20L","X25A","X25C","X25L","X27A","X27C","X27L","X31A","X31C","X31L","X44A","X44C","X44L","X46A","X46C","X46L","X55A","X55C","X55L","X66A","X66C","X66L"
"Beella_digitata",0,0,0,0,0,0.00300902708124373,0,0,0.0062993700629937,0,0.0196463654223969,0.00159872102318145,0.00531914893617021,0,0.00300902708124373,0.00333333333333333,0,0.00242130750605327,0,0.00314465408805031,0.00300902708124373,0,0.00112549240292628,0,0,0.00560224089635854,0,0,0,0
"Berggrenia_pumilio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candeina_nitida",0,0,0,0,0,0,0,0,0,0,0,0.00159872102318145,0.00265957446808511,0.00280898876404494,0,0,0,0,0,0,0,0,0.00168823860438942,0.005,0,0,0,0,0,0
"Dentagloborotalia_anfracta",0,0,0,0,0,0,0,0,0,0,0,0.00639488409272582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Globigerina_bulloides",0.550314465408805,0.601522842639594,0.192037470725995,0.214689265536723,0.31025641025641,0.119358074222668,0.046594982078853,0.0987654320987654,0.037996200379962,0.0150943396226415,0.0137524557956778,0.184752198241407,0.00531914893617021,0.0252808988764045,0.119358074222668,0.01,0.00399201596806387,0.0823244552058111,0.0262295081967213,0.0566037735849057,0.119358074222668,0.0845921450151057,0.0433314575126618,0.055,0.0230769230769231,0.0280112044817927,0.0964214711729622,0,0,0
"Globigerina_falconensis",0,0,0.109289617486339,0.0225988700564972,0,0.00702106318956871,0.039426523297491,0,0.0094990500949905,0.0641509433962264,0.0353634577603143,0.0152877697841727,0.00531914893617021,0.0196629213483146,0.00702106318956871,0.02,0.00598802395209581,0.145278450363196,0,0,0.00702106318956871,0.0362537764350453,0.00787844682048396,0.015,0,0,0.0178926441351889,0,0,0
"Globigerinella_calida",0.00314465408805031,0,0.00234192037470726,0.00564971751412429,0,0.0280842527582748,0.021505376344086,0,0.0442955704429557,0.030188679245283,0.0294695481335953,0.004396482813749,0.0292553191489362,0.0168539325842697,0.0280842527582748,0.05,0.0459081836327345,0.0177562550443906,0,0.0125786163522013,0.0280842527582748,0.0362537764350453,0.0287000562746201,0,0.0115384615384615,0,0.00298210735586481,0,0,0
"Globigerinella_siphonifera",0,0,0.0179547228727557,0,0,0,0.017921146953405,0.0617283950617284,0.0157984201579842,0.0150943396226415,0.0530451866404715,0.0273780975219824,0.0771276595744681,0.0252808988764045,0,0.0333333333333333,0.0439121756487026,0.0338983050847458,0.0524590163934426,0.0566037735849057,0,0.0422960725075529,0.0607765897580191,0.185,0.00769230769230769,0.0336134453781513,0.0377733598409543,0,0,0
"Globigerinita_glutinata",0.0157232704402516,0.0126903553299492,0.0312256049960968,0.0282485875706215,0.0205128205128205,0.0310932798395186,0.186379928315412,0.234567901234568,0.0664933506649335,0.0679245283018868,0.133595284872299,0.0780375699440448,0.0638297872340425,0.0955056179775281,0.0310932798395186,0.21,0.191616766467066,0.0895883777239709,0.252459016393443,0.0754716981132075,0.0310932798395186,0.196374622356495,0.176702307259426,0.255,0.00769230769230769,0.0336134453781513,0,0,0,0.007
"Globigerinoides_conglobatus",0,0,0,0,0,0.00300902708124373,0.003584229390681,0,0.0094990500949905,0.0113207547169811,0.00785854616895874,0.00559552358113509,0.0319148936170213,0.00280898876404494,0.00300902708124373,0.0266666666666667,0.0499001996007984,0.0686037126715093,0.019672131147541,0.0377358490566038,0.00300902708124373,0.00604229607250755,0.0140686550365785,0.005,0.00769230769230769,0.0196078431372549,0,0,0,0
"Globigerinoides_ruber",0,0,0.0546448087431694,0.0169491525423729,0,0,0.261648745519713,0.345679012345679,0.177182281771823,0.358490566037736,0.430255402750491,0.254796163069544,0.521276595744681,0.581460674157303,0,0.436666666666667,0.3812375249501,0.204196933010492,0.173770491803279,0.286163522012579,0,0.347432024169184,0.294879009566685,0.31,0.261538461538462,0.19327731092437,0.073558648111332,0,0,0
"Globigerinoides_tenellus",0,0,0.00234192037470726,0,0,0,0,0.0617283950617284,0,0.0754716981132075,0.0451866404715128,0.025779376498801,0.023936170212766,0.00280898876404494,0,0.0633333333333333,0.0399201596806387,0.00807102502017756,0,0.00314465408805031,0,0.0181268882175227,0.0140686550365785,0.015,0,0,0.00497017892644135,0,0,0
"Globoconella_inflata",0.30188679245283,0.203045685279188,0.250585480093677,0.327683615819209,0.225641025641026,0.136409227683049,0.03584229390681,0.0740740740740741,0.0031996800319968,0.116981132075472,0.0196463654223969,0.0849320543565148,0.00531914893617021,0.00842696629213483,0.136409227683049,0,0,0.158999192897498,0,0,0.136409227683049,0,0,0,0.134615384615385,0.198879551820728,0.00298210735586481,0,0,0
"Globoquadrina_conglomerata",0,0,0,0,0,0,0.00716845878136201,0,0.0157984201579842,0,0,0,0.00265957446808511,0,0,0,0,0,0,0.0566037735849057,0,0.00302114803625378,0.0084411930219471,0,0,0,0,0,0,0
