OBD_IRN,Vessel,Lat,Long,Depth,Mass (g),N(splits),N(ind),N(ssp)
32657,HMS Challenger,-50.01667,123.06667,-3976,0.187,5,318,7
34991,HMS Challenger,-21.25,-14.03333,-3740,9.35,7,265,21
33668,HMS Challenger,-0.7,147,-2213,1.98,7,331,16
33286,HMS Challenger,24.33333,-24.46667,-5153,2.73,5,260,18
34671,HMS Egeria,-19.56667,64.63333,-2708,1.23,5,376,24
34993,HMS Egeria,-15.65,-179.0625,-2519,2.42,8,300,13
36053,HMS Penguin,-26.93667,111.18167,-3350,1.49,5,279,18
37148,HMS Sealark,-7.59167,61.48333,-3507,2.86,8,305,18
38482,HMS Waterwitch,-40.45,49.81667,-3780,1.51,6,177,11
14609,Alpha 6 ,85.25,-167.9,-1774,0.57,4,226,1
,,,,,,TOTAL,2837,31
