species,sspname,sample,datasetAB,total_ind,area_min,area_log_min,area_sqrt_min,area_25q,area_log_25q,area_sqrt_25q,area_mean,area_log_mean,area_sqrt_mean,area_median,area_log_median,area_sqrt_median,area_75q,area_log_75q,area_sqrt_75q,area_95q,area_log_95q,area_sqrt_95q,area_max,area_log_max,area_sqrt_max,rel_abund
calida,G.calida,23,A,8,25057.58971,10.12893204,158.2958929,56818.61955,10.92924702,237.3206356,77122.67268,11.11854956,268.9350393,63198.58805,11.054033,251.3930271,105452.3881,11.56330571,324.5115406,134912.5667,11.80860979,366.9617193,143339.9578,11.87297442,378.6026384,0.030188679
calida,G.calida,25,A,11,32405.74445,10.38609098,180.0159561,39390.94874,10.58114562,198.4643015,61150.26242,10.92359584,241.1884944,49054.3453,10.80068405,221.4821557,77088.12871,11.22897144,276.0147224,110994.7052,11.61283512,332.7925879,121387.1864,11.7067406,348.4066394,0.029255319
conglobatus,G.conglobatus,23,A,3,61099.97486,11.02026673,247.184091,61784.99327,11.03135432,248.5620536,82043.03751,11.25968583,282.4028542,62470.01167,11.04244191,249.9400161,92514.56884,11.37939538,300.0122358,116550.2146,11.64895816,340.0700116,122559.126,11.71634885,350.0844555,0.011320755
conglobatus,G.conglobatus,25,A,12,73562.32952,11.20588835,271.2237628,96407.62549,11.47334149,310.2667414,161493.431,11.82697035,384.9683554,113624.3584,11.6406388,337.0809116,195895.6818,12.15447443,439.0685052,342852.7654,12.7316265,583.5695319,405236.8277,12.91222693,636.5821453,0.031914894
conglobatus,G.conglobatus,18,A,1,115697.7123,11.65873614,340.1436642,115697.7123,11.65873614,340.1436642,115697.7123,11.65873614,340.1436642,115697.7123,11.65873614,340.1436642,115697.7123,11.65873614,340.1436642,115697.7123,11.65873614,340.1436642,115697.7123,11.65873614,340.1436642,0.003584229
conglobatus,G.conglobatus,29,A,8,53453.2775,10.88656323,231.1996486,93802.81325,11.44554553,306.0162858,177610.6555,11.90268804,403.057604,150758.7459,11.90993093,386.9723192,238691.4903,12.37705553,487.8303354,345881.6092,12.74502218,586.8413272,378533.1895,12.84405903,615.2505095,0.026666667
conglobatus,G.conglobatus,42,A,6,66214.81478,11.10065951,257.3223946,124046.9703,11.65153062,345.1480927,225617.8717,12.14825452,456.2504493,255404.4519,12.43961536,503.9929601,300065.7242,12.61166499,547.7700113,361702.4218,12.79371707,600.7016658,381469.5536,12.85178632,617.6322155,0.019672131
conglobatus,G.conglobatus,44,A,2,160333.5461,11.98501159,400.4167156,226706.561,12.22920498,463.4508226,293079.5758,12.47339838,526.4849297,293079.5758,12.47339838,526.4849297,359452.5907,12.71759177,589.5190367,412551.0025,12.91294649,639.9463224,425825.6055,12.96178516,652.5531438,0.006042296
crassaformis,G.crassaformis,53,A,5,29246.16527,10.28350374,171.0151025,30673.77037,10.33116318,175.1392885,100584.9041,11.16543856,291.1892148,54454.0292,10.90511212,233.3538712,152799.5927,11.93688249,390.8958847,219160.689,12.28380153,466.6127187,235750.9631,12.37053129,485.5419272,0.019230769
dutertrei,N.dutertrei,25,A,11,61867.91564,11.032757,248.7326188,75905.86653,11.23658267,275.4642919,88919.3296,11.37628321,296.7829397,87012.3748,11.37380563,294.9786006,104573.8876,11.55764872,323.3788256,110778.5734,11.61524539,332.8305532,111809.0016,11.62454735,334.3785304,0.029255319
dutertrei,N.dutertrei,18,A,32,51474.99671,10.84885147,226.8810188,81349.52153,11.30651011,285.2183665,118684.3212,11.61911736,339.0710896,117834.5467,11.6763604,343.2123401,146706.3118,11.89618792,383.0225933,195176.1149,12.1814305,441.7623128,200958.1815,12.21085211,448.2835949,0.121863799
dutertrei,N.dutertrei,29,A,4,102129.0122,11.53399212,319.5763011,141082.9075,11.84235779,374.279861,184291.9045,12.03794102,419.9694406,158769.5088,11.97477008,398.4152217,201978.5057,12.17035331,444.1048013,294395.3715,12.5686561,539.5977746,317499.588,12.6682318,563.4710179,0.013333333
dutertrei,N.dutertrei,42,A,21,37191.88886,10.52384598,192.8519869,76634.5458,11.24680324,276.8294526,115590.7489,11.54228468,330.9857801,120450.593,11.69899493,347.0599271,152845.2243,11.93718108,390.9542483,183757.9631,12.12137475,428.6699932,207123.2358,12.24106924,455.1079386,0.068852459
dutertrei,N.dutertrei,44,A,9,59508.99365,10.99388273,243.9446528,85098.74809,11.3515676,291.7168972,140944.4478,11.74775671,365.7526079,159170.3755,11.97773045,398.9616216,193835.4897,12.17476509,440.2675206,226170.3196,12.32695451,475.3265825,237989.9735,12.37998382,487.8421604,0.027190332
falconensis,G.falconensis,23,A,17,28968.60448,10.27396792,170.2016583,34433.39258,10.44678209,185.5623684,37409.06822,10.52208219,193.0487807,37081.34179,10.52086921,192.5651625,40248.02363,10.60281618,200.6191009,45088.32197,10.71637638,212.3399938,45276.51335,10.72054371,212.7827844,0.064150943
glutinata,G.glutinata,23,A,18,23495.77401,10.06457585,153.2833129,27678.80994,10.22838969,166.368135,35613.05138,10.45198979,187.3829962,35271.8093,10.47077433,187.804854,43336.29241,10.67632472,208.1519233,49856.13847,10.81689616,223.2848401,50001.40372,10.81980636,223.6099365,0.067924528
glutinata,G.glutinata,25,A,24,26750.92189,10.19432421,163.5570906,30221.70573,10.31624494,173.8408446,33894.13515,10.4162083,183.4024044,33287.35535,10.41293274,182.4482197,34258.97376,10.4416991,185.0915798,47201.15221,10.76145817,217.2198992,52932.84635,10.87677934,230.071394,0.063829787
glutinata,G.glutinata,18,A,51,22279.36606,10.01141624,149.2627417,28776.97347,10.26731109,169.6369351,39284.47683,10.52651951,195.5692265,35663.9952,10.48189692,188.8491334,44648.99565,10.70652575,211.2998494,63019.86328,11.05051474,250.9942492,84674.88082,11.34657427,290.9894858,0.186379928
glutinata,G.glutinata,29,A,62,20266.76382,9.916737573,142.3613846,27608.87947,10.22589246,166.1591884,33724.92937,10.39183898,182.0296188,30994.70668,10.3415349,176.0515154,38543.17116,10.55949762,196.3223549,47115.31174,10.76031377,217.0584846,81106.50982,11.30351851,284.7920466,0.21
glutinata,G.glutinata,42,A,76,20483.14052,9.927357413,143.1193227,29172.89582,10.28097926,170.8000633,36187.5432,10.45805321,188.3047796,32940.6188,10.40246143,181.4954899,38659.02733,10.56253556,196.6189888,53401.54572,10.8852696,231.0688578,90995.35686,11.41856376,301.6543666,0.252459016
humilis,T.humilis,53,A,3,27354.18488,10.21662481,165.391006,27627.62889,10.22652262,166.2135743,28793.84268,10.26628422,169.6178454,27901.07289,10.23642042,167.0361425,29513.67158,10.29111393,171.7312651,30803.75053,10.33486874,175.4873632,31126.27027,10.34580744,176.4263877,0.011538462
inflata,G.inflata,23,A,30,29565.56374,10.29436558,171.9463979,56096.69781,10.9348322,236.8474127,75779.58251,11.15497267,269.9909404,72760.59607,11.1936238,269.6536921,96923.49498,11.48130578,311.2966297,119602.8584,11.6919275,345.836071,136366.9734,11.82310486,369.2789913,0.116981132
inflata,G.inflata,18,A,10,31306.70502,10.35158757,176.9370086,42456.60654,10.65524674,205.9985419,58346.89565,10.91142009,237.7260944,53387.46428,10.88390101,230.9747027,68970.45534,11.13560327,262.2483877,95365.86766,11.45209315,307.7912894,109231.53,11.60122504,330.5019365,0.035842294
inflata,G.inflata,9,A,57,24411.30334,10.10280156,156.2411704,37642.53783,10.53589002,194.0168493,65837.2824,10.96940815,248.6988851,54059.97033,10.89784927,232.5080006,88540.63227,11.39121685,297.5577797,131157.8548,11.78415226,362.1568061,147456.9197,11.90129134,384.0011975,0.327683616
menardii,G.menardii,25,A,1,73905.06592,11.21053666,271.8548619,73905.06592,11.21053666,271.8548619,73905.06592,11.21053666,271.8548619,73905.06592,11.21053666,271.8548619,73905.06592,11.21053666,271.8548619,73905.06592,11.21053666,271.8548619,73905.06592,11.21053666,271.8548619,0.002659574
menardii,G.menardii,18,A,36,99185.61443,11.50474827,314.937477,315194.4356,12.66086949,561.4112274,463302.4224,12.93942183,664.3756346,460365.0758,13.03974362,678.4967439,628094.4843,13.35039786,792.5145895,717494.4983,13.48099851,846.509677,831824.6874,13.63137699,912.0442354,0.132616487
menardii,G.menardii,42,A,29,82835.08743,11.32460701,287.8108536,327752.4285,12.70001381,572.4966624,511531.9666,12.99873892,691.0840924,447801.7683,13.01210593,669.1799222,632391.9694,13.35726469,795.2307649,1057406.266,13.86822318,1027.509271,1221082.224,14.01524809,1105.025893,0.098360656
menardii,G.menardii,44,A,1,554858.6893,13.22646875,744.8883737,554858.6893,13.22646875,744.8883737,554858.6893,13.22646875,744.8883737,554858.6893,13.22646875,744.8883737,554858.6893,13.22646875,744.8883737,554858.6893,13.22646875,744.8883737,554858.6893,13.22646875,744.8883737,0.003021148
menardii,G.menardii,53,A,23,31974.05369,10.37268003,178.8129014,151225.0377,11.92652356,388.8765618,252229.0909,12.20017413,476.7427376,216649.4845,12.28603605,465.4562112,376326.8978,12.83746883,613.3407202,496742.9928,13.11518595,704.6886781,511531.6577,13.14516475,715.2144138,0.088461538
obliquiloculata,P.obliquiloculata,23,A,3,73400.30532,11.20368337,270.9249072,101604.3964,11.48874942,315.6071784,130372.9471,11.7070725,354.9000944,129808.4875,11.77381547,360.2894496,158859.268,11.95876707,396.887688,182099.8923,12.10672834,426.1662787,187910.0484,12.14371866,433.4859264,0.011320755
obliquiloculata,P.obliquiloculata,25,A,7,36580.7314,10.50727692,191.2608988,55299.89306,10.908012,234.4270263,126123.2796,11.50585605,335.3686442,97397.47059,11.48655552,312.0856783,180769.5346,12.10014044,424.6567198,253274.496,12.43117376,501.9091802,276745.8998,12.53085503,526.0664405,0.018617021
obliquiloculata,P.obliquiloculata,18,A,2,208142.2587,12.24597706,456.2261048,210547.9483,12.25727576,458.8328272,212953.638,12.26857446,461.4395496,212953.638,12.26857446,461.4395496,215359.3276,12.27987316,464.046272,217283.8793,12.28891212,466.1316499,217765.0172,12.29117186,466.6529944,0.007168459
obliquiloculata,P.obliquiloculata,42,A,16,31109.88636,10.34528094,176.3799489,69032.04268,11.14232445,262.7393901,123176.1581,11.57913931,339.3317166,118894.7701,11.68595288,344.8076568,175688.056,12.07555003,419.0549303,213864.8612,12.27128618,462.2433306,236672.3706,12.37443206,486.4898463,0.052459016
obliquiloculata,P.obliquiloculata,44,A,22,73777.06982,11.20880326,271.6193473,155531.0277,11.95357632,394.2724079,217924.5049,12.19948938,456.9333676,222594.7432,12.31308689,471.7969719,280132.0794,12.54299936,529.2727877,334543.8322,12.72049349,578.3933708,344359.4943,12.74944143,586.8215183,0.066465257
pachyderma,N.pachyderma,64,A,226,15614.80247,9.65597462,124.9592032,37253.38388,10.52549232,193.0110797,45560.7,10.69551616,211.8125873,45064.83879,10.71585545,212.2846923,52393.90496,10.86654403,228.8970624,64881.28787,11.08029576,254.7168611,77887.54273,11.26302131,279.0833974,1
ruber,G.ruber,23,A,94,23424.41697,10.06153422,153.050374,34666.75709,10.45332752,186.1803452,54863.8841,10.82883455,229.4188171,52612.11454,10.8706221,229.3687449,67105.70313,11.11402162,259.0475109,96872.50981,11.48113848,311.24251,116481.3553,11.6654865,341.2936497,0.358490566
ruber,G.ruber,25,A,194,19299.66924,9.867843237,138.9232495,29048.05137,10.27670415,170.4347809,41048.73694,10.54494373,198.4943321,33845.30888,10.42955567,183.9709453,46958.908,10.75700938,216.6990233,78724.8029,11.27364042,280.5742699,161831.8677,11.99431322,402.2833177,0.521276596
ruber,G.ruber,18,A,70,19264.60327,9.866024664,138.7969858,31237.24951,10.34935553,176.7401401,51038.9472,10.70924415,218.3291858,41092.5773,10.6235517,202.7114668,64460.18589,11.07374618,253.8865045,115670.5859,11.65777213,340.0418551,158965.6916,11.97644368,398.7050183,0.261648746
ruber,G.ruber,29,A,123,17063.12208,9.74467481,130.6258859,31964.51224,10.37237856,178.7860845,50906.0268,10.72120565,218.8510368,41466.70531,10.6326461,203.6337529,61534.68492,11.02719193,248.0516656,108703.8836,11.59638278,329.7027187,160093.6833,11.98351444,400.117087,0.436666667
ruber,G.ruber,42,A,33,24255.72255,10.09640785,155.7424879,29864.57089,10.30442814,172.8136884,39112.58412,10.52915949,195.4933691,36616.87512,10.50826448,191.3553634,43431.60941,10.67894278,208.4025178,63576.80516,11.05975158,252.1284798,75234.79806,11.22836914,274.2896244,0.173770492
ruber,G.ruber,44,A,111,20860.27349,9.945601839,144.4308606,34967.10439,10.46210859,186.9923868,49847.72837,10.73521314,218.6242977,46536.32719,10.74798852,215.7228017,55128.60566,10.91742391,234.7948096,98687.83642,11.49971683,314.1461908,136028.5367,11.82061997,368.8204668,0.347432024
rubescens,G.rubescens,29,A,4,24882.88961,10.12193568,157.7431127,27183.99044,10.20914076,164.8249764,28102.16495,10.24077725,167.5195545,28470.87664,10.25647025,168.7261196,29389.05115,10.28810674,171.4206977,30345.02375,10.32020761,174.1904325,30584.0169,10.32823283,174.8828662,0.013333333
sacculifer,G.sacculifer,23,A,28,35959.71656,10.49015461,189.6304737,57176.9022,10.95357728,239.0974129,111620.2595,11.47771155,322.5856321,104797.076,11.55962808,323.7113777,154136.541,11.94534877,392.5780867,216684.4,12.28321556,465.1499461,240451.0323,12.39027174,490.3580654,0.113207547
sacculifer,G.sacculifer,25,A,47,28351.35285,10.25243003,168.3785997,53162.48484,10.88110745,230.5698668,106040.1574,11.36635139,309.0647895,83349.07682,11.33079281,288.7024018,125249.8068,11.73691613,353.8048479,282827.5737,12.54605203,530.9625146,366783.1944,12.8125262,605.6262828,0.138297872
sacculifer,G.sacculifer,18,A,17,44483.06312,10.70286379,210.910083,69875.66998,11.1544728,264.340065,97360.16718,11.41948751,307.0386004,99513.52116,11.5080488,315.4576377,128182.0635,11.7612069,358.0252275,145207.0704,11.88416505,380.8913131,162889.893,12.00082975,403.5962004,0.0609319
sacculifer,G.sacculifer,29,A,32,41897.14417,10.64297295,204.687919,71794.57299,11.18156409,267.945088,108751.3223,11.49813064,321.7523992,96720.59728,11.47955669,310.9974114,130771.2682,11.78116356,361.6193465,193925.849,12.17450529,440.2901359,257234.862,12.45774481,507.1832627,0.106666667
sacculifer,G.sacculifer,42,A,13,27275.68631,10.21375097,165.1535235,62676.17348,11.04573665,250.352099,119339.1313,11.46246016,327.1931215,93613.14719,11.44692611,305.9626565,186846.2926,12.13804159,432.2572065,241547.2532,12.36868604,488.2456071,310395.1388,12.64560141,557.1311684,0.042622951
sacculifer,G.sacculifer,44,A,27,47216.26066,10.76249362,217.2930295,76822.85114,11.24914134,277.161312,147504.8791,11.74260248,369.0677649,134080.8799,11.80619848,366.1705612,171927.0404,12.0546301,414.6206057,320207.3794,12.67508805,565.6393226,351714.5906,12.7705753,593.0553015,0.084592145
scitula,G.scitula,42,A,5,33108.86806,10.40755644,181.958424,36597.7252,10.50774136,191.3053193,45879.68158,10.69825043,212.2835181,38346.01598,10.55440592,195.821388,56406.70936,10.94034339,237.5009671,63232.6133,11.0530327,251.365387,64939.08929,11.08120502,254.831492,0.016393443
siphonifera,G.siphonifera,25,A,29,38792.06996,10.56597112,196.9570257,76802.12123,11.24898754,277.1319563,118194.3863,11.57366598,334.951507,99161.94133,11.50450956,314.899891,163330.1892,12.00352913,404.1412986,213786.1665,12.26681437,461.6927798,249358.8167,12.42664817,499.3584051,0.07712766
siphonifera,G.siphonifera,18,A,5,82785.81403,11.324012,287.7252405,91081.46047,11.41950956,301.7970518,141859.8841,11.7736494,368.3082793,108629.1596,11.59569516,329.5893803,189306.0405,12.15112025,435.09314,227858.7647,12.33255208,476.887895,237496.9458,12.37791004,487.3365837,0.017921147
siphonifera,G.siphonifera,29,A,10,74893.07561,11.22381672,273.6659928,116465.7477,11.66214131,340.9929676,153020.0285,11.88913985,386.5852802,161297.9264,11.9906921,401.5873757,181733.0933,12.10998765,426.2691175,215343.468,12.27825358,463.8502812,226765.7053,12.33167263,476.1992286,0.033333333
siphonifera,G.siphonifera,42,A,16,30212.86492,10.3160231,173.8184827,46120.20938,10.73890867,214.7509237,94297.94116,11.21684055,289.0394451,62865.43101,11.0485055,250.7143658,112854.6615,11.6327611,335.8457318,246999.6174,12.41705367,496.97955,252716.8969,12.44002516,502.7095552,0.052459016
siphonifera,G.siphonifera,44,A,13,64056.53091,11.06752127,253.0939172,80278.49003,11.29325699,283.3345902,110494.8935,11.55428428,327.5674769,110813.3627,11.61560265,332.8864111,122425.3545,11.71525677,349.8933473,170963.743,12.0348725,411.9869499,206978.6609,12.24037098,454.9490751,0.042296073
tenellus,G.tenellus,23,A,20,21894.19,9.993976584,147.9668544,24302.39807,10.09794379,155.8772836,27459.93964,10.21101904,165.3176924,26924.55589,10.20074836,164.0851651,30957.76319,10.34037439,175.9479772,33349.09724,10.41468794,182.6128333,35423.96399,10.47514382,188.21255,0.075471698
tenellus,G.tenellus,25,A,9,24186.48313,10.09354921,155.5200409,30041.64044,10.31033971,173.3252447,33869.05808,10.41203847,183.1917013,32629.20996,10.39296318,180.6355722,34531.76107,10.44963479,185.8272345,45276.54974,10.72013678,212.7612259,46327.91132,10.74349989,215.2391956,0.02393617
tenellus,G.tenellus,29,A,19,23234.3971,10.05338909,152.4283343,26187.95623,10.17290963,161.821056,30183.95422,10.30131212,173.1254533,28685.11106,10.26413349,169.3667944,32221.74177,10.38038745,179.5037394,37222.0832,10.52187155,192.7916756,46106.8877,10.73871763,214.7251445,0.063333333
truncatulinoides,G.truncatulinoides,23,A,12,57919.11364,10.96680272,240.6639018,75108.1643,11.22667803,274.0582416,130495.4404,11.68621549,353.1944771,126727.5917,11.73481126,354.662143,184194.3222,12.12331022,429.1315838,202883.8774,12.22038131,450.4254551,203767.4319,12.22473458,451.406061,0.045283019
truncatulinoides,G.truncatulinoides,25,A,3,74873.67824,11.22355768,273.6305506,156422.9525,11.80173347,380.7272608,213280.73,12.10039034,444.4301372,237972.2267,12.37990925,487.823971,282484.256,12.53880667,529.8299306,318093.8794,12.66592461,563.4346982,326996.2852,12.69770409,571.8358901,0.007978723
truncatulinoides,G.truncatulinoides,18,A,6,39795.23581,10.59150248,199.4874327,40644.84198,10.61258473,201.6035142,92186.78227,11.16710138,283.8205119,47967.95539,10.76852072,218.4830112,132070.6316,11.70432668,356.4446247,203780.8915,12.21529628,450.3811552,219080.8859,12.29719628,468.0607716,0.021505376
truncatulinoides,G.truncatulinoides,42,A,1,114990.1566,11.65260181,339.1019855,114990.1566,11.65260181,339.1019855,114990.1566,11.65260181,339.1019855,114990.1566,11.65260181,339.1019855,114990.1566,11.65260181,339.1019855,114990.1566,11.65260181,339.1019855,114990.1566,11.65260181,339.1019855,0.003278689
truncatulinoides,G.truncatulinoides,9,A,10,41786.12624,10.64031966,204.4165508,71086.47835,11.16856265,266.4116866,80896.75818,11.24729649,280.7958905,82910.76784,11.32530824,287.9270409,89394.42326,11.40081109,298.9888158,117260.1177,11.66596259,341.9061612,128935.2213,11.7670654,359.0755092,0.056497175
truncatulinoides,G.truncatulinoides,5,A,14,60734.59437,11.01426874,246.443897,90907.20834,11.41754556,301.5045212,115919.0153,11.6062243,335.9151545,102367.2322,11.53628962,319.9462105,145872.772,11.89045402,381.9295029,174788.8988,12.06626317,417.5430583,199224.1899,12.20218605,446.3453706,0.044025157
tumida,G.tumida,42,A,6,356242.3711,12.7833666,596.8604285,383955.5692,12.85594389,619.274868,469784.5847,13.04004662,682.0047039,461964.3978,13.04093056,679.2870226,549320.4855,13.21462079,740.8291616,593603.1153,13.29364946,770.3957243,602144.5337,13.30825278,775.9797251,0.049180328
universa,O.universa,23,A,6,185304.1688,12.12975391,430.4697072,260715.9324,12.47091727,510.5689541,294398.5365,12.55931674,538.0763609,284098.6106,12.55605949,532.873525,310483.6048,12.64556121,557.1654896,409269.5017,12.91216138,638.1976308,440689.52,12.99609587,663.8444999,0.022641509
