Estimate,s.e.,95%.LCL,95%.UCL,sample,CqN,lat ,,comparison
0.75,0.0802,0.592808,0.907192,5,c02,-50.01667,123.06667,Holocene
0.978994536,0.018167147,0.943386927,1,5,c12,-50.01667,123.06667,Holocene
0.984035031,0.022544538,0.939847737,1,5,c22,-50.01667,123.06667,Holocene
0.6316,0.086,0.46304,0.80016,10,c021,-40.45,49.81667,Holocene
0.760241134,0.049722927,0.662784197,0.857698071,10,c121,-40.45,49.81667,Holocene
0.682796149,0.075886802,0.534058018,0.831534281,10,c221,-40.45,49.81667,Holocene
0.6429,0.0571,0.530984,0.754816,20,c022,-26.93667,111.18167,Holocene
0.803245535,0.035816278,0.733045629,0.873445441,20,c122,-26.93667,111.18167,Holocene
0.866302111,0.05517319,0.758162659,0.974441563,20,c222,-26.93667,111.18167,Holocene
0.85,0.0594,0.733576,0.966424,25,c023,-21.25,-14.03333,Holocene
0.908611174,0.036456221,0.837156981,0.980065367,25,c123,-21.25,-14.03333,Holocene
0.9306448,0.043264923,0.845845552,1,25,c223,-21.25,-14.03333,Holocene
0.8,0.0767,0.649668,0.950332,27,c024,-19.56667,64.63333,Holocene
0.919059003,0.030998586,0.858301774,0.979816232,27,c124,-19.56667,64.63333,Holocene
0.981208761,0.021893673,0.938297163,1,27,c224,-19.56667,64.63333,Holocene
0.7333,0.0651,0.605704,0.860896,31,c025,-15.65,-179.0625,Holocene
0.94354794,0.026812923,0.89099461,0.99610127,31,c125,-15.65,-179.0625,Holocene
0.98336471,0.026543694,0.93133907,1,31,c225,-15.65,-179.0625,Holocene
0.7027,0.0634,0.578436,0.826964,44,c026,-7.59167,61.48333,Holocene
0.742976105,0.049679044,0.645605178,0.840347032,44,c126,-7.59167,61.48333,Holocene
0.664066623,0.081070877,0.505167704,0.822965542,44,c226,-7.59167,61.48333,Holocene
0.7805,0.067,0.64918,0.91182,46,c027,-0.7,147,Holocene
0.950320689,0.029670359,0.892166785,1,46,c127,-0.7,147,Holocene
0.965936918,0.04249328,0.882650089,1,46,c227,-0.7,147,Holocene
0.8824,0.0694,0.746376,1.018424,55,c028,24.33333,-24.46667,Holocene
0.901288701,0.036137488,0.830459224,0.972118178,55,c128,24.33333,-24.46667,Holocene
0.902101445,0.054094734,0.796075765,1,55,c228,24.33333,-24.46667,Holocene
1,0,1,1,66,c029,85.25,-167.9,Holocene
1,0,1,1,66,c129,85.25,-167.9,Holocene
1,0,1,1,66,c229,85.25,-167.9,Holocene
0.5,0.0606,0.381224,0.618776,5,c02,-50.01667,123.06667,LGM
0.74695762,0.044967996,0.658820347,0.835094893,5,c12,-50.01667,123.06667,LGM
0.693071388,0.082285649,0.531791515,0.85435126,5,c22,-50.01667,123.06667,LGM
0.7826,0.0866,0.612864,0.952336,10,c021,-40.45,49.81667,LGM
0.650722578,0.052340441,0.548135313,0.753309843,10,c121,-40.45,49.81667,LGM
0.405254825,0.07156859,0.264980388,0.545529261,10,c221,-40.45,49.81667,LGM
0.7778,0.0706,0.639424,0.916176,20,c022,-26.93667,111.18167,LGM
0.737407429,0.047238879,0.644819225,0.829995633,20,c122,-26.93667,111.18167,LGM
0.700512769,0.076449181,0.550672374,0.850353163,20,c222,-26.93667,111.18167,LGM
0.7442,0.0706,0.605824,0.882576,25,c023,-21.25,-14.03333,LGM
0.819966343,0.04476732,0.732222395,0.907710291,25,c123,-21.25,-14.03333,LGM
0.817442824,0.066763574,0.686586218,0.948299429,25,c223,-21.25,-14.03333,LGM
0.5556,0.096,0.36744,0.74376,27,c024,-19.56667,64.63333,LGM
0.149405389,0.03417632,0.082419801,0.216390977,27,c124,-19.56667,64.63333,LGM
0.012346634,0.006053005,0.000482745,0.024210523,27,c224,-19.56667,64.63333,LGM
0.7059,0.075,0.5589,0.8529,31,c025,-15.65,-179.0625,LGM
0.693798931,0.049060781,0.5976398,0.789958062,31,c125,-15.65,-179.0625,LGM
0.645052531,0.077971618,0.49222816,0.797876902,31,c225,-15.65,-179.0625,LGM
0.3333,0.0638,0.208252,0.458348,44,c026,-7.59167,61.48333,LGM
0.148189803,0.036999528,0.075670729,0.220708877,44,c126,-7.59167,61.48333,LGM
0.040005174,0.019689337,0.001414074,0.078596275,44,c226,-7.59167,61.48333,LGM
0.7586,0.0602,0.640608,0.876592,46,c027,-0.7,147,LGM
0.886043567,0.034445981,0.818529445,0.953557689,46,c127,-0.7,147,LGM
0.914951689,0.048443602,0.820002229,1,46,c227,-0.7,147,LGM
0.6667,0.077,0.51578,0.81762,55,c028,24.33333,-24.46667,LGM
0.408316135,0.060763637,0.289219406,0.527412864,55,c128,24.33333,-24.46667,LGM
0.199519932,0.055350502,0.091032949,0.308006915,55,c228,24.33333,-24.46667,LGM
0.98,0,0.98,0.98,66,c029,85.25,-167.9,LGM
0.98,0,0.98,0.98,66,c129,85.25,-167.9,LGM
0.98,0,0.98,0.98,66,c229,85.25,-167.9,LGM
