"sample","row_findin","distance"
5,58,301797.547029132
5,60,250110.04895283
5,664,301461.910770613
5,690,250481.096709088
10,52,373734.386562048
10,656,374076.005008453
20,694,342305.282824707
20,766,199276.255627043
20,2479,252504.878463073
20,2480,113847.249005244
20,2481,255482.472495819
20,2487,384460.357991224
20,2495,319659.909704395
20,2504,314446.776586416
20,2505,294063.534934214
20,2506,253545.09322605
20,2507,197968.57885583
20,2508,15453.765941338
20,2509,352989.84595449
20,2510,363662.734819617
20,3045,323470.765368264
20,3047,253389.923272457
20,3048,115275.762313661
20,3049,81361.8978447781
20,3050,253656.446568808
20,3051,273059.617858491
20,3052,292447.23618583
20,3053,345615.762719259
20,3065,385965.305694012
20,3074,317394.474094157
20,3083,312752.952141426
20,3084,293655.951382918
20,3085,252179.008050642
20,3086,197324.90920141
20,3087,15415.4023349409
20,3088,333034.338850943
20,3089,365011.928291913
25,648,346487.895325582
25,649,332708.360791805
25,1101,342960.663360116
25,2091,347502.612372754
25,2092,333172.152193343
27,33,340266.216467459
27,181,161121.081756644
27,199,388747.085189587
27,406,302254.908264536
27,612,285802.648121501
27,910,391005.426910593
27,1154,161355.363103049
27,1155,212313.177220967
27,1219,389356.845856677
27,1220,388747.085189587
27,2595,380277.92435568
31,2367,281639.432203888
44,542,334374.031600132
44,543,344576.603718193
44,1515,261129.599505777
44,2579,334374.031600132
46,715,328480.865316024
55,254,277607.387138979
55,1374,277888.716232388
55,1499,392861.754934334
55,1645,388297.386379436
55,2305,393185.137212158
55,2311,202350.301301972
66,2078,1038231.48356325
