"species","5A","5B","5C","10A","10B","10C","20A","20B","20C","25A","25B","25C","27A","27B","27C","31A","31B","31C","44A","44B","44C","46A","46B","46C","55A","55B","55C","66A","66B","66C","sd5C","sd10C","sd20C","sd25C","sd27C","sd44C","sd55C"
"Globigerina_bulloides",0.550314465408805,0,0.4695779585,0.214689265536723,0,0.311346005,0.046594982078853,0,0.0657431346774194,0.0150943396226415,0,0.0147104538,0.00531914893617021,0,0.0182145632727273,0.01,0,0.005030181,0.0262295081967213,0.0154639175257732,0.03115743325,0.0845921450151057,0,0.041984733,0.0230769230769231,0,0.0159516928333333,0,0,0,0.135424589126379,0.00666967299067067,0.0215746050609722,0.0103506441894927,0.00756987087965425,0.0138572783231347,0.024454268807778
"Globigerina_falconensis",0,0,0.02554634025,0.0225988700564972,0,0.008287293,0.039426523297491,0,0.0185712799677419,0.0641509433962264,0.0260115606936416,0.0418052302,0.00531914893617021,0,0.0122215109090909,0.02,0,0.007042254,0,0,0.00214442825,0.0362537764350453,0,0.008178844,0,0,0.0277614933333333,0,0,0,0.0210323338492321,0.0117200021559596,0.0125594640569019,0.0439887795893249,0.00926862278830509,0.00248502016477377,0.0392457227152607
"Globoturborotalita_rubescens",0,0,0,0,0,0,0,0,0.0139836304193548,0.0113207547169811,0.0144508670520231,0.0176429758,0.00531914893617021,0.064327485380117,0.00363667772727273,0.0133333333333333,0.0342205323193916,0.038229376,0.0131147540983607,0,0,0.0120845921450151,0.0484848484848485,0.022900763,0,0,0.000665669666666667,0,0,0,0,0,0.00856376097729443,0.01951067457728,0.00522634378631946,0,0.00103125274822454
"Globigerinoides_tenellus",0,0,0,0,0,0,0,0.00319488817891374,0.0306021769677419,0.0754716981132075,0.0202312138728324,0.0312469096,0.023936170212766,0.0584795321637427,0.00781696881818182,0.0633333333333333,0.0798479087452472,0.040241449,0,0,0.00166944025,0.0181268882175227,0,0.014176663,0,0,0.006991691,0,0,0,0,0,0.0156397074830396,0.0234585442212023,0.00787177234203009,0.00200911819034228,0.0104034653068279
"Globorotalia_menardii",0,0,0,0,0,0,0.132616487455197,0.210862619808307,0.0954515102580645,0,0.0953757225433526,0.0164533262,0.00265957446808511,0.0760233918128655,0.008174387,0,0.091254752851711,0,0.0983606557377049,0.0979381443298969,0.19914862125,0.00302114803625378,0.109090909090909,0.022355507,0.0884615384615385,0.753846153846154,0.0459623411666667,0,0,0,0,0,0.0524367121756874,0.0110069134757719,0.0173293431022557,0.106744643916731,0.0471705233800859
"Globorotalia_tumida",0,0,0,0,0,0,0,0,0.00117862661290323,0.00754716981132075,0.023121387283237,0.0015575758,0,0.0526315789473684,0.008174387,0,0.0456273764258555,0,0.0491803278688525,0.0567010309278351,0.074625396,0.00604229607250755,0.0545454545454545,0.015812432,0.0269230769230769,0,0.0107488646666667,0,0,0,0,0,0.00244041682188651,0.00213411664717002,0.00523679954977463,0.0611437121798249,0.0166732175061143
"Globoconella_inflata",0.30188679245283,0,0.1613769035,0.327683615819209,0.931034482758621,0.212055936,0.03584229390681,0.0479233226837061,0.100983631935484,0.116981132075472,0.0260115606936416,0.0763065418,0.00531914893617021,0,0.0273773817272727,0,0,0,0,0,0,0,0,0,0.134615384615385,0,0.1064932585,0,0,0,0.0608650775576338,0.0225190019720645,0.105958677274785,0.0403806721913823,0.0323490129170479,0,0.0474781635798786
"Globorotalia_crassaformis",0,0,0,0,0,0.0013812155,0.00716845878136201,0,0.00266548174193548,0.00754716981132075,0,0.003848045,0.00265957446808511,0.00584795321637427,0.00140145290909091,0,0,0,0,0.0103092783505155,0.01233646475,0,0,0.00436205,0.0192307692307692,0.0923076923076923,0.00974451116666667,0,0,0,0,0.00195333369265994,0.00562589892334006,0.00134933689155748,0.00231034911101567,0.0125726927507039,0.00563012143914614
"Globorotalia_truncatulinoides",0.0440251572327044,1,0.037670815,0.0564971751412429,0.0689655172413793,0.0053531045,0.021505376344086,0.0990415335463259,0.0229793142903226,0.0452830188679245,0.0115606936416185,0.0590432792,0.00797872340425532,0.0467836257309941,0.0271948010909091,0,0.00760456273764259,0.002012072,0.00327868852459016,0.0103092783505155,0.002105356,0,0,0.004907306,0.0384615384615385,0,0.0918970691666667,0,0,0,0.0185006309657579,0.000242901785939297,0.0138506829500172,0.0102324027824439,0.0169209344832822,0.00244637155116457,0.0574313920633582
"Globorotalia_hirsuta",0,0,0,0,0,0,0,0,0.00469912135483871,0.00377358490566038,0,0.0027280796,0,0,0.00341745054545455,0,0,0,0,0,0.00113636375,0,0,0.001090513,0,0,0.00505999416666667,0,0,0,0,0,0.00463486524215997,0.00268440681910563,0.00309336483852369,0.0022727275,0.00378603752471559
