"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_25q","area_log_25q","area_mean","area_log_mean","area_median","area_log_median","area_75q","area_log_75q","area_95q","area_log_95q","area_max","area_log_max"
"calida","G.calida",25,"A",8,25057.58971,10.1289320430582,56818.6195475,10.9292470239014,77122.67268125,11.1185495640392,63198.588045,11.0540329994902,105452.388075,11.5633057137267,134912.56673,11.8086097938005,143339.9578,11.872974415143
"calida","G.calida",25,"B",5,110296.548,11.6109279082877,125200.2276,11.7376695555379,141256.79568,11.8466978069474,143844.804,11.876490247368,160272.7992,11.984632637362,165390.23952,12.0159414764175,166669.5996,12.0237686861814
"conglobatus","G.conglobatus",25,"A",3,61099.97486,11.020266733703,61784.993265,11.0313543205001,82043.03751,11.2596858315827,62470.01167,11.0424419072973,92514.568835,11.3793953805226,116550.214567,11.6489581591028,122559.126,11.7163488537479
"conglobatus","G.conglobatus",25,"B",42,217524.4956,12.2900667466176,331836.5169,12.712356797533,393721.939371429,12.8643433665227,375291.1602,12.8352634166785,436000.8564,12.9853978676659,519343.64388,13.1602734720039,596666.3832,13.2991134140649
"falconensis","G.falconensis",25,"A",17,28968.60448,10.2739679183915,34433.39258,10.4467820870577,37409.0682247059,10.5220821909512,37081.34179,10.5208692053789,40248.02363,10.6028161792809,45088.321966,10.7163763824216,45276.51335,10.7205437079246
"falconensis","G.falconensis",25,"B",9,15030.1512,9.61781354257666,30732.5988,10.333079220374,34452.0472,10.404802890829,35245.638,10.4700970559026,41116.5828,10.624166793563,43527.53088,10.6810450421398,44038.7424,10.6928250345706
"glutinata","G.glutinata",25,"A",18,23495.77401,10.0645758545993,27678.80994,10.228389690642,35613.0513838889,10.4519897877244,35271.8093,10.4707743298762,43336.29241,10.6763247244706,49856.1384735,10.8168961588107,50001.40372,10.8198063584162
"glutinata","G.glutinata",25,"B",14,36676.764,10.509898700014,66321.0414,11.0915220197003,94031.1591428571,11.3787796571916,90943.065,11.4179164412131,116779.8816,11.6631199204921,153352.80576,11.9403226588294,157264.1064,11.9656818773755
"inflata","G.inflata",25,"A",30,29565.56374,10.2943655758898,56096.6978125,10.9348321950978,75779.5825103333,11.1549726688127,72760.59607,11.1936238039283,96923.49498,11.4813057773205,119602.85842,11.6919274976895,136366.9734,11.8231048645746
"inflata","G.inflata",25,"B",9,60373.548,11.0083063409762,121119.8544,11.7045358665569,131842.5752,11.716684212016,122477.76,11.7156847414641,165997.3032,12.0197268214236,201746.16504,12.2145019402689,205516.35,12.2332808717973
