Measurement Table ZF6109_calida25 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R2,160272.7992,1.182540067,528.748954,340.9116366,1.125579901,158370.7631,1715.194919,270.2115014,155.8524134,1,1.478230338
P1R4,110296.548,1.131836727,406.6427041,286.4264827,1.170076585,108757.0596,1436.27047,232.8389294,115.800651,1,1.50940284
P1R5,166669.5996,1.277233011,557.6859632,330.3306907,1.378676608,164566.4659,1912.633706,296.8090261,89.48682885,1,1.768937238
P1R6,125200.2276,1.334255831,484.9439267,326.0409606,1.192277282,123519.613,1532.940726,247.3469071,133.7471504,1,1.513927088
P1R8,143844.804,1.342216922,504.3355597,329.119427,1.142848644,142061.1814,1612.950695,254.9607594,128.0319551,1,1.457326691
Mean value,141256.7957,1.253616512,496.4714216,322.5658395,1.201891804,139455.0166,1641.998103,260.4334247,124.5837997,1,1.545564839
Standard Deviation,21120.92372,0.083417802,51.09400259,18.75068143,0.091287585,20935.53963,163.5007802,21.82410749,21.82899007,0,0.113599095
Minimum,110296.548,1.131836727,406.6427041,286.4264827,1.125579901,108757.0596,1436.27047,232.8389294,89.48682885,1,1.457326691
Maximum,166669.5996,1.342216922,557.6859632,340.9116366,1.378676608,164566.4659,1912.633706,296.8090261,155.8524134,1,1.768937238
Range,56373.0516,0.210380195,151.0432591,54.48515393,0.253096707,55809.40633,476.3632355,63.97009668,66.36558455,0,0.311610546
Sum,706283.9784,6.268082558,2482.357108,1612.829198,6.00945902,697275.083,8209.990516,1302.167124,622.9189987,5,7.727824195
Index of Minimum,2,2,2,2,1,2,2,2,3,1,5
Index of Maximum,3,5,3,1,3,3,3,3,1,1,3
Number of Elements,5,5,5,5,5,5,5,5,5,5,5
