Measurement Table conglobatus27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,100745.6935,1.1361833,387.1707039,308.1548512,1.013606826,99712.31163,1335.518813,196.0718326,129.9618943,1,1.4234473
P1R2,291811.2598,1.153731296,661.1297823,523.9855413,1.033395937,290081.2899,2095.204844,338.3604192,230.6612559,2,1.204268754
P1R3,73562.32952,1.106319826,339.0914828,264.2592566,1.07153252,72716.23787,1086.22314,171.2977756,113.4406308,1,1.291209927
P1R4,83876.43316,1.174758063,356.0327445,269.8391535,1.077327086,82915.33876,1175.034173,190.7279307,114.0782468,1,1.325123244
P1R5,127265.3273,1.191601134,459.7804392,341.3080905,1.114877402,132644.1701,1505.451009,240.7521142,142.9900244,1,1.359675413
P1R6,165525.0988,1.13552304,491.2384307,400.7038204,1.00339014,164266.6401,1579.615644,253.3203286,178.6135239,1,1.208769895
P1R7,75057.36525,1.277834894,360.831734,250.7134151,1.161069224,78198.58318,1155.296058,184.4648014,105.1927601,1,1.358244189
P1R8,405236.8277,1.160529795,793.3474555,575.9204421,1.020834093,403205.2405,2627.796786,397.4619413,258.8966063,3,1.362848384
P1R9,113014.8438,1.176030007,407.7875532,319.2471167,1.052368103,111973.2475,1271.679679,208.8470486,136.0549125,1,1.149294547
P1R10,114233.873,1.102353447,404.1331682,346.2637431,0.931352221,113198.7692,1339.189326,207.1600717,162.4594142,1,1.260759968
P1R11,287007.4307,1.108469712,642.6439907,532.9142938,1.027774373,285279.1037,2099.944129,323.5808263,236.0330439,2,1.230086567
P1R12,100584.6896,1.179010025,392.2506014,302.4779346,0.990276293,99597.30888,1179.020539,196.7327812,140.8929974,1,1.110670647
Mean value,161493.431,1.158528712,474.6198405,369.6489716,1.041483685,161149.0201,1537.497845,242.398156,162.4396092,1.333333333,1.273699903
Standard Deviation,102691.4608,0.046332,139.7459863,108.5457739,0.057483786,101877.1622,463.6206839,69.30991192,50.20471003,0.623609564,0.091753114
Minimum,73562.32952,1.102353447,339.0914828,250.7134151,0.931352221,72716.23787,1086.22314,171.2977756,105.1927601,1,1.110670647
Maximum,405236.8277,1.277834894,793.3474555,575.9204421,1.161069224,403205.2405,2627.796786,397.4619413,258.8966063,3,1.4234473
Range,331674.4982,0.175481448,454.2559726,325.2070269,0.229717003,330489.0026,1541.573647,226.1641657,153.7038462,2,0.312776653
Sum,1937921.172,13.90234454,5695.438086,4435.787659,12.49780422,1933788.241,18449.97414,2908.777871,1949.275311,16,15.28439884
Index of Minimum,3,10,3,7,10,3,3,3,7,1,12
Index of Maximum,8,7,8,8,7,8,8,8,8,8,1
Number of Elements,12,12,12,12,12,12,12,12,12,12,12
