Measurement Table crassaformis55.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,54454.0292,1.227357754,291.5156014,214.0135506,1.032391744,53997.26634,946.755572,148.4441388,97.22452818,1,1.320973554
P1R2,30673.77037,1.19567466,216.3012329,167.4519363,1.018481162,30394.8716,651.9145218,111.605278,76.31299601,1,1.112682236
P1R3,29246.16527,1.103441482,208.8485806,175.7345329,0.953966161,28910.31125,671.0560796,104.7323627,86.26309258,1,1.239524229
P1R4,235750.9631,1.165712796,588.520697,480.4412051,1.007010949,234791.3033,1939.70393,299.9974004,208.5632792,6,1.275202167
P1R5,152799.5927,1.16399537,477.3164592,398.5407862,1.038218047,152246.8892,1523.009713,247.5927947,175.7468126,4,1.212403204
Mean value,100584.9041,1.171236413,356.5005142,287.2364022,1.010013613,100068.1283,1146.487963,182.4743949,128.8221417,2.6,1.232157078
Standard Deviation,81364.70625,0.041051014,151.069407,127.952595,0.030060949,81133.56755,506.2591414,77.81564939,53.15536844,2.059126028,0.069942797
Minimum,29246.16527,1.103441482,208.8485806,167.4519363,0.953966161,28910.31125,651.9145218,104.7323627,76.31299601,1,1.112682236
Maximum,235750.9631,1.227357754,588.520697,480.4412051,1.038218047,234791.3033,1939.70393,299.9974004,208.5632792,6,1.320973554
Range,206504.7978,0.123916272,379.6721164,312.9892688,0.084251887,205880.992,1287.789408,195.2650377,132.2502832,5,0.208291317
Sum,502924.5207,5.856182063,1782.502571,1436.182011,5.050068064,500340.6417,5732.439816,912.3719747,644.1107085,13,6.160785391
Index of Minimum,3,3,3,2,3,3,2,3,2,1,2
Index of Maximum,4,1,4,4,5,4,4,4,4,4,1
Number of Elements,5,5,5,5,5,5,5,5,5,5,5
