Measurement Table dehiscens27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,386229.6171,1.245349706,776.9538301,583.5609263,1.070791209,385409.2851,2488.223951,402.2985366,263.3401547,1,1.278341583
Mean value,386229.6171,1.245349706,776.9538301,583.5609263,1.070791209,385409.2851,2488.223951,402.2985366,263.3401547,1,1.278341583
Standard Deviation,0,0,0,0,0,0,0,0,0,0,0
Minimum,386229.6171,1.245349706,776.9538301,583.5609263,1.070791209,385409.2851,2488.223951,402.2985366,263.3401547,1,1.278341583
Maximum,386229.6171,1.245349706,776.9538301,583.5609263,1.070791209,385409.2851,2488.223951,402.2985366,263.3401547,1,1.278341583
Range,0,0,0,0,0,0,0,0,0,0,0
Sum,386229.6171,1.245349706,776.9538301,583.5609263,1.070791209,385409.2851,2488.223951,402.2985366,263.3401547,1,1.278341583
Index of Minimum,1,1,1,1,1,1,1,1,1,1,1
Index of Maximum,1,1,1,1,1,1,1,1,1,1,1
Number of Elements,1,1,1,1,1,1,1,1,1,1,1
