Measurement Table dutertrei44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,160100.2549,1.227811045,507.6689186,353.8433766,1.096320499,158845.082,1526.090616,267.9792078,160.6821043,1,1.166747899
P1R2,143175.1361,1.16234251,481.7558403,370.4250368,1.058830919,141992.2507,1433.082768,254.1823611,167.9826788,1,1.150980754
P1R3,90720.73959,1.164684028,373.573926,283.4099598,1.105139103,89774.43126,1144.111117,196.4842837,113.1671582,1,1.160309655
P1R4,135072.371,1.245478855,476.2233781,330.8666789,1.10891857,133927.2722,1406.239317,249.4040716,149.7890445,1,1.175004707
P1R5,207123.2358,1.155028069,559.0568956,440.3272219,1.035558813,205698.8446,1726.098301,292.1713319,190.9656456,1,1.152628504
P1R6,76634.5458,1.21981251,352.4663679,267.5462511,1.067524974,75768.73939,1046.961347,182.0672618,115.5134295,1,1.151228128
P1R7,118341.114,1.093397974,419.4846223,347.9440131,0.972151305,117307.7321,1268.874657,215.7789266,168.7871072,1,1.092196965
P1R8,89619.999,1.12926007,360.4353982,281.7588334,0.98437224,88699.97701,1110.664573,187.1219203,139.0814076,1,1.106706571
P1R9,53867.28739,1.219737387,295.8884072,196.9153143,1.137837902,53132.9127,891.9495406,155.7201621,78.04780179,1,1.191535827
P1R10,183757.9631,1.081789878,514.1612069,406.334595,1.044445152,182422.2883,1630.631179,272.2909704,177.5427918,1,1.15990853
P1R11,177104.2327,1.147896755,524.643559,405.7236108,1.005234161,175834.2737,1561.782639,270.3592836,188.9773951,1,1.103895103
P1R12,95462.13862,1.183982715,380.3855575,290.8652495,1.067577022,94510.9016,1167.948643,195.2458682,127.3474088,1,1.148565438
P1R13,134523.6436,1.186959836,457.4914542,350.2031079,1.118725682,133375.259,1402.9338,244.720788,148.8688534,1,1.17432752
P1R14,58927.40833,1.181870027,303.6001647,223.8342441,1.082791351,58183.17625,919.2797397,161.2492694,102.9720329,1,1.15581442
P1R15,38742.78307,1.060798328,234.2843763,197.5816399,1.046177888,38128.33981,742.4624688,127.6175783,84.1260369,1,1.150512315
P1R16,47887.14447,1.183863824,277.007436,209.8088805,1.010576212,47223.41432,803.9661334,142.9391769,100.7726115,1,1.08920163
P1R17,152845.2243,1.218194434,493.131058,354.0661707,1.098820621,151629.481,1479.81731,253.2296467,161.519345,1,1.149271706
P1R18,164769.3664,1.130478196,493.4907355,398.2320808,1.018936019,163530.6226,1514.306425,254.4055722,183.4158986,1,1.115882835
P1R19,141088.6576,1.193569228,474.7307061,347.7787134,1.006366334,139938.6302,1402.378601,242.3260475,169.3206371,1,1.118363775
P1R20,120450.593,1.234551243,437.760218,296.5816475,1.106744607,119351.4953,1333.990133,230.1925492,133.4461497,1,1.186499411
P1R21,37191.88886,1.17924714,242.553335,184.8573646,0.99253021,36623.4467,705.2541482,128.3888461,89.70122427,1,1.080742528
Mean value,115590.7489,1.171464479,412.371122,311.3763805,1.05550379,114566.5986,1248.515403,215.4226249,140.572703,1,1.141920201
Standard Deviation,49592.93721,0.049517334,96.4286624,74.96355425,0.047900656,49351.6614,296.7289037,49.77473958,35.01279722,0,0.03194757
Minimum,37191.88886,1.060798328,234.2843763,184.8573646,0.972151305,36623.4467,705.2541482,127.6175783,78.04780179,1,1.080742528
Maximum,207123.2358,1.245478855,559.0568956,440.3272219,1.137837902,205698.8446,1726.098301,292.1713319,190.9656456,1,1.191535827
Range,169931.347,0.184680527,324.7725193,255.4698573,0.165686596,169075.3979,1020.844153,164.5537536,112.9178438,0,0.1107933
Sum,2427405.728,24.60075405,8659.793561,6538.903991,22.16557958,2405898.571,26218.82346,4523.875123,2952.026763,21,23.98032422
Index of Minimum,21,15,15,21,7,21,21,15,9,1,21
Index of Maximum,5,4,5,5,9,5,5,5,5,1,9
Number of Elements,21,21,21,21,21,21,21,21,21,21,21
