Measurement Table elongatus27 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,29187.69757,1.07048131,204.6477833,176.9007936,0.94056283,28667.79333,663.2703733,106.1155408,81.70283789,1,1.221172709
P1R2,27850.37989,1.185782418,209.4013016,162.4646844,1.038438028,27329.93196,657.1700335,105.8326396,70.92764194,1,1.257497441
P1R3,26036.62226,1.20766382,203.6176164,160.2245276,1.012398781,25540.46754,593.9142907,104.3682477,73.4503994,1,1.099028272
P1R4,36396.727,1.183866228,235.9683136,186.6351779,1.01304762,35812.0113,754.4055661,121.7347635,83.33827276,1,1.264652516
P1R5,42836.88092,1.251500332,260.1994637,182.0002125,1.030622187,42196.39317,831.6936565,132.2449503,82.17063565,1,1.304492556
P1R6,36416.44176,1.195640114,238.1237632,187.5747037,0.979049141,35838.14222,699.1246548,123.7527027,85.22801967,1,1.085310249
P1R7,45182.93698,1.052220004,257.0806034,221.8288376,0.969876363,44517.03479,848.7346968,136.606979,97.90154467,1,1.287679678
P1R8,32752.78277,1.164357829,225.8218423,183.4298733,1.020109418,32182.69772,686.5082331,120.7816415,81.40373097,1,1.165357596
P1R9,38926.78747,1.212360855,245.8431879,182.657987,1.05051586,38302.17949,801.3354702,123.8599916,83.52874219,1,1.334121563
P1R10,70421.11159,1.287642549,340.9613403,252.7496467,1.017378484,69612.80656,979.7904974,171.8634834,115.4391101,1,1.097406328
P1R11,53091.84029,1.215551946,289.4837818,224.8083167,1.023623746,52372.25166,872.6110749,151.7873682,97.71696065,1,1.15699199
P1R12,24239.29359,1.211956865,194.328631,152.8892739,1.000583274,23769.42522,570.9001873,101.9702267,67.50619799,1,1.091168571
P1R13,24899.73794,1.095058445,188.099487,164.4747161,0.944523871,24431.51247,571.1175077,98.31311679,75.84695137,1,1.062406579
P1R14,39623.37554,1.187982612,246.0969995,196.8151709,0.957822277,39027.00415,728.1910789,125.1112973,92.10011005,1,1.081223934
