Measurement Table elongatus31,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,66714.73729,1.27126716,340.3681581,241.0926687,1.036451293,65903.14647,1034.494961,178.3039061,109.6255313,1,1.292232818
P1R2,82828.26525,1.248190284,366.7253739,260.2310318,1.092368753,81966.9287,1173.772491,190.287936,111.1780051,1,1.337578715
P1R3,46638.5432,1.207644999,262.6566312,200.6182349,0.979797141,45976.45595,806.6623608,133.2220048,92.86100662,1,1.126258942
P1R4,62932.78977,1.272955717,326.6037016,240.1025508,1.033675879,62255.91645,943.754007,166.37801,109.098113,1,1.138484556
P1R5,85230.1798,1.22870065,382.6162739,277.3393661,1.051332581,84311.80071,1110.292094,200.0996559,133.5956345,1,1.163526521
P1R6,60419.15826,1.207039889,314.2575199,237.460503,1.02317582,59663.42592,916.9391306,160.189397,107.7697694,1,1.121406279
P1R7,113366.4237,1.235518505,443.4539594,323.5156233,1.100192142,112288.6836,1306.668016,228.6298984,137.7583801,1,1.209998099
P1R8,30643.30378,1.068691411,208.6703773,182.5770196,0.945564381,30127.43431,638.2187963,108.8452137,83.59570539,1,1.075888313
P1R9,74045.34106,1.265395649,343.3621004,242.9052934,1.076486454,73179.53466,1039.683751,175.6336496,107.1821874,1,1.175446932
P1R10,34428.5371,1.148663429,228.8857371,185.1504157,0.987464675,33865.02364,683.6398159,119.9008132,81.93685589,1,1.098230425
P1R11,70874.551,1.21380327,337.9364068,261.0504606,1.027444629,70779.26301,1009.336218,172.9387307,112.7542829,1,1.145396457
P1R12,81021.07921,1.291745755,357.9839261,236.9687726,1.062395991,80193.12229,1103.492427,183.4865822,115.293059,1,1.208347223
P1R13,43204.88971,1.214314329,265.4749895,202.9711071,0.992251684,42562.51722,769.0204188,134.499258,93.96022275,1,1.105703272
P1R14,47436.99086,1.266989343,276.3007605,203.0520333,1.026817131,46747.66236,865.8859762,141.631526,93.07063391,1,1.276296771
P1R15,39396.65584,1.181750164,252.8016421,189.9853522,1.06254963,39273.43861,766.8008998,132.8446937,83.83246227,1,1.191396876
P1R16,62650.21158,1.104155122,310.1370875,264.4519129,0.990891417,61879.69317,937.8455475,162.4366855,115.9334422,1,1.131109493
P1R17,73302.75189,1.345757454,360.0796918,237.6334053,1.051533605,72809.88296,1028.210082,183.2914355,108.9536426,1,1.155482945
P1R18,31698.04328,1.315526723,229.6095505,164.40478,1.043120895,31154.24457,656.8148036,121.118074,72.84782209,1,1.101942155
P1R1,24929.32586,1.178490081,191.4236997,148.614768,1.046773593,24550.32933,589.80028,102.0835107,66.059875,1,1.127568108
P1R2,39419.65987,1.107441987,240.3420439,203.7318188,0.999060504,38937.11788,738.1911635,122.183613,92.48212129,1,1.113689281
P1R3,25498.32329,1.272270014,202.2510497,153.2505173,1.025265155,25114.30029,592.631632,105.0971317,69.96143224,1,1.112855384
P1R4,43515.23506,1.163789713,259.520325,209.382308,0.998371373,43017.61363,776.0357631,131.286823,96.36296969,1,1.11405675
P1R5,43828.88736,1.16000145,261.6767468,215.8132423,0.986013118,43329.25534,774.1610453,135.3798921,97.58221936,1,1.100706575
P1R6,35440.699,1.188311581,233.3901218,180.1191463,0.987224625,34996.35825,692.1317262,118.9230092,84.53892403,1,1.089293263
P1R7,39391.51159,1.173996545,246.7809171,196.4415575,0.975419855,38932.0914,729.3105036,125.2631535,91.50035909,1,1.087194783
P1R8,42125.91623,1.153187875,255.4245259,209.439915,0.966917953,41644.37953,758.7204611,130.3890272,93.64274828,1,1.100011825
P1R9,32853.06755,1.102561703,217.9869791,188.8062233,0.94446917,32422.80093,666.9339065,112.5364572,85.8049564,1,1.091704805
P1R10,54117.08483,1.184271142,290.8498462,221.3688105,0.998549539,53559.14565,871.7874071,150.3945488,105.8652416,1,1.129217758
P1R11,36333.40169,1.073034558,228.7655788,196.4415575,0.963451384,35864.93384,715.614748,122.2827405,86.19769549,1,1.136262536
P1R12,43086.97904,1.278233009,271.066545,198.2093863,1.051833792,42584.33113,770.6685657,142.3347486,89.16317277,1,1.109878957
P1R13,50341.19371,1.210873804,287.9388082,202.9605915,1.073025185,49876.74704,857.5762595,148.2791306,93.04486009,1,1.173376905
P1R14,34139.8462,1.077396991,217.0534117,190.0057464,0.982515318,33695.50545,680.7364882,119.5412421,83.84020136,1,1.094400396
P1R15,44092.27487,1.125901439,252.2403075,216.0925521,0.955168035,43597.66932,768.1651427,129.6327399,98.61745979,1,1.077050524
P1R16,31286.81665,1.215790394,218.2957459,171.8592195,0.965167856,30865.5977,647.3243088,110.9094756,77.71921114,1,1.08033712
P1R17,26678.54059,1.248371541,206.7344835,161.3229627,0.985235346,26289.49111,596.96555,107.8253472,76.18969981,1,1.0787145
P1R18,31885.97296,1.117666486,217.7793526,176.1061503,0.949653821,31478.82816,649.5159565,112.3550331,83.16022153,1,1.066476401
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
