Measurement Table falconensis25.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,28968.60448,1.258281091,216.9514934,161.2232267,1.084333861,28549.39612,690.0597251,112.224333,70.58660942,1,1.327292353
P1R2,34433.39258,1.13899358,234.6187933,179.34167,1.081742972,33975.98298,706.6582845,121.3612246,78.94081176,1,1.169599129
P1R3,37141.65954,1.348958746,254.0670087,163.6001101,1.099597036,36659.11754,753.2415641,128.8968567,74.40725473,1,1.231619918
P1R4,35350.22238,1.123292696,232.721523,182.0842011,1.050846974,34885.67778,764.7035172,119.6602813,78.96015519,1,1.333918106
P1R5,33649.26184,1.145531445,232.5616378,180.5316887,1.071099828,33197.88402,700.7919871,120.1512208,76.49342784,1,1.177221022
P1R6,38386.21577,1.190371615,242.6399486,186.2059424,1.088159466,37906.68966,741.0046866,125.6380664,77.83631421,1,1.152699771
P1R7,34003.12597,1.218119938,230.6169341,172.4664978,1.085523704,33546.72167,703.1030818,125.3139219,70.70261333,1,1.172676102
P1R8,36329.38051,1.29072417,251.2499672,184.0501239,1.085486892,35860.79362,768.3880069,127.8957331,78.03785113,1,1.310181359
P1R9,45041.27412,1.249833505,281.5878244,208.5693192,1.105949411,44513.49382,816.5772265,144.292568,86.22326363,1,1.192045964
P1R10,36735.52002,1.116765796,235.1751583,186.9548748,1.031147621,36274.08924,717.4775037,122.9945485,81.82033022,1,1.129302311
P1R11,40248.02363,1.354246533,262.3980012,171.8065657,1.11701306,39750.4022,763.9302466,136.117826,74.89482106,1,1.168304477
P1R12,44546.66858,1.162829855,270.6954241,190.1168222,1.026765287,44029.94653,801.6394674,136.6279344,94.11350835,1,1.161449097
P1R13,45276.51335,1.12900581,264.0060039,217.6177284,1.067091465,44750.74363,811.9691092,140.9326746,89.56533526,1,1.172381387
P1R14,41227.18177,1.157882595,256.5594462,187.1752107,1.079895894,40715.56671,837.6709846,131.3914909,82.56875274,1,1.371439388
P1R15,37081.34179,1.236819211,242.5529267,180.4759948,1.077296224,36605.83686,734.2785248,129.2949019,80.04615035,1,1.172091377
P1R16,30166.9171,1.338199399,232.946041,164.8305947,1.10737675,29737.65579,661.1609301,119.8727785,67.57315152,1,1.169762759
P1R17,37368.85639,1.17501591,243.5290986,195.9906974,1.043602478,36895.36206,730.2432625,128.6502911,82.12317952,1,1.15014739
Mean value,37409.06822,1.213815994,246.1692489,183.1200746,1.076642878,36932.66825,747.2293005,127.7245089,79.11138413,1,1.209537171
Standard Deviation,4595.427752,0.078979834,16.37227941,14.46992309,0.025184754,4565.341197,47.90584686,8.095635456,6.5988695,0,0.073581807
Minimum,28968.60448,1.116765796,216.9514934,161.2232267,1.026765287,28549.39612,661.1609301,112.224333,67.57315152,1,1.129302311
Maximum,45276.51335,1.354246533,281.5878244,217.6177284,1.11701306,44750.74363,837.6709846,144.292568,94.11350835,1,1.371439388
Range,16307.90887,0.237480737,64.63633099,56.39450164,0.090247773,16201.34751,176.5100544,32.068235,26.54035683,0,0.242137076
Sum,635954.1598,20.6348719,4184.877231,3113.041269,18.30292892,627855.3602,12702.89811,2171.316652,1344.89353,17,20.56213191
Index of Minimum,1,10,1,1,12,1,16,1,16,1,10
Index of Maximum,13,11,9,13,11,13,14,9,12,1,14
Number of Elements,17,17,17,17,17,17,17,17,17,17,17
