Measurement Table glutinata27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,34198.15336,1.263543449,232.7949469,165.9974655,1.081346903,33752.80731,745.7212298,121.7183464,72.16029956,1,1.311092314
P1R2,29601.94085,1.243573512,220.1849142,158.265444,1.050798204,29184.47616,678.9966959,112.5510576,74.28587914,1,1.257110856
P1R3,29571.78198,1.34755439,225.6506892,137.7167783,1.109783938,29148.05439,697.3810784,113.0256563,65.19589708,1,1.32776405
P1R4,26783.09136,1.316864639,208.4439626,149.4310237,0.975318561,26391.21497,636.6057353,106.8770573,73.61903585,1,1.22200186
P1R5,33850.32101,1.085838298,215.3095717,187.9416774,0.921074579,33421.05969,663.0842608,111.1808188,86.03244618,1,1.046905256
P1R6,33269.26002,1.315586632,231.1959753,149.0538081,1.045637311,32834.97222,687.3808027,117.3512075,72.59162799,1,1.145112886
P1R7,33818.15154,1.32161692,236.8618783,155.9813115,1.083054938,33369.7896,691.6081005,119.8128049,72.43923272,1,1.140661627
P1R8,30438.34698,1.290757038,219.4531881,143.4096997,1.045006082,30027.18098,654.583792,111.5667062,70.93599184,1,1.135549553
P1R9,33500.47806,1.120936538,227.7614435,177.2498381,1.049166548,33055.13201,692.6462645,117.4260195,74.60128902,1,1.154979442
P1R10,32348.40904,1.196711894,221.6819368,171.4785785,1.015004047,31923.16891,660.6341604,113.7033063,76.00294616,1,1.087943181
P1R11,30428.29402,1.251384384,219.6866904,151.429184,1.085213845,30010.09096,656.2517146,113.3496942,67.22445057,1,1.141993804
P1R12,29501.41127,1.269010811,218.2819299,150.7305067,1.100548907,29078.18173,649.6474745,113.5658274,64.73958629,1,1.15499052
P1R13,26750.92189,1.298171215,207.6079314,135.0037529,1.05230655,26360.42783,648.5294074,105.3476909,65.32725708,1,1.269688103
P1R14,43056.82017,1.303388868,268.9069145,194.7609356,1.052641975,42569.25169,769.7739258,137.8469142,81.41219766,1,1.107695864
P1R15,30458.45289,1.344139599,221.6955409,134.5935762,1.105117005,30030.19687,673.5841112,113.5689046,66.53869932,1,1.20230775
P1R16,47932.50492,1.217169816,269.5939123,203.0200207,1.039823254,47406.7352,824.336526,142.294588,90.06064464,1,1.14066784
P1R17,31536.13002,1.150898593,224.0770074,173.9985318,1.081191377,31098.82633,674.6620207,115.4936136,71.47917024,1,1.164712358
P1R18,40666.2267,1.326709224,259.4583388,161.7337236,1.10322273,40163.33132,828.1314344,133.4986385,78.27529114,1,1.358810735
P1R19,27124.89194,1.231477036,210.6460232,152.8301122,1.088837304,26721.76831,623.7344494,110.4750426,64.26329406,1,1.158575727
P1R20,34515.82684,1.30388136,239.4704471,168.6828178,1.071278064,34062.43842,695.6297562,122.4164184,76.9967252,1,1.130500411
P1R21,33428.09676,1.03808025,216.5944019,190.6870472,0.972845205,32991.79837,675.6008195,110.8791922,85.59582,1,1.10094216
P1R22,52932.84635,1.286565377,295.1319221,208.4343166,1.115986267,52364.85421,884.7148686,153.9455798,89.13336574,1,1.189479361
P1R23,33305.45067,1.260238457,226.9522788,158.16378,1.103575976,32851.05696,698.5392039,118.3364934,71.45315401,1,1.182013345
P1R24,34441.43495,1.253612047,233.8548543,168.1156947,1.060189509,34003.71504,731.5965708,119.7741153,73.72075706,1,1.252584726
Mean value,33894.13515,1.251571264,231.3040291,164.5295677,1.058707045,33450.8554,701.8072668,119.0002373,74.33687744,1,1.182670155
Standard Deviation,6254.279821,0.079708277,21.12000969,20.3586369,0.047123882,6214.733766,64.0548477,11.46036095,7.402868702,0,0.076981852
Minimum,26750.92189,1.03808025,207.6079314,134.5935762,0.921074579,26360.42783,623.7344494,105.3476909,64.26329406,1,1.046905256
Maximum,52932.84635,1.34755439,295.1319221,208.4343166,1.115986267,52364.85421,884.7148686,153.9455798,90.06064464,1,1.358810735
Range,26181.92446,0.30947414,87.52399066,73.84074043,0.194911688,26004.42637,260.9804192,48.59788883,25.79735058,0,0.31190548
Sum,813459.2436,30.03771034,5551.296699,3948.709625,25.40896908,802820.5295,16843.3744,2856.005694,1784.085059,24,28.38408373
Index of Minimum,13,21,13,15,5,13,19,13,19,1,5
Index of Maximum,22,3,22,22,22,22,22,22,16,1,18
Number of Elements,24,24,24,24,24,24,24,24,24,24,24
