Measurement Table glutinata44,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,28406.92194,1.336432649,220.4620662,142.9457016,1.040495324,28078.35627,673.5363207,112.0882486,68.5229175,1,1.285702586
P1R2,67771.12697,1.280551696,331.1582659,230.3686685,1.101951177,67255.99203,1003.636235,174.1056648,98.31386603,1,1.191823212
P1R3,38643.39816,1.340686156,256.6461163,163.1179077,1.086123011,38258.16128,745.3232445,131.678943,78.53710993,1,1.155461276
P1R4,26960.21418,1.313581068,211.1107963,143.4259835,1.058362069,26645.02037,611.7287151,106.8076473,66.19236753,1,1.117614004
P1R5,30458.54712,1.351140146,225.8408503,139.6104436,1.082701504,30124.25065,664.3165833,115.05227,66.27235741,1,1.165800111
P1R6,41895.94361,1.215585042,258.4287715,193.4314715,1.075414136,41499.88189,780.0680143,136.0847739,86.50450132,1,1.166831749
P1R7,48923.17374,1.239109889,280.9985568,205.8977566,1.165858665,48477.44511,866.7262963,147.0644105,77.52563932,1,1.233145664
P1R8,38862.44194,1.398623921,254.0025748,139.5785133,1.154639225,38466.38022,772.7278789,130.9239519,65.51301832,1,1.2352703
P1R9,52607.43919,1.444329116,305.0915792,179.4313664,1.120536461,52154.0695,885.1100516,153.1815416,76.96744296,1,1.195353896
P1R10,32912.60157,1.175398071,223.9921592,174.6113151,1.031401188,32566.84351,674.2947165,116.9761564,74.31215125,1,1.110999858
P1R11,32968.63603,1.332759039,230.666995,153.9936242,1.105605895,32637.52334,693.7360886,119.6625511,70.17319457,1,1.173441752
P1R12,50043.86285,1.154939102,273.0991282,218.2938625,0.993417262,49615.46561,885.5428868,147.8286706,100.0247189,1,1.257744085
P1R13,26952.57312,1.400585528,221.9818373,152.0461556,1.076393591,26633.55878,617.5840994,111.2991526,68.47660619,1,1.13960191
P1R14,31697.6727,1.246470614,226.6289314,164.5056078,1.058210663,31360.19245,671.1466676,114.0545793,70.67313318,1,1.143000221
P1R15,33558.27132,1.358438588,236.9982577,155.5405934,1.106851881,33199.1414,698.219787,121.8713782,68.27435214,1,1.168550834
P1R16,36241.55764,1.338214806,246.2223799,158.6856018,1.083023788,35868.4191,721.3191357,124.1030894,72.0214023,1,1.154337565
P1R1,28427.29811,1.440579999,222.9749856,135.6547994,1.120171092,28094.91191,688.7217035,114.1013557,60.07281415,1,1.343538205
P1R2,30231.86228,1.386807185,228.7515397,142.1953722,1.106539366,29889.28799,668.0501091,117.6362526,66.18711854,1,1.188208531
P1R3,25434.54878,1.205753544,203.1455217,158.2677325,1.029376601,25123.81225,591.2391023,104.2649843,71.0581095,1,1.107212336
P1R4,31394.57723,1.312754313,228.629028,163.0124751,1.080394406,31044.81159,723.0005964,119.1579699,72.7279481,1,1.339918674
P1R5,33447.47592,1.357152511,235.9211097,148.7908061,1.10014999,33085.79898,703.05097,121.542768,68.34952332,1,1.188836564
P1R6,30811.30949,1.196455253,223.2632275,174.056134,1.05551249,30468.7352,662.8502534,117.102442,72.67419244,1,1.1475367
P1R7,35071.20162,1.247007554,238.2870803,164.4397924,1.096812115,34699.41828,764.8563263,120.0034779,71.06915198,1,1.341614333
P1R8,31985.48604,1.335298567,233.2064743,146.4877109,1.064109167,31643.0379,721.8443186,118.8197506,72.36593327,1,1.310385477
P1R9,43757.81574,1.355163433,273.2576304,174.8409063,1.114916577,43348.63685,866.9225258,142.5687437,78.00873218,1,1.379670211
P1R10,40684.83526,1.41946166,266.7295557,164.8767782,1.165676342,40281.08063,840.6988371,139.4514373,71.07875413,1,1.396271706
P1R11,29593.83359,1.113622151,213.0712805,173.1648774,0.997849386,29272.46822,678.1851757,108.8914266,78.08554372,1,1.250337909
P1R12,30750.18099,1.35271866,226.1648588,140.8455565,1.151753846,30402.03401,734.1863829,117.8775605,65.01887487,1,1.41091278
P1R13,30838.05321,1.419978024,231.8811778,140.5377959,1.086528119,30496.11568,669.1297319,118.4208173,65.84146102,1,1.168332038
P1R14,51518.58784,1.28424024,285.369748,194.367396,1.089815767,51072.85921,863.4014784,150.9259113,92.63409714,1,1.161516976
P1R15,30888.99362,1.174218767,219.8691725,173.1612002,1.010993729,30558.51768,654.1046116,112.33369,80.72838822,1,1.114172142
P1R16,27427.59248,1.204027445,204.0930588,155.2988702,1.037852746,27105.39149,667.1419472,106.57775,71.25560042,1,1.306685192
P1R17,27078.65064,1.293997823,205.2659008,143.9754424,1.026118852,26785.09285,644.5149811,107.2891765,71.78003765,1,1.234136037
P1R18,30468.7352,1.327975268,225.2705941,143.1237717,1.071751386,30128.70794,658.9072839,116.0699196,70.54564745,1,1.146722322
P1R19,37651.3336,1.320380423,249.5820745,158.6494835,1.108596279,37273.73778,747.3464445,129.7601317,72.75218498,1,1.192425231
P1R20,41192.96589,1.124931623,243.3819777,204.9896281,0.964123489,40812.66462,802.3620058,127.3425264,93.37842144,1,1.255266439
P1R21,28291.0325,1.266755599,212.0257425,147.2291402,1.082118166,27957.67496,682.3247139,109.149188,65.33967272,1,1.325169127
P1R22,25244.79573,1.083708513,191.5392551,161.1898205,0.996513521,24947.43107,587.6491891,101.3362985,70.78880531,1,1.101540852
P1R23,26522.12662,1.053766913,189.6751631,168.5133047,0.940912278,26217.33766,630.292725,101.5739519,74.259663,1,1.205830205
P1R1,32778.88299,1.185932343,224.5798389,166.4832704,1.058047385,32429.30439,728.0725538,116.343009,75.8136812,1,1.300773987
P1R2,25272.81296,1.185156792,198.0797326,154.6208584,1.008107865,24969.77525,618.8453462,102.2068104,66.42339279,1,1.220505617
P1R3,28887.03535,1.23230257,213.2385687,161.8285108,1.062813634,28554.46625,684.7467917,112.8439838,71.18169203,1,1.306700697
P1R4,25819.1489,1.270401767,203.4430792,149.6314991,1.104759516,25512.14717,644.7200687,110.4676771,59.02177657,1,1.296538817
P1R5,35947.37674,1.153782473,232.3968601,192.6331869,1.085954175,35572.9647,784.7044504,137.8499619,76.8315699,1,1.377470565
P1R6,29927.4933,1.205507579,215.3423611,172.0803961,0.977083673,29604.02167,671.052765,109.8793886,77.92430584,1,1.210466526
P1R7,38675.23592,1.084095637,237.3741047,198.2114891,1.012185097,38289.36228,794.73371,130.2794772,89.60623848,1,1.312669195
P1R8,50073.15358,1.279079849,286.9185534,200.7618718,1.106569755,49632.18791,916.1488366,146.9045156,88.14368852,1,1.345732701
P1R9,31122.04602,1.20769659,216.4483746,159.4741413,1.033699972,30782.64096,702.1883958,111.0006478,75.72329459,1,1.274651838
P1R10,39012.71617,1.128442572,243.3924426,196.1706804,1.068640427,38619.20147,819.6556653,129.2515622,79.69932729,1,1.384362281
P1R11,27198.36062,1.078412641,198.7728822,169.9094059,1.007214898,26878.70952,666.1517327,103.4858431,72.83361002,1,1.313796399
P1R12,20483.14052,1.242928448,181.2813688,132.6502641,1.047894399,20204.24176,575.7778196,93.14681313,63.61572123,1,1.305742266
P1R13,26189.74042,1.27320765,206.4536704,144.9803034,1.04663142,25870.72607,653.3371375,104.6915755,68.03481193,1,1.312974316
P1R1,28375.47994,1.245822962,211.6743605,152.4151433,1.05236572,27975.37221,664.8801881,112.7491818,66.88518762,1,1.257479947
P1R2,36299.22163,1.230487537,239.1680004,179.862224,1.039270361,35835.27615,762.948738,121.6537069,78.41531135,1,1.292617763
P1R3,29268.18264,1.176023627,211.978095,161.0797481,1.078952888,28840.56874,687.3809702,115.5047384,67.30436112,1,1.303711049
