Measurement Table inflata20.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,40886.0499,1.166949717,245.0116957,200.6381376,0.940421745,40503.36003,735.9453522,125.2359678,98.13277559,1,1.0641191
P1R2,41347.06064,1.17127519,245.8911366,205.0331114,0.919950758,40966.9178,734.2890334,124.3243328,98.32393958,1,1.047347863
P1R3,78418.94703,1.237256581,347.2496621,267.7422227,0.994764659,77880.88891,1030.934148,175.8875474,125.2271803,1,1.085978201
P1R4,50534.16433,1.215876481,279.1114031,206.2716192,1.010828519,50104.35459,832.0009088,140.4093614,99.5993774,1,1.099416591
P1R5,56240.76423,1.165702579,289.7431207,242.5879499,0.965536933,55789.30481,871.8066934,146.6281753,110.6431531,1,1.084125615
P1R6,31306.70502,1.123879267,216.6071754,181.7023828,0.923090402,30969.86153,637.3373618,111.199692,87.08188894,1,1.043733566
P1R7,109231.53,1.235686722,409.4835048,286.9895618,1.062222521,108575.0354,1259.919791,210.9410428,125.1008686,1,1.16344531
P1R8,73081.66514,1.103787892,325.7787682,273.3787759,0.947396805,72577.99179,990.8118794,164.8323885,132.5892485,1,1.076384958
P1R9,56636.82595,1.090766272,286.461015,247.262381,0.933126033,56191.09732,871.6196573,145.6057773,120.6169027,1,1.075911814
P1R10,45785.24422,1.14898799,255.8509443,210.7606252,0.926721634,45390.45602,775.5742911,130.8231833,104.9595178,1,1.054562735
Mean value,58346.89565,1.166016869,290.1188426,232.2366767,0.962406001,57894.92682,874.0239116,147.5887469,110.2274853,1,1.079502575
Standard Deviation,21818.54283,0.049034929,54.30208721,34.22241471,0.044218097,21729.88541,171.2474484,27.95389822,14.20835248,0,0.032712176
Minimum,31306.70502,1.090766272,216.6071754,181.7023828,0.919950758,30969.86153,637.3373618,111.199692,87.08188894,1,1.043733566
Maximum,109231.53,1.237256581,409.4835048,286.9895618,1.062222521,108575.0354,1259.919791,210.9410428,132.5892485,1,1.16344531
Range,77924.82501,0.146490309,192.8763294,105.287179,0.142271763,77605.17391,622.5824289,99.74135073,45.50735957,0,0.119711744
Sum,583468.9565,11.66016869,2901.188426,2322.366767,9.624060011,578949.2682,8740.239116,1475.887469,1102.274853,10,10.79502575
Index of Minimum,6,9,6,6,2,6,6,6,6,1,6
Index of Maximum,7,3,7,7,7,7,7,7,8,1,7
Number of Elements,10,10,10,10,10,10,10,10,10,10,10
