Measurement Table menardii46 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,554858.6893,1.147704588,900.4838902,711.3845316,0.981777155,552635.8505,2744.188907,468.6677441,329.5761153,1,1.084374038
Mean value,554858.6893,1.147704588,900.4838902,711.3845316,0.981777155,552635.8505,2744.188907,468.6677441,329.5761153,1,1.084374038
Standard Deviation,0,0,0,0,0,0,0,0,0,0,0
Minimum,554858.6893,1.147704588,900.4838902,711.3845316,0.981777155,552635.8505,2744.188907,468.6677441,329.5761153,1,1.084374038
Maximum,554858.6893,1.147704588,900.4838902,711.3845316,0.981777155,552635.8505,2744.188907,468.6677441,329.5761153,1,1.084374038
Range,0,0,0,0,0,0,0,0,0,0,0
Sum,554858.6893,1.147704588,900.4838902,711.3845316,0.981777155,552635.8505,2744.188907,468.6677441,329.5761153,1,1.084374038
Index of Minimum,1,1,1,1,1,1,1,1,1,1,1
Index of Maximum,1,1,1,1,1,1,1,1,1,1,1
Number of Elements,1,1,1,1,1,1,1,1,1,1,1
