Measurement Table menardii55.tif* ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,178065.1543,1.20768097,519.7789082,411.3964254,0.991010582,175544.737,1532.519538,267.3570468,187.4508466,1,1.064668449
P1R2,254781.6026,1.214957358,629.6588645,493.2040092,0.996074637,251735.8212,1847.249731,322.4434184,216.2023323,1,1.07868928
P1R3,329157.1884,1.264181798,733.402796,560.2811628,0.999368626,325699.096,2094.150436,372.9617639,248.9906227,1,1.071493047
P1R4,394993.9462,1.300412141,817.5874555,589.4335215,1.02382197,391190.0446,2336.599123,417.6315967,245.9802828,1,1.110633534
P1R5,438007.2946,1.245540257,831.7399657,610.8857207,1.073084461,433937.386,2485.52489,428.2773993,249.6392684,1,1.132920203
P1R6,502487.4162,1.327722808,906.9878521,608.2018386,1.048016595,498111.5994,2639.290936,460.1511777,259.5963324,2,1.112853599
P1R7,151038.8327,1.132038393,467.1106139,390.0207192,0.947604452,148731.2211,1400.949011,237.4214131,184.4112835,1,1.050104868
P1R8,361809.5602,1.360535445,793.5397362,517.0594145,1.101936257,358018.959,2282.905333,401.3640242,201.7137585,1,1.158403703
P1R9,188013.8199,1.136927568,526.0739389,427.7067737,0.966172506,185386.9998,1579.763809,267.2469315,195.2897101,1,1.071260772
P1R10,445043.1825,1.275866553,846.575239,595.5283109,1.064250897,440933.3727,2501.316552,429.3512383,242.5444916,1,1.129157441
P1R11,339119.1543,1.341446858,757.2526067,512.82348,1.072982615,335548.009,2162.026388,385.3836435,218.729444,1,1.108555578
P1R12,390844.2354,1.389865464,815.9183014,560.0793474,1.054547786,386980.4822,2320.041506,421.2592286,239.3720947,1,1.106859775
P1R13,511531.6577,1.374092634,928.487543,585.7212305,1.108231431,507102.6394,2681.368108,473.2464581,251.9541075,2,1.128254737
P1R14,153233.3913,1.345464011,514.0151305,357.2164707,1.096107782,150786.1259,1462.480812,270.7911567,146.8806433,1,1.128779536
P1R15,180485.8189,1.348800238,548.5986106,384.3181541,1.023867213,177938.8009,1558.045886,277.948679,173.1238026,1,1.085625374
P1R16,31974.05369,1.237039721,228.5981086,176.4166403,0.976454393,30903.37511,637.3631051,116.2189093,84.4137084,1,1.046063584
P1R17,290785.6639,1.233593077,674.4618192,510.5751269,0.99819419,287460.5751,1988.418781,348.2183202,229.93151,1,1.094529775
P1R18,151411.2426,1.462019054,529.124253,348.0129792,1.119766315,148970.6275,1477.658789,280.6102582,154.4896078,1,1.166374007
P1R19,37400.59858,1.196528056,239.980286,190.202434,0.998912616,36223.51715,695.5755358,125.0769716,91.52365326,1,1.062889554
P1R20,69893.36613,1.32475968,344.7491455,251.6670242,1.038546259,68297.32351,966.1749441,176.9899406,112.4700547,1,1.087672164
P1R21,108411.1945,1.029071281,382.2360539,352.0029947,0.900265584,106562.4452,1177.751474,195.3448161,162.2939202,1,1.035841467
P1R22,216649.4845,1.226287929,576.4743471,420.5569192,1.037824146,213803.2085,1711.038373,298.7433403,178.6330357,1,1.089671113
P1R23,76131.23267,1.442498267,373.6315395,246.6222292,1.077571654,74455.38793,1019.707352,193.3779149,106.5292881,1,1.111335348
Mean value,252229.0909,1.279014329,608.0862224,439.1275186,1.031070129,249318.3371,1763.387844,311.6267673,190.5288608,1.086956522,1.09707117
Standard Deviation,146549.7868,0.100975899,205.5807031,133.1741462,0.054422905,145571.949,600.1971256,104.1729159,53.35695737,0.281771335,0.033902135
Minimum,31974.05369,1.029071281,228.5981086,176.4166403,0.900265584,30903.37511,637.3631051,116.2189093,84.4137084,1,1.035841467
Maximum,511531.6577,1.462019054,928.487543,610.8857207,1.119766315,507102.6394,2681.368108,473.2464581,259.5963324,2,1.166374007
Range,479557.604,0.432947773,699.8894344,434.4690805,0.219500731,476199.2643,2044.005003,357.0275488,175.182624,1,0.13053254
Sum,5801269.092,29.41732956,13985.98311,10099.93293,23.71461296,5734321.754,40557.92041,7167.415647,4382.163799,25,25.23263691
Index of Minimum,16,21,16,16,21,16,16,16,16,1,21
Index of Maximum,13,18,13,5,18,13,13,13,6,6,18
Number of Elements,23,23,23,23,23,23,23,23,23,23,23
