Measurement Table pachyderma66,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R4,38258.69826,1.190799098,246.1595292,194.3299988,0.953296184,37334.45761,702.3810318,125.2027552,94.52648672,1,1.051540151
P1R5,32405.17418,1.122527291,217.9660801,174.6191109,0.951076804,31566.06096,648.1909635,110.9210988,83.38282973,1,1.059194485
P1R8,52203.38167,1.187200198,290.8754989,230.7930841,1.001698183,51104.83248,847.3108665,147.9676276,108.3849989,1,1.11792776
P1R13,43536.59878,1.163077263,259.8582665,210.0869926,0.996372007,42543.44546,759.1831608,134.5828611,93.21365508,1,1.078079111
P1R20,27184.02527,1.268621604,225.1023944,163.9141168,1.070554468,26393.5563,616.4727239,116.1496831,72.5337521,1,1.145829442
P1R21,37042.59215,1.167768155,239.3464126,185.864254,1.029137949,36114.29781,708.5417728,122.626811,80.07772882,1,1.106221007
P1R22,53508.66889,1.122962423,280.2719169,223.5664581,0.941356823,52446.60289,835.6751597,141.4441832,109.1891702,1,1.059614226
P1R23,68126.26435,1.155093269,330.1078838,246.8173592,1.002311492,66841.24556,967.4981019,166.8566846,115.7417357,1,1.114412222
P1R26,64007.71832,1.288108186,337.4434306,240.6132961,1.063682954,62795.66589,955.4751418,174.0919611,106.7196627,1,1.156909194
P1R29,34756.31266,1.180505594,231.7570997,188.1188131,0.999264997,33892.87732,678.9130264,120.5760703,88.17541398,1,1.082206158
P1R30,40553.08512,1.308787111,264.3741135,191.1118003,1.139499177,39547.77074,777.3447385,136.0010402,78.86270505,1,1.21589333
P1R31,64194.18792,1.125830774,310.9347775,231.5471113,0.992259444,63002.40393,942.9672891,158.9233049,112.9936567,1,1.123120338
P1R34,54870.70774,1.263968878,300.4994716,224.2182567,1.013993673,53739.72905,860.660529,150.5683891,109.9432065,1,1.096878331
P1R36,27459.67599,1.210348846,208.3237227,160.3133676,0.996893218,26677.31439,597.6729456,107.3261189,69.87208959,1,1.065553464
P1R37,61210.67426,1.109391986,304.5594635,240.0566911,0.981459753,60055.37346,899.6077996,155.2544835,113.8439135,1,1.072370132
P1R38,29405.44577,1.280799826,223.366918,163.6913905,1.0594778,28578.49361,639.3402287,113.7867728,71.60070837,1,1.138190321
P1R41,40690.91048,1.290021862,266.99839,197.2081982,1.080680436,39697.75716,763.9032195,141.0558748,89.81073881,1,1.169771045
P1R42,39758.56246,1.417828821,282.9206677,176.0985685,1.144317036,38761.35545,764.8708033,149.2940611,87.10497521,1,1.20106737
P1R44,28927.1107,1.082873209,204.1369705,176.1215864,0.968136843,28132.58804,611.5987588,104.0902344,78.64166613,1,1.058068199
P1R45,47460.56783,1.05436773,258.5445788,224.2905618,0.927484334,46475.52188,792.7282613,132.2593672,107.4351659,1,1.076005682
P1R46,54181.58094,1.159334314,290.2895901,231.4070132,1.015680601,53087.08544,851.0768897,150.8512169,103.3406052,1,1.085772581
P1R47,59767.56168,1.164770802,318.4192522,227.965497,1.215679403,58498.75763,984.3355362,184.8195166,106.6995291,1,1.3180438
P1R48,32267.34882,1.146890697,217.7614083,183.0291498,0.951163323,31436.34297,644.9779308,111.0156212,85.92269753,1,1.053047225
P1R1,44412.19518,1.121429857,257.712259,203.2613546,0.982007387,43350.12918,850.1968509,132.0825295,99.49573405,1,1.326901684
P1R2,29178.43929,1.065028623,210.2027324,176.5583567,1.040846213,28347.43345,638.1501716,112.6214736,81.85024246,1,1.143199941
P1R3,39653.1666,1.140673448,246.8173592,202.6421715,0.959306105,38737.62057,759.7221329,125.0598593,95.56987485,1,1.185678033
P1R4,42855.57936,1.20400337,257.7437161,194.9755806,1.004675817,41882.69447,753.5561051,131.63944,91.13903873,1,1.078913753
P1R5,44347.33619,1.107958478,253.9889279,205.3644564,0.956175881,43338.87465,807.5532363,127.558412,96.57176112,1,1.197443004
P1R6,35923.77452,1.170231991,239.6679898,187.2548874,1.067029311,34987.37282,716.9892742,123.4520773,82.52643595,1,1.169241287
P1R7,46601.18618,1.12005407,266.1620459,222.5487547,0.96985432,45577.9664,830.3992714,135.2062614,101.6749028,1,1.203951888
P1R8,42344.81479,1.131254962,252.5163304,201.3779658,0.957916846,41429.49158,787.5886143,128.354979,93.46626765,1,1.19145985
P1R9,66658.82964,1.206123694,337.9715866,259.6710037,1.040897581,66180.49457,983.1648132,171.2528666,118.6943443,1,1.162285455
P1R10,34018.54162,1.166795569,230.7052466,184.111192,0.943506264,33175.37471,664.1616893,116.3010281,88.92931551,1,1.058088421
P1R11,42312.38529,1.153586808,254.323869,197.2081982,0.966304693,41631.36587,749.4149227,128.4482074,94.24618235,1,1.073529964
P1R12,71255.71074,1.197127356,340.6357846,248.3074301,1.033697391,69942.65238,1043.677663,173.2100913,116.468037,1,1.239312519
P1R13,54911.24461,1.178285814,289.7724509,225.2824043,1.004393993,53784.31961,854.2207161,148.3988664,105.7614965,1,1.079629337
P1R14,72390.74311,1.146767724,332.4694544,254.1803769,0.987031704,71681.34788,982.6851958,171.6816018,123.3321621,1,1.07204452
P1R15,37472.28297,1.082585066,233.690547,202.7221724,0.949899537,36543.98864,697.1596344,121.3257562,92.26654073,1,1.058372817
P1R16,56500.28993,1.062166587,293.2765445,227.5205122,1.035441324,55365.25632,944.9895863,152.940964,101.3136599,1,1.283532553
P1R17,45158.07359,1.137637931,261.3360274,215.2336764,0.964377179,44290.58457,770.4568988,132.9531703,96.54504673,1,1.066535809
P1R18,77887.54273,1.232798587,363.0002078,261.3360274,1.111732974,76509.28914,1070.730526,185.4233154,104.9260662,1,1.192439514
P1R19,41469.21839,1.149625422,248.7641178,199.9841901,0.918943545,40534.75842,772.3713436,126.3442926,98.62250293,1,1.171156337
