Measurement Table ruber20,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,42681.56571,1.270573543,262.7864463,182.4317312,1.037333772,42311.31598,768.3291445,133.3058734,88.42865182,1,1.110269063
P1R2,29074.88825,1.296788884,216.3938671,145.1490197,1.050092904,28429.52241,635.3194969,109.9051813,71.29218833,1,1.129808818
P1R3,42424.44784,1.153456836,257.8379246,204.4056095,0.989401628,41629.95364,754.7172887,130.5006859,90.20159359,1,1.088811822
P1R4,30586.7413,1.171326166,214.4243847,172.8945432,0.98714303,29925.94839,633.1288771,109.0997258,79.35320124,1,1.065924585
P1R5,75602.93723,1.206704623,343.6409367,267.4128284,1.042640356,74535.89809,1027.442639,176.8097076,118.3872944,1,1.127041319
P1R6,42902.68707,1.183994981,260.7335109,206.2962654,1.104440972,42077.33872,790.4751248,135.0204916,84.18435742,1,1.18173013
P1R7,72532.94991,1.348628873,348.7801666,218.8748518,1.070060758,71499.33609,1017.66964,178.9913311,103.6353399,1,1.152661494
P1R8,54164.44959,1.2650055,296.883823,209.622144,1.039120209,53259.3947,870.0506346,150.6346778,94.74162051,1,1.131053081
P1R9,30962.13339,1.155622581,213.9922706,171.6408024,0.993187234,30314.19637,640.320284,110.7942858,76.96726808,1,1.076313077
P1R10,39344.17581,1.123470331,242.397555,203.6873555,0.971531937,38588.24928,721.8162296,126.1510978,93.12721994,1,1.074455336
P1R11,57311.57226,1.231177588,295.4078598,211.6727646,1.022707967,56380.80559,883.5131318,150.2324263,101.1397215,1,1.101754665
P1R12,31728.34463,1.15205249,215.906158,170.7245772,0.982223089,31332.38311,652.1909291,110.6685444,79.31750608,1,1.08030463
P1R13,47998.76317,1.276467251,280.9449099,170.0001415,1.139886047,47314.82965,851.6560832,142.8035485,84.63611908,1,1.219891997
P1R14,78050.69931,1.165338929,349.0822844,277.3063491,1.053261583,77112.2191,1071.225974,188.366224,110.2721772,1,1.184211147
P1R15,32592.26066,1.301366415,230.824531,147.049694,1.084822123,31887.7577,676.9958595,118.2262518,71.9793257,1,1.143768682
P1R16,31491.79619,1.187797424,219.683917,172.4776422,1.01657644,30818.14738,647.3059777,113.2832454,78.68163969,1,1.081939221
P1R17,30663.87666,1.16093976,213.5592822,175.6681139,0.986133543,30013.36846,634.8907256,110.6805791,79.82001221,1,1.068743246
P1R18,34170.96435,1.204723464,226.0977091,161.3878552,1.044593095,33451.03433,689.8987789,115.3724736,76.39337842,1,1.132273541
P1R19,23042.90312,1.118518758,182.5585324,153.9683968,0.993450619,22718.93461,552.1519722,95.2276847,68.65534077,1,1.067872619
P1R20,31764.34113,1.228309296,221.4906065,170.0908647,1.036887827,31080.40761,654.4397724,114.5164283,75.6236762,1,1.096586314
P1R21,38068.8712,1.164951293,237.9332084,186.6257916,1.026886458,37310.37349,719.9121841,123.1436558,84.22768942,1,1.105400377
P1R22,44296.2659,1.37356428,272.6969547,169.7276809,1.059618378,43483.77345,787.4489667,137.0771096,82.94497279,1,1.134769796
P1R1,146593.1799,1.300135703,491.5421227,318.8404958,1.12283755,145076.1845,1467.339569,250.0778415,147.3333381,3,1.181014664
P1R2,33147.63525,1.246976897,232.0244356,171.0555849,1.062698543,32450.84583,670.9654381,120.8104307,73.33543061,1,1.103988211
P1R3,70280.59741,1.191097414,326.1830358,256.6084282,1.01110349,69270.1242,975.6876024,166.9981823,117.2244011,1,1.093618288
P1R4,158965.6916,1.326416719,523.8529355,366.8102767,1.117414184,157415.2709,1545.68221,268.6432427,151.1109384,4,1.20776854
P1R5,133680.7207,1.419469218,485.0602195,260.6644724,1.149694844,132176.5812,1440.768127,248.1981199,125.6953233,3,1.249751963
P1R6,21330.49814,1.050211313,169.2270306,152.5423444,0.942875909,20785.40826,525.821966,89.32414533,68.80911649,1,1.058544323
P1R7,102723.7297,1.160796835,394.9990674,309.6022292,1.077734568,101780.1071,1238.357038,214.1892025,126.8568528,2,1.198999513
P1R8,64855.41044,1.132566238,313.6041831,252.731518,1.049824268,63857.79312,956.7703885,160.2783073,107.987588,1,1.140753219
P1R9,28354.95823,1.129831143,202.8525159,168.3740356,0.9626498,27727.59064,609.0134508,103.2363354,78.42543993,1,1.064465997
P1R10,25279.82856,1.251962258,199.2460752,144.0287103,1.056263021,24670.45921,589.3788746,101.9948822,65.81527198,1,1.120474698
P1R11,68866.44915,1.244494458,329.0085431,229.584761,1.060301088,67894.54362,988.0410789,166.7951057,107.2605664,1,1.144208807
P1R12,40768.60879,1.255740782,255.2017935,184.5755054,1.048253184,39989.54165,749.9996431,131.0692889,85.51930293,1,1.119349847
P1R13,31152.40061,1.243941621,219.730728,158.4942128,1.001880483,30481.32298,644.1061621,111.1062687,77.7551963,1,1.083106726
P1R14,26354.58123,1.185201499,199.2073578,158.7535612,0.971698489,25755.49661,584.8254889,101.1878424,73.13713244,1,1.056751357
P1R15,26719.6886,1.186497184,202.2431954,160.8612508,1.022684226,26110.31926,598.8996763,103.7631958,68.47079255,1,1.09316604
P1R16,41416.54581,1.174018089,247.436671,199.3750788,0.943073574,40655.47692,738.5814489,124.5933066,96.00753868,1,1.067745839
P1R17,32288.86157,1.282111874,224.1446652,154.4685662,1.017574845,31597.21452,655.8325642,113.7815837,75.93479406,1,1.083246545
P1R19,22492.67089,1.249086647,188.640167,138.4954612,1.014126398,21927.01159,545.2182449,95.16062058,62.73716575,1,1.078826167
P1R20,28339.53116,1.172476633,202.9538915,163.4773102,0.987083453,27701.87885,607.1970576,103.710017,74.40952206,1,1.059107999
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
