Measurement Table ruber44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,26595.20704,1.204101868,197.5816399,149.1800078,0.970085706,26099.05232,627.8964814,99.85119804,70.82855564,1,1.202102549
P1R2,31740.75858,1.218577847,221.7251273,172.9752276,1.024493844,31196.95987,661.4732992,114.4348427,75.76325202,1,1.116098487
P1R3,24935.88167,1.239557676,195.0711834,140.9930726,0.998039228,24466.01329,573.7775301,98.74896491,65.67738606,1,1.070813957
P1R4,38601.49398,1.188026102,236.343982,185.3277968,0.948287763,38006.76548,716.2656715,120.7132391,88.53673335,1,1.074181134
P1R5,27216.22188,1.260311967,206.652968,145.0253764,1.039467979,26713.49558,608.735864,105.0578011,66.52302773,1,1.10386818
P1R6,52362.39428,1.31101839,292.2851573,206.0080095,1.015869094,51982.88521,855.2629292,148.2996944,94.192653,1,1.119770632
P1R7,36347.44011,1.262887093,241.7459637,171.7073642,1.084321064,35751.06871,729.8138491,123.6255469,76.5808804,1,1.185564889
P1R8,31369.46399,1.224242908,218.9964199,166.3716282,1.00246582,30830.59397,646.9682799,110.2195362,75.56756505,1,1.080374293
P1R9,37392.32222,1.24658803,244.6574906,177.6514564,1.031019363,36791.02214,723.8072345,129.0154535,83.16312437,1,1.133167585
P1R10,62407.06292,1.182094906,318.7114668,248.99064,1.117774179,61608.61526,963.2131901,167.6858013,101.3122798,1,1.198377239
P1R11,60862.74029,1.139419398,307.4182378,234.2843763,1.059232778,60080.7216,936.7228685,159.0885306,97.25060519,1,1.162190344
P1R12,29844.85613,1.197394884,216.8023667,171.1707175,1.000695157,29322.41507,635.5560931,110.7884921,77.73069065,1,1.096221192
P1R13,27837.23672,1.189433556,202.151936,162.2319341,1.015936891,27336.15332,611.8747522,105.0240618,71.18320978,1,1.08987784
