Measurement Table ZF6153_rubescens31_50x ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R2,27046.6173,1.061958556,201.9416614,159.5068177,1.046004331,26710.74309,626.2505486,104.149999,68.35306563,1,1.168423883
P1R3,27738.8829,1.085319981,206.9957652,162.4580746,1.0650455,27420.0159,649.665751,106.1392785,69.56235061,1,1.224904978
P1R5,24508.8648,1.212379886,198.093771,151.150352,1.082390118,24196.19636,588.0839998,103.5665633,61.8520461,1,1.137422419
P1R7,25979.9292,1.082933487,197.1844226,156.8928526,1.016982891,25701.76891,596.7243697,104.4615611,68.76954226,1,1.102490083
P1R8,28853.8299,1.390023782,226.8126703,149.3115793,1.104100612,28544.89804,646.48463,114.1349348,66.41962591,1,1.165139885
P1R11,29194.9704,1.14205589,215.6500373,169.5994354,1.061297711,28902.73641,642.2535751,111.4752631,74.68261476,1,1.135701648
P1R12,23598.6021,1.071866382,190.4006788,151.1558567,1.020348624,23340.5042,571.993753,99.57752418,67.719533,1,1.115481817
Mean value,26703.09951,1.149505423,205.2970009,157.1535669,1.056595684,26402.40899,617.3509467,106.2150177,68.19411118,1,1.149937816
Standard Deviation,1964.01407,0.109610768,11.48821978,6.783921061,0.029303288,1953.239869,29.10975971,4.61071033,3.54410894,0,0.037778905
Minimum,23598.6021,1.061958556,190.4006788,149.3115793,1.016982891,23340.5042,571.993753,99.57752418,61.8520461,1,1.102490083
Maximum,29194.9704,1.390023782,226.8126703,169.5994354,1.104100612,28902.73641,649.665751,114.1349348,74.68261476,1,1.224904978
Range,5596.3683,0.328065226,36.41199145,20.28785618,0.087117721,5562.232209,77.67199798,14.5574106,12.83056867,0,0.122414895
Sum,186921.6966,8.046537963,1437.079007,1100.074968,7.396169788,184816.8629,4321.456627,743.5051239,477.3587783,7,8.049564712
Index of Minimum,7,1,7,5,4,7,7,7,3,1,4
Index of Maximum,6,5,5,6,5,6,2,5,6,1,2
Number of Elements,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,
,,,,,,,,,,,
