Measurement Table sacculifer20.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,140786.3647,1.381707084,506.0579926,333.5766383,1.138461461,140719.0059,1447.40703,261.9088223,143.1449664,1,1.184728276
P1R2,100190.3945,1.298468314,406.0757471,301.0624433,1.096379889,99574.30833,1229.011668,229.637668,120.155674,1,1.207132299
P1R3,137500.5719,1.404030879,485.9627423,296.553949,1.08058713,136339.0441,1410.335517,246.1878391,147.6301962,1,1.160953428
P1R4,103712.7644,1.14878748,396.9800939,321.5596586,1.022592991,102730.3123,1213.491832,211.0032689,142.737227,1,1.140683774
P1R5,128182.0635,1.323713391,457.5884036,324.6865822,1.086195905,127299.8281,1358.34619,240.7636238,143.5423943,1,1.153408846
P1R6,44483.06312,1.379531392,273.8520316,161.4197541,1.099928376,43820.97586,798.9012593,138.7799209,79.67329619,1,1.159029057
P1R7,99513.52116,1.273377497,390.899615,282.9748591,1.011360504,98539.28359,1171.811311,198.9220601,135.1952164,1,1.108909561
P1R8,112104.6792,1.366998418,433.6047334,296.1326129,1.059824189,111066.3687,1259.468805,225.8371543,132.8036958,1,1.136533955
P1R9,69875.66998,1.367937556,339.5078967,212.3617347,1.069757787,69069.00785,997.7034147,172.1668189,104.5152032,1,1.146858551
P1R10,85391.18365,1.128772945,358.9097679,292.2176991,1.031645951,84481.01904,1101.839019,191.4812316,126.2546851,1,1.143581995
P1R11,85801.90775,1.102929855,364.1358033,308.0108698,1.000322951,84903.24342,1084.949962,189.831192,137.9013357,1,1.103278852
P1R12,47384.41817,1.063270974,261.5848531,228.9431523,0.950979161,46723.97381,790.958035,134.183378,104.8187569,1,1.065509362
P1R13,65291.98901,1.328344835,321.9119969,210.7698243,1.04293462,64511.61321,960.3622234,163.7290261,104.5655624,1,1.137685942
P1R14,131990.2973,1.381141219,473.1083304,304.2812349,1.094585556,130840.2699,1392.857919,242.9296784,142.4571991,1,1.179946622
P1R15,162889.893,1.231471476,529.9247898,401.0603641,1.085637232,161621.5769,1545.444379,275.7853835,171.6257145,1,1.17597361
P1R16,84651.88027,1.217812716,364.383866,284.0873864,1.030292617,83761.43041,1082.106658,191.3082423,123.1757134,1,1.112464625
P1R17,55372.1805,1.303224106,296.7145643,199.9538121,1.033262335,54659.16346,874.8933266,150.0306313,97.83330609,1,1.114390457
Mean value,97360.16718,1.276560008,391.835484,279.9795632,1.054985215,96509.43676,1159.993444,203.7932906,126.9429496,1,1.143004071
Standard Deviation,33859.1728,0.105933084,78.2321759,57.50719355,0.04446398,33777.90235,221.5198424,41.69645011,22.11068376,0,0.033938002
Minimum,44483.06312,1.063270974,261.5848531,161.4197541,0.950979161,43820.97586,790.958035,134.183378,79.67329619,1,1.065509362
Maximum,162889.893,1.404030879,529.9247898,401.0603641,1.138461461,161621.5769,1545.444379,275.7853835,171.6257145,1,1.207132299
Range,118406.8298,0.340759905,268.3399367,239.64061,0.1874823,117800.6011,754.4863435,141.6020055,91.95241829,0,0.141622938
Sum,1655122.842,21.70152013,6661.203228,4759.652575,17.93474866,1640660.425,19719.88855,3464.48594,2158.030143,17,19.43106921
Index of Minimum,6,12,12,6,12,6,12,12,6,1,12
Index of Maximum,15,3,15,15,1,15,15,15,15,1,2
Number of Elements,17,17,17,17,17,17,17,17,17,17,17
