Measurement Table ZF5936_scitula44 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R3,178105.2948,1.143808142,507.7817547,408.0153968,1.003733655,176285.1855,1639.781555,262.5815135,176.4593706,1,1.213797767
P1R4,175808.8368,1.149425162,510.8725747,422.1829258,1.015058645,173960.0117,1654.072472,267.5050318,184.1706265,1,1.251554589
P1R5,159553.908,1.210488476,504.4741234,396.422688,1.051064548,157874.5116,1571.213235,262.8423481,174.1415903,1,1.244366739
P1R7,265790.052,1.179436991,648.0372489,510.1489265,1.083195379,263563.4862,1976.62139,336.0355773,210.8934616,1,1.179646533
Mean value,194814.5229,1.170789692,542.7914254,434.1924843,1.038263057,192920.7988,1710.422163,282.2411177,186.4162622,1,1.222341407
Standard Deviation,41597.02845,0.026623375,60.80581607,44.79232085,0.031279051,41397.12129,156.8490815,31.11996309,14.61149746,0,0.028435767
Minimum,159553.908,1.143808142,504.4741234,396.422688,1.003733655,157874.5116,1571.213235,262.5815135,174.1415903,1,1.179646533
Maximum,265790.052,1.210488476,648.0372489,510.1489265,1.083195379,263563.4862,1976.62139,336.0355773,210.8934616,1,1.251554589
Range,106236.144,0.066680334,143.5631255,113.7262384,0.079461724,105688.9746,405.4081557,73.45406382,36.75187134,0,0.071908056
Sum,779258.0916,4.68315877,2171.165702,1736.769937,4.153052226,771683.1951,6841.688653,1128.964471,745.665049,4,4.889365628
Index of Minimum,3,1,3,3,1,3,3,1,3,1,4
Index of Maximum,4,3,4,4,4,4,4,4,4,1,2
Number of Elements,4,4,4,4,4,4,4,4,4,4,4
