Measurement Table siphonifera27,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,38792.06996,1.246252191,255.3493149,189.2228429,1.103890369,38166.12643,801.8817783,131.7426432,76.87808418,1,1.340703559
P1R2,108411.4481,1.304709622,418.8692862,266.6050828,1.088243054,107359.9944,1277.836673,213.8917394,128.4194271,1,1.210314881
P1R3,72819.74034,1.361995133,351.7197942,230.2740203,1.155442147,71950.64814,1054.107607,181.1409163,95.68192372,1,1.228924893
P1R4,76802.12123,1.295369214,364.63176,253.4960553,1.156834918,75887.02793,1110.765919,187.8987514,96.04068017,1,1.293801662
P1R5,179706.5806,1.32933688,546.5750476,355.8435017,1.151774962,178303.547,1721.619348,281.9836542,153.0135007,1,1.322831244
P1R6,113767.2904,1.271186411,438.8397393,301.2806441,1.179211339,112659.9782,1353.424143,225.9176137,105.8785129,1,1.293863116
P1R7,173999.1585,1.150766952,523.1822671,354.2702755,1.094252019,172638.8402,1653.756054,263.2168714,173.0513144,1,1.260650038
P1R8,232440.2695,1.256988479,633.8794635,434.501781,1.19483376,230813.1614,2088.616791,327.5437984,166.0720714,2,1.503997513
P1R9,136255.2564,1.220492505,480.2085229,307.6639715,1.286900942,134996.7978,1529.190309,254.3992122,107.40041,1,1.378446023
P1R10,65048.84034,1.339453395,333.5323095,210.2781822,1.163637771,64215.31363,1071.538182,169.2581012,87.32037304,1,1.422875333
P1R11,177449.2409,1.117378633,530.4949281,389.9654639,1.173846743,176056.0648,1703.040376,283.4828765,155.2251061,1,1.310958838
P1R12,93950.67393,1.245964957,388.3443299,284.9131648,1.125157758,92968.22188,1201.189807,202.558508,108.8246563,1,1.235033987
P1R13,97338.32632,1.453657756,420.1694445,256.2292454,1.14683473,96326.30213,1237.200574,210.1228598,104.0146298,1,1.264519392
P1R14,84602.59337,1.386015208,391.7602539,237.5089283,1.156275866,83657.92794,1157.284823,198.2262402,101.1428864,1,1.273982814
P1R15,51721.66468,1.411036808,306.6852121,186.8463236,1.205668325,50969.21813,904.5125686,155.5795185,70.91201436,1,1.277354368
P1R1,95485.13917,1.382068689,414.2628065,262.7629434,1.191063968,94461.61471,1323.140983,211.5305845,103.4790495,1,1.474847223
P1R2,154813.4142,1.373262599,549.2407054,353.7133486,1.253374663,153448.1673,1651.815242,277.553529,132.9656455,1,1.414983546
P1R3,163330.1892,1.290122419,518.5392922,374.0441926,1.062934775,162073.3734,1536.763282,263.4663276,161.3215708,1,1.159557893
P1R4,66146.29514,1.304274493,329.6130146,198.4114001,1.196538561,65308.41797,1008.939639,167.7484712,79.25190569,1,1.240370314
P1R5,84796.45515,1.280355009,376.1727706,272.3239685,1.083826838,83869.86158,1124.438997,190.3175158,108.0923798,1,1.199654062
P1R6,44910.21618,1.315734862,276.6038425,188.2129972,1.062266134,44256.34341,795.344216,139.5250501,80.47419244,1,1.137430535
P1R7,106466.2588,1.258014943,428.5166641,292.9420607,1.219258983,105403.3048,1313.426577,223.4842754,106.8161498,1,1.302409422
P1R8,73772.62026,1.308967837,350.3860196,224.5158069,1.168230042,72880.52751,1077.205536,179.8432476,86.09123238,1,1.266997633
P1R9,97561.76023,1.387934264,416.7616752,241.9090119,1.230304814,96523.4497,1249.383027,213.3061385,92.93561092,1,1.286911037
P1R10,99161.94133,1.406124526,415.4508524,238.4202501,1.124177908,98154.84583,1211.566765,213.8038637,111.4488126,1,1.190071664
P1R11,178484.2657,1.184440211,540.1773274,352.5036551,1.185337897,177074.8342,1805.492231,282.2928594,137.6308071,1,1.464955935
P1R12,124439.5455,1.213896872,453.4226024,314.7694339,1.113673107,123314.1614,1377.110142,228.3855213,133.6674242,1,1.223811575
P1R13,185805.012,1.242066337,566.413992,384.7401282,1.190136769,184392.1211,1731.977989,290.7825002,142.32059,1,1.294590852
P1R14,249358.8167,1.383790378,666.5570739,405.9624492,1.17535444,247729.0634,1995.124741,336.5380185,174.5903861,2,1.278654775
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
