Measurement Table siphonifera31.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,174012.3016,1.329111481,545.0248612,353.1694993,1.078977806,172688.1271,1714.177278,277.7578349,164.3625151,1,1.354063857
P1R2,165354.2376,1.347443123,539.7087483,359.8880119,1.136704979,164044.8491,1577.49738,272.7908951,149.5304603,1,1.207160044
P1R3,133107.4669,1.386838569,485.1066701,325.4598331,1.087322428,131970.5826,1378.922948,244.8112954,147.4932048,1,1.146550061
P1R4,110918.508,1.234803235,427.0572914,312.9635729,1.09025402,109865.4114,1277.000584,222.1098392,126.3701948,1,1.181167156
P1R5,157241.6151,1.217895574,504.4321515,358.96927,1.036061962,156007.7999,1505.669713,255.8295047,177.76973,1,1.156387194
P1R6,184306.6905,1.181141014,554.3261554,385.2991112,1.122939192,182936.5149,1684.246435,288.5120018,168.8533307,1,1.233959851
P1R7,201382.9558,1.314222517,591.232427,399.7186027,1.089627005,199976.6365,1725.059852,305.3218675,184.0371972,1,1.184184122
P1R8,226765.7053,1.327498504,623.9317873,398.5290043,1.125121922,225278.884,1850.402902,315.8086711,174.4927154,1,1.209489975
P1R9,102217.7286,1.372066262,418.9202719,240.1846465,1.1419739,101224.5128,1318.467208,214.3447278,109.3237163,1,1.366605385
P1R10,74893.07561,1.292259668,353.7737247,244.8789882,1.089450145,74035.48368,1037.001072,179.2196982,105.3092516,1,1.15586909
Mean value,153020.0285,1.300327995,504.3514089,337.906054,1.099843336,151802.8802,1506.844537,257.6506336,150.7542316,1,1.219543673
Standard Deviation,44967.34972,0.064783724,79.72865853,54.66481289,0.030447898,44777.77166,238.8582953,40.86438701,27.02280203,0,0.075019597
Minimum,74893.07561,1.181141014,353.7737247,240.1846465,1.036061962,74035.48368,1037.001072,179.2196982,105.3092516,1,1.146550061
Maximum,226765.7053,1.386838569,623.9317873,399.7186027,1.1419739,225278.884,1850.402902,315.8086711,184.0371972,1,1.366605385
Range,151872.6297,0.205697555,270.1580626,159.5339562,0.105911938,151243.4003,813.4018299,136.5889729,78.72794557,0,0.220055323
Sum,1530200.285,13.00327995,5043.514089,3379.06054,10.99843336,1518028.802,15068.44537,2576.506336,1507.542316,10,12.19543673
Index of Minimum,10,6,10,9,5,10,10,10,10,1,3
Index of Maximum,8,3,8,7,9,8,8,8,7,1,9
Number of Elements,10,10,10,10,10,10,10,10,10,10,10
