Measurement Table ZF6382_tenellus31 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,31145.2956,1.144515305,218.5855421,167.4418012,1.121142095,30341.61455,689.0297559,116.3032384,63.64974826,1,1.245166492
P1R2,36796.5792,1.057240454,234.7941754,183.9053246,1.058910788,36057.98654,741.9016568,119.5733456,80.43870953,1,1.214734502
P1R3,26858.574,1.20770207,204.8623977,158.4128404,1.069366313,26099.92351,621.7113161,107.8700958,66.07831671,1,1.178496962
P1R4,36230.7852,1.013082325,225.9378932,182.3058013,1.053012446,35419.79254,735.2544603,121.6748991,76.97061622,1,1.214561414
P1R5,34320.3984,1.26581514,233.3581119,162.9490092,1.102480872,33458.19847,708.1850638,123.7458656,69.0501101,1,1.192837077
P1R7,29214.9396,1.356644136,218.0214494,137.128881,1.139062373,28506.29138,656.1553052,115.7390094,64.46216286,1,1.201884478
P1R8,26605.6308,1.182200356,214.6367732,138.120391,1.066798918,25857.08719,630.5201531,108.2428339,61.58623035,1,1.223512757
P1R9,36690.0768,1.077389468,238.4372295,182.4700326,1.054665782,35839.7384,734.0613192,121.3441049,82.79227613,1,1.196437471
P1R10,31804.2792,1.295767195,225.2888146,163.9061634,1.094579482,31071.89406,679.4114673,118.7130656,67.09464474,1,1.182192433
P1R11,32942.5236,1.056823816,217.960379,184.2669162,1.07084269,32267.39405,689.655059,117.6643936,73.08330556,1,1.172978677
P1R12,24136.1064,1.127925975,193.5687878,150.4385589,1.047976343,23488.35292,587.7221876,101.2065627,64.71010399,1,1.170258398
P1R13,38054.6388,1.194613716,249.8340705,183.9776997,1.08849208,37202.04138,744.6536141,127.2741836,79.25250832,1,1.186129177
P1R15,29960.4564,1.191562288,214.7607869,165.4421857,1.071273929,29264.14191,649.6410538,114.2952902,70.04105168,1,1.147628401
P1R16,39645.5184,1.134696788,245.4392389,177.139125,1.05486801,38867.39013,764.6937547,125.720129,78.65858837,1,1.197236267
P1R17,26019.8676,1.242519768,209.8065137,155.5934664,1.080059481,25346.98101,611.1560379,109.3055114,61.53926583,1,1.172649253
P1R18,26905.1688,1.24506854,210.0443268,157.38,1.086821435,26299.3475,617.2186714,110.3114813,68.11822726,1,1.152718583
P1R19,38061.2952,1.224320162,251.5466923,180.3971718,1.111094117,37240.69168,750.0904459,126.8213912,80.61030257,1,1.202263566
P1R20,39019.8168,1.232976781,245.8592451,168.8865714,1.163585238,38149.99222,779.5305754,132.1098179,66.54435079,1,1.267540987
P1R21,26379.3132,1.216408281,211.56,146.3567395,1.141717447,25678.69042,620.8455791,109.9332025,62.22940548,1,1.194495372
P1R22,29920.518,1.205763477,220.5258679,167.3026061,1.057350127,29267.69094,654.8561071,112.1685195,73.79927942,1,1.165986336
Mean value,32035.5891,1.183651802,224.2414148,165.6910643,1.086704998,31286.26204,683.3146792,117.0008471,70.53546021,1,1.19398543
Standard Deviation,4888.63793,0.084374446,15.66903798,14.74648573,0.032644506,4831.698944,57.18089123,7.741729864,6.908347371,0,0.028671252
Minimum,24136.1064,1.013082325,193.5687878,137.128881,1.047976343,23488.35292,587.7221876,101.2065627,61.53926583,1,1.147628401
Maximum,39645.5184,1.356644136,251.5466923,184.2669162,1.163585238,38867.39013,779.5305754,132.1098179,82.79227613,1,1.267540987
Range,15509.412,0.343561811,57.97790451,47.1380352,0.115608895,15379.03721,191.8083877,30.90325519,21.25301031,0,0.119912587
Sum,640711.782,23.67303604,4484.828296,3313.821285,21.73409997,625725.2408,13666.29358,2340.016941,1410.709204,20,23.8797086
Index of Minimum,11,4,11,6,11,11,11,11,15,1,13
Index of Maximum,14,6,17,10,18,14,18,18,8,1,18
Number of Elements,20,20,20,20,20,20,20,20,20,20,20
