Measurement Table truncatulinoides5.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,143733.7209,1.18496431,475.5743651,374.399796,1.050115891,142557.407,1531.514266,256.0045558,161.7437605,1,1.309309934
P1R2,101544.1411,1.213215315,396.3961379,301.7546859,1.047808182,100571.5464,1183.380301,210.0025124,133.2180882,1,1.108061079
P1R3,92472.06716,1.152761219,372.0535978,310.9887871,0.965154024,91566.83124,1102.808809,198.9803571,142.4463838,1,1.056945089
P1R4,88545.54475,1.191856455,381.6101905,299.4812192,1.004104545,87632.09435,1101.535622,198.5508813,138.2899882,1,1.101854015
P1R5,60734.59437,1.162238416,306.6369958,245.3615617,0.992184286,59993.64809,897.4851489,159.6328573,110.2986232,1,1.068413649
P1R6,161631.4343,1.213023814,505.9573424,391.4078307,1.024269586,160399.262,1491.128075,268.6301657,170.2783696,1,1.103107115
P1R7,199224.1899,1.108000949,531.8403789,412.2711373,1.062830311,197835.7015,1777.3232,279.2515536,175.6627761,1,1.270627674
P1R8,97348.1837,1.129573568,375.1143712,306.4440546,0.977747403,96411.73275,1138.551182,197.5565731,137.4864205,1,1.069954688
P1R9,90385.58873,1.200932904,380.3855575,297.510818,1.028076093,89480.35281,1107.530114,203.5381826,131.2985219,1,1.090871403
P1R10,63898.81285,1.232173286,320.5156975,255.0789472,1.009715979,63141.43761,924.1038444,169.9635654,117.1789112,1,1.076260113
P1R11,103190.3233,1.226300705,409.3035944,318.2575204,1.035939887,102217.7286,1184.179748,218.3817613,140.1772747,1,1.091689642
P1R12,146585.789,1.258281608,494.2857579,370.5891016,1.019189658,145412.761,1416.978465,259.6682387,165.9804978,1,1.098788578
P1R13,125139.4193,1.182794613,444.7856782,364.3658308,0.991464418,124063.3222,1291.213086,236.8596313,166.3290131,1,1.069405931
P1R14,148432.4046,1.186315524,486.3175867,392.2254703,1.012771102,147254.4479,1414.158576,256.6917331,176.981035,1,1.08073187
Mean value,115919.0153,1.188745192,420.055518,331.4383401,1.01581224,114895.591,1254.420746,222.4080406,147.6692617,1,1.114001484
Standard Deviation,38080.36508,0.039235702,67.76674237,50.56685775,0.027254625,37901.18868,237.1540323,36.0771793,20.8971988,0,0.073696669
Minimum,60734.59437,1.108000949,306.6369958,245.3615617,0.965154024,59993.64809,897.4851489,159.6328573,110.2986232,1,1.056945089
Maximum,199224.1899,1.258281608,531.8403789,412.2711373,1.062830311,197835.7015,1777.3232,279.2515536,176.981035,1,1.309309934
Range,138489.5955,0.150280659,225.2033831,166.9095757,0.097676287,137842.0534,879.8380514,119.6186964,66.6824118,0,0.252364846
Sum,1622866.214,16.64243269,5880.777252,4640.136761,14.22137136,1608538.273,17561.89044,3113.712569,2067.369664,14,15.59602078
Index of Minimum,5,7,5,5,3,5,5,5,5,1,3
Index of Maximum,7,12,7,7,7,7,7,7,14,1,1
Number of Elements,14,14,14,14,14,14,14,14,14,14,14
