"area","diam.max"
"39658.8312","254.7415231"
"30612.7836","222.5689304"
"48065.8644","264.2328133"
"27843.7212","202.2956925"
"37082.8044","248.4983356"
"39019.8168","239.5512981"
"41462.7156","259.8125332"
"41129.8956","266.8897458"
"33921.0144","230.0978175"
"43905.6144","270.3465776"
"65485.6632","323.5303541"
"31797.6228","224.8007758"
"38607.12","250.4195368"
"42780.6828","249.6074999"
"35392.0788","238.157898"
"32403.3552","221.6398701"
"57937.3056","309.2988535"
"43066.908","259.1327135"
"39891.8052","242.5748874"
"32190.3504","226.1145913"
"24448.9572","190.09891"
"42348.0168","262.2224476"
"47753.0136","264.2454087"
"37641.942","236.7422396"
"32875.9596","229.3299291"
"36284.0364","239.3706147"
"46142.1648","272.0279375"
"39159.6012","249.7408016"
"41682.3768","246.9263534"
"33315.282","228.8068749"
"47340.3168","257.0695221"
"78379.11","355.6378163"
"52805.2212","287.5745357"
"40457.5992","258.6827965"
