"area","diam.max"
120906.8496,428.77706
137960.5464,464.60779
129074.2524,452.9131
174331.116,528.08762
109198.242,431.48523
141874.5096,474.38336
74298.7368,341.59434
228201.3612,604.85457
166243.59,493.77183
151765.92,488.81979
183929.6448,522.41018
134392.716,443.17461
135917.0316,474.22197
87118.9632,381.39521
104578.7004,405.41316
76269.0312,343.64399
93908.4912,400.09969
82006.848,358.62928
116160.8364,456.08387
137900.6388,466.71622
124301.6136,450.37076
91438.9668,373.92203
57790.8648,303.09236
77966.4132,343.29515
84289.9932,356.79637
154794.582,490.36971
88816.3452,366.91374
117638.5572,442.70875
100924.3368,396.89256
70344.8352,337.507
71929.0584,340.814
75144.0996,340.814
80063.1792,357.79308
80282.8404,346.33557
81287.9568,357.80238
81753.9048,368.32606
84869.1,382.04913
96664.2408,383.66604
97915.644,393.21942
98035.4592,398.44089
99666.2772,378.6628
100178.82,384.51522
120454.2144,433.75471
124814.1564,447.73222
130991.2956,453.15554
131830.002,453.37582
138206.8332,465.15905
139271.8572,469.41822
188109.864,537.64377
220153.7736,581.75997
101576.664,395.74206
134938.5408,453.66936
103294.0152,404.67364
140430.0708,458.18069
131943.1608,467.17952
128614.9608,469.4324
107094.8196,433.63192
74664.8388,340.33515
119509.0056,463.89806
97596.1368,383.79614
112519.7856,420.255
93662.2044,377.52727
158675.2632,500.29387
117339.0192,435.40128
114563.3004,442.74634
158635.3248,501.90782
87990.9516,380.80136
74804.6232,349.178
87485.0652,355.7501
92104.6068,386.75912
97849.08,395.21187
