"area","diam.max"
"31145.2956","218.5855421"
"36796.5792","234.7941754"
"26858.574","204.8623977"
"36230.7852","225.9378932"
"34320.3984","233.3581119"
"29214.9396","218.0214494"
"26605.6308","214.6367732"
"36690.0768","238.4372295"
"31804.2792","225.2888146"
"32942.5236","217.960379"
"24136.1064","193.5687878"
"38054.6388","249.8340705"
"29960.4564","214.7607869"
"39645.5184","245.4392389"
"26019.8676","209.8065137"
"26905.1688","210.0443268"
"38061.2952","251.5466923"
"39019.8168","245.8592451"
"26379.3132","211.56"
"29920.518","220.5258679"
