Lat.decimal,Long.decimal,IRN,ZF.PF.no.,Museum.no.,Residue.OBD.IRN,Sea.Depth..m....modern.methods,Ocean.Sea,Sample.depth.MIN..cm.,Sample.depth.MAX..cm.,Vessel,Collection.date,species,total_ind,diameter,D_max,D_min,area,area_mm,area_sqrt,area_sqrt_mm,area_log,A_mean,A_mean_log,A_mean_sqrt_mm,A_median,A_median_log,A_median_sqrt_mm,A_max,A_max_log,A_max_sqrt_mm,A_95q,A_95q_log,A_95q_sqrt_mm,A_sd,A_sd_log,A_sd_sqrt_mm,A_mad,A_mad_log,A_mad_sqrt_mm,max_size,max_size_log,max_size_sqrt_mm,min_size,min_size_log,min_size_sqrt_mm,sample,ocean
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,280.27161,539.54086,207.95824,57111.912,0.05711,238.98099,0.23898,10.95277,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,296.07116,539.54086,207.95824,58822.6068,0.05882,242.53372,0.24253,10.98228,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,277.299,539.54086,207.95824,49650.0876,0.04965,222.823,0.22282,10.81276,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,255.40697,539.54086,207.95824,46355.1696,0.04636,215.30251,0.2153,10.74409,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,286.70522,539.54086,207.95824,55188.2124,0.05519,234.92172,0.23492,10.9185,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,378.31106,539.54086,207.95824,55501.0632,0.0555,235.58664,0.23559,10.92416,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,281.83474,539.54086,207.95824,58190.2488,0.05819,241.22655,0.24123,10.97147,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,268.17111,539.54086,207.95824,50289.102,0.05029,224.25232,0.22425,10.82554,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,252.70833,539.54086,207.95824,43839.0504,0.04384,209.37777,0.20938,10.68828,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,388.14211,539.54086,207.95824,59381.7444,0.05938,243.6837,0.24368,10.99174,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
