Measurement Table calida27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,47969.31448,1.271477185,290.8727107,184.3602935,1.147432874,47515.31133,936.758722,148.7608293,82.82787375,1,1.469643739
P1R2,38718.53527,1.280104689,256.1593663,182.8203469,1.141283181,38309.14917,822.5542776,130.9998922,75.49774053,1,1.40545447
P1R3,40063.36221,1.16338666,258.0589146,188.5134118,1.10305984,39695.62963,821.2342909,133.4774745,80.47549245,1,1.35201532
P1R4,35229.11691,1.147388635,238.9008999,173.4367739,1.186740399,34867.97547,800.2324498,123.6470189,60.9260885,1,1.461489642
P1R5,49054.3453,1.327344422,296.8038606,200.9869359,1.192677825,48596.25533,968.3457144,152.9362609,78.12780934,1,1.535494346
P1R6,60490.46827,1.377301117,334.4034549,223.4428336,1.189651097,59975.33334,1011.312261,171.354164,87.68617112,1,1.357025573
P1R7,53046.80026,1.336129296,303.7172623,188.3917727,1.189538256,52570.50739,927.6400063,157.1805796,77.95086121,1,1.302587568
P1R8,32405.74445,1.40027385,247.3061558,154.2456496,1.199905659,32009.5845,823.1909746,126.5002529,61.79423951,1,1.68465634
P1R9,121387.1864,1.306316723,463.6497543,322.0674126,1.167627508,120683.5719,1379.903066,241.1543878,132.739128,1,1.255564884
P1R10,93685.78915,1.447080031,416.417719,225.7449674,1.168741618,93057.94854,1229.849341,213.366508,99.60368934,1,1.293422788
P1R11,100602.2239,1.342688853,424.5872173,266.0674605,1.233294467,99924.07961,1332.818572,220.2643786,90.96347859,1,1.414692568
Mean value,61150.26241,1.309044678,320.9888469,210.007078,1.174541157,60655.03147,1004.894516,165.421977,84.41750657,1,1.412004294
Standard Deviation,28723.83811,0.08730358,75.37312577,45.70920714,0.033108989,28609.42241,202.852342,39.36281404,18.73693125,0,0.117758761
Minimum,32405.74445,1.147388635,238.9008999,154.2456496,1.10305984,32009.5845,800.2324498,123.6470189,60.9260885,1,1.255564884
Maximum,121387.1864,1.447080031,463.6497543,322.0674126,1.233294467,120683.5719,1379.903066,241.1543878,132.739128,1,1.68465634
Range,88981.4419,0.299691396,224.7488544,167.821763,0.130234628,88673.98738,579.670616,117.5073689,71.81303946,0,0.429091456
Sum,672652.8865,14.39949146,3530.877316,2310.077858,12.91995272,667205.3462,11053.83968,1819.641747,928.5925723,11,15.53204724
Index of Minimum,8,4,4,8,3,8,4,4,4,1,9
Index of Maximum,9,10,9,9,11,9,9,9,9,1,8
Number of Elements,11,11,11,11,11,11,11,11,11,11,11
