Measurement Table conglobatus46.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,425825.6055,1.06643112,786.5445676,680.4876894,0.944887532,426717.6983,2471.977441,397.4847245,310.445971,1,1.13956344
P1R2,160333.5461,1.051910071,482.4918868,407.2352329,1.029916437,159094.8023,1514.977373,252.2557544,185.5310208,1,1.148012082
Mean value,293079.5758,1.059170596,634.5182272,543.8614612,0.987401985,292906.2503,1993.477407,324.8702395,247.9884959,1,1.143787761
Standard Deviation,132746.0297,0.007260524,152.0263404,136.6262283,0.042514452,133811.448,478.5000342,72.61448503,62.45747513,0,0.004224321
Minimum,160333.5461,1.051910071,482.4918868,407.2352329,0.944887532,159094.8023,1514.977373,252.2557544,185.5310208,1,1.13956344
Maximum,425825.6055,1.06643112,786.5445676,680.4876894,1.029916437,426717.6983,2471.977441,397.4847245,310.445971,1,1.148012082
Range,265492.0594,0.014521049,304.0526807,273.2524566,0.085028905,267622.896,957.0000684,145.2289701,124.9149503,0,0.008448642
Sum,586159.1517,2.118341191,1269.036454,1087.722922,1.974803969,585812.5005,3986.954814,649.7404789,495.9769918,2,2.287575522
Index of Minimum,2,2,2,2,1,2,2,2,2,1,1
Index of Maximum,1,1,1,1,2,1,1,1,1,1,2
Number of Elements,2,2,2,2,2,2,2,2,2,2,2
