Measurement Table ZF5899_crassaformis55 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R10,282411.0828,1.224014976,659.7186628,512.7973108,1.036366819,280104.5044,2069.424288,349.5003595,228.2521503,1,1.21665977
P1R11,335642.3136,1.261807185,750.1768711,554.9099603,1.032336506,333316.2997,2238.128205,387.761919,246.5541564,1,1.195923847
P1R12,164998.8432,1.240465296,505.3442253,397.1691922,0.984817296,163119.788,1588.15877,257.7402363,184.406919,1,1.230470888
P1R13,181919.412,1.159756793,517.4685103,435.9207579,0.993783775,180048.9636,1577.864487,273.0205636,195.6174116,1,1.10037049
Mean value,241242.9129,1.221511063,608.1770674,475.1993053,1.011826099,239147.3889,1868.393937,317.0057696,213.7076593,1,1.185856249
Standard Deviation,70601.8785,0.038088384,102.0087203,62.04615495,0.022792129,70388.36737,291.5714925,53.6410124,24.8808412,0,0.050863775
Minimum,164998.8432,1.159756793,505.3442253,397.1691922,0.984817296,163119.788,1577.864487,257.7402363,184.406919,1,1.10037049
Maximum,335642.3136,1.261807185,750.1768711,554.9099603,1.036366819,333316.2997,2238.128205,387.761919,246.5541564,1,1.230470888
Range,170643.4704,0.102050392,244.8326459,157.7407681,0.051549522,170196.5117,660.2637178,130.0216828,62.1472374,0,0.130100398
Sum,964971.6516,4.88604425,2432.70827,1900.797221,4.047304396,956589.5558,7473.57575,1268.023078,854.8306372,4,4.743424995
Index of Minimum,3,4,3,3,3,3,4,3,3,1,4
Index of Maximum,2,2,2,2,1,2,2,2,2,1,3
Number of Elements,4,4,4,4,4,4,4,4,4,4,4
