Measurement Table dehiscens44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,407224.0381,1.210453265,785.1864897,603.8398544,1.008800363,405956.8953,2408.761242,404.5985904,277.1816787,1,1.137359459
Mean value,407224.0381,1.210453265,785.1864897,603.8398544,1.008800363,405956.8953,2408.761242,404.5985904,277.1816787,1,1.137359459
Standard Deviation,0,0,0,0,0,0,0,0,0,0,0
Minimum,407224.0381,1.210453265,785.1864897,603.8398544,1.008800363,405956.8953,2408.761242,404.5985904,277.1816787,1,1.137359459
Maximum,407224.0381,1.210453265,785.1864897,603.8398544,1.008800363,405956.8953,2408.761242,404.5985904,277.1816787,1,1.137359459
Range,0,0,0,0,0,0,0,0,0,0,0
Sum,407224.0381,1.210453265,785.1864897,603.8398544,1.008800363,405956.8953,2408.761242,404.5985904,277.1816787,1,1.137359459
Index of Minimum,1,1,1,1,1,1,1,1,1,1,1
Index of Maximum,1,1,1,1,1,1,1,1,1,1,1
Number of Elements,1,1,1,1,1,1,1,1,1,1,1
