Measurement Table elongatus20,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,54061.14917,1.047651044,276.8887931,245.8431879,0.956034793,53353.06082,909.0336245,142.6967332,110.0786988,1,1.232510742
P1R2,37280.60527,1.171492297,237.232079,180.1949072,0.993251087,36685.87677,706.3878529,121.1726394,86.12779165,1,1.082374867
P1R3,63274.51222,1.180150088,303.6759146,252.8991046,1.006805741,62624.86893,959.7588532,158.851467,112.1261037,1,1.170489659
P1R4,56788.3572,1.221767829,308.1601826,231.809956,1.036881429,56060.5541,894.8526432,157.9839515,98.72023995,1,1.136673727
P1R5,51278.08265,1.211794937,287.5248636,217.3094897,1.013231681,50584.78037,834.8932523,144.4713616,98.47265243,1,1.096559472
P1R6,110800.2195,1.147997799,420.8609597,338.1113775,1.02637486,109768.4805,1247.449445,217.4610731,148.8691477,1,1.128128089
P1R7,119655.4311,1.206853474,443.5724963,329.8073458,1.063603601,120238.6593,1326.433304,227.2484714,148.8772421,1,1.164439334
P1R8,66491.30338,1.223503389,331.4619953,247.8266315,1.031424286,65697.78442,962.5793831,169.82217,114.1000607,1,1.122309256
P1R9,80094.48563,1.178321781,355.7142048,285.6100355,1.013820583,79314.10984,1062.643279,190.3396075,126.734341,1,1.132960326
P1R10,49096.31623,1.252451504,288.2154197,215.716012,1.041533834,48419.44291,827.2959769,148.232862,93.72270938,1,1.124843735
P1R11,65232.84474,1.200939069,313.2311821,242.2347788,0.981538397,64447.54025,943.829708,158.9318238,114.6255341,1,1.099945322
P1R12,53219.98621,1.094493474,283.8443936,228.4043181,1.03847922,52603.90006,873.5299495,150.0678236,97.16892919,1,1.154324232
P1R1,49753.47479,1.206878508,285.6100355,222.0213138,1.023253943,49073.31568,825.0241236,147.4579367,95.38495462,1,1.103768637
P1R2,35772.42637,1.18132604,232.8494518,185.2125184,0.991879408,35192.48393,690.0884206,117.9882492,86.31323037,1,1.076836373
P1R3,32621.35106,1.211241684,222.1914423,173.1555931,1.023785827,32066.05207,666.6517394,116.0067856,78.04168833,1,1.10291666
P1R4,83304.70521,1.179414915,366.7388134,289.4951321,1.036321574,82736.26306,1089.727376,187.8809406,125.4402766,2,1.142167974
P1R5,41762.42667,1.144023386,252.0401406,209.2443291,0.965661562,41151.2692,747.4022446,131.4381982,93.65488995,1,1.080228717
P1R6,89209.2749,1.236972903,383.6454135,281.6188579,1.073470543,88266.25236,1129.536958,194.4704577,124.1447256,2,1.150260908
P1R7,68245.91675,1.158875862,337.3719951,266.0437239,1.048610408,67598.61556,989.3569599,172.6881294,113.6583299,1,1.15228095
P1R8,19264.60327,1.079947648,164.5845556,145.2970021,0.939570091,18853.87917,500.5398546,85.30690292,64.6858091,1,1.057466856
P1R9,27311.50987,1.179577029,199.9538121,154.8538535,0.987589834,26820.28384,600.1107955,102.6333057,73.27877129,1,1.068537249
P1R10,35604.85093,1.116102404,226.0036488,196.2048639,0.970846936,35033.12298,690.8130104,120.6756526,88.52387457,1,1.084007583
P1R11,27909.52416,1.223251019,207.6443433,164.7840763,0.986550251,27410.08365,605.4049294,107.7913468,76.68090812,1,1.064073682
P1R12,32558.92099,1.024211691,210.6528707,196.0708441,0.922363286,32023.33676,651.5471743,110.7471455,87.67569979,1,1.054909749
P1R13,32664.06636,1.144817005,216.3092455,173.421053,0.929826461,32131.76793,651.9199088,110.1825231,83.07229464,1,1.052553122
P1R14,55000.88591,1.16972066,287.8047099,229.3160007,1.009733434,54299.36915,863.2702979,147.8598614,104.3284246,1,1.0921668
P1R15,37842.47584,1.342328263,252.8991046,184.4748118,1.042062407,37239.53286,720.1940998,128.9882715,81.52179234,1,1.108370737
P1R16,27334.51042,1.148980325,204.4791274,166.3321241,0.965653405,26836.71281,601.1024968,103.0912145,76.0090069,1,1.071415444
P1R17,24222.86462,1.199953067,192.2632808,150.7902062,0.984453106,23749.71046,562.3092166,97.65518754,71.43481798,1,1.059454334
Mean value,,,,,,,,,,,
Standard Deviation,,,,,,,,,,,
Minimum,,,,,,,,,,,
Maximum,,,,,,,,,,,
Range,,,,,,,,,,,
Sum,,,,,,,,,,,
Index of Minimum,,,,,,,,,,,
Index of Maximum,,,,,,,,,,,
Number of Elements,,,,,,,,,,,
