Measurement Table glutinata20,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,28957.69207,1.261183589,212.3617347,152.6634482,1.018884448,28453.32287,658.7337419,109.1505102,70.24422711,1,1.213603959
P1R2,29269.84239,1.285000944,214.1720516,148.1079094,1.059717001,28757.25871,635.2407919,111.3954452,67.53069352,1,1.116656066
P1R3,33768.09275,1.218802434,224.7279145,169.9280649,0.99719607,33206.22218,671.2168456,114.3295398,81.59509642,1,1.079683297
P1R4,30120.86273,1.244380355,215.0982301,158.8962932,1.037867549,29586.92139,639.262372,111.2475255,72.25093183,1,1.099128991
P1R5,27203.07871,1.19440736,204.7360714,155.9006397,1.024072577,26705.2811,601.62196,103.7858303,68.14922542,1,1.078550201
P1R6,27288.50932,1.263734144,207.6364311,150.8882315,1.049062072,26792.3546,608.6046501,107.8711827,66.4920269,1,1.100144691
P1R7,65360.99066,1.242008123,321.7588538,237.4881758,1.071328642,64565.82879,954.2131214,166.4243428,105.5786853,1,1.122220494
P1R8,57054.50642,1.25475146,301.0624433,216.1268855,1.081325093,56328.34621,901.4269155,159.7279218,96.73289214,1,1.147953243
P1R9,43592.61326,1.340455313,271.6897782,176.3892632,1.113892646,42960.09815,783.0798586,137.3275357,77.30709896,1,1.135891893
P1R10,35663.9952,1.372360777,245.0801759,151.44251,1.11490322,35067.62381,712.3709069,124.391158,73.13032489,1,1.151585446
P1R11,45531.23102,1.387725208,281.3153389,169.5505863,1.13921333,44854.3577,814.5465555,143.018592,79.99497352,1,1.177110783
P1R12,33886.38129,1.075416015,222.3983796,193.2434613,0.988579443,33324.51072,683.414373,119.0597797,83.59388362,1,1.115307422
P1R13,50459.92024,1.169716772,277.0608087,217.2565621,1.010952485,49771.54665,828.5779773,144.2343449,96.6889918,1,1.097680105
P1R14,34096.67203,1.46320123,242.553335,140.9930726,1.123644131,33529.87277,703.705125,124.1144674,70.19227705,1,1.175275491
P1R15,39728.52091,1.268108419,249.2082863,183.2147903,1.002660587,39142.0069,725.0903843,128.9984532,90.25346152,1,1.068885928
P1R16,39133.79241,1.21970805,245.0801759,188.9448039,1.04846513,38529.20654,735.5914349,129.061205,81.82907712,1,1.117566614
P1R17,39028.64704,1.203419657,242.4720413,183.0084319,1.069614552,38410.918,738.2948633,127.4580565,82.49940756,1,1.12926317
P1R18,41450.27635,1.352380872,258.4191424,163.9444577,1.065640074,40825.97571,759.3117283,131.8138821,78.74574802,1,1.12381235
P1R19,39850.09525,1.306963492,258.679668,178.9781946,1.098264124,39242.22358,751.9779358,132.1516997,78.93010032,1,1.146691901
P1R20,52345.96532,1.408433247,302.2986433,188.9448039,1.111741907,51639.51986,867.8519728,160.63415,86.39386194,1,1.160644644
