Measurement Table ZF6502_glutinata25 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R6,60293.6712,1.277420789,324.2393893,238.157898,1.037364133,59231.9754,968.5419847,166.2405106,108.0500466,1,1.260291025
P1R8,128568.366,1.188900058,439.6989174,340.2960341,0.976573334,126970.7049,1404.060176,223.8547898,159.4343095,1,1.235543584
P1R10,97509.6036,1.292001206,398.574513,276.8305135,1.054069848,96111.65925,1252.959752,204.876329,125.0788181,1,1.29983529
P1R12,92038.0428,1.222976679,384.0042047,295.0351552,1.026910014,90706.7628,1189.278518,195.1722933,137.9278691,1,1.240845295
P1R16,84023.7372,1.22803742,369.0121608,280.0815488,1.098396599,82725.73798,1152.801707,190.1634321,114.7440812,1,1.278376355
P1R17,86832.738,1.268571088,381.4999161,269.3599079,1.065311791,85529.8192,1189.751137,195.1163874,120.7763195,1,1.316997226
P1R18,36676.764,1.290159578,251.6260654,177.9264972,1.054923707,35851.3704,752.2335342,129.8031194,79.53733714,1,1.256000396
P1R19,60420.1428,1.107014229,301.2529794,246.9263534,0.960048843,59336.09338,948.0910195,153.1835251,120.4182652,1,1.205511266
P1R23,55507.7196,1.256980715,288.6834391,214.2021597,1.016828661,54475.9776,912.1943656,149.8622941,99.11597831,1,1.215513804
P1R24,89848.0872,1.254656581,376.3352532,281.2318346,1.056679279,88554.4467,1177.006046,193.0390326,128.4928366,1,1.24490775
P1R26,151246.7208,1.209270439,482.46,352.4793696,1.083472989,149491.8142,1547.193272,252.4214396,172.7454469,1,1.274271241
P1R32,93003.2208,1.192188794,375.9459286,293.3495171,0.998117114,91666.62876,1201.353217,200.2064835,142.0795593,1,1.252911308
P1R33,157264.1064,1.172916286,503.2521308,391.4294511,1.076318998,155665.5915,1551.124989,265.4852413,162.0761731,1,1.229960375
P1R34,123203.3076,1.083742234,421.6780919,368.7866115,0.981611578,121669.0074,1388.332808,222.1864224,161.8188471,1,1.260658237
Mean value,94031.15914,1.217488293,378.4473564,287.5780608,1.034759063,92713.39925,1188.208752,195.8293786,130.8782777,1,1.255115939
Standard Deviation,34376.02171,0.061945403,68.45187484,57.63586913,0.041289805,34136.82841,227.586099,36.687058,25.84439913,0,0.029462953
Minimum,36676.764,1.083742234,251.6260654,177.9264972,0.960048843,35851.3704,752.2335342,129.8031194,79.53733714,1,1.205511266
Maximum,157264.1064,1.292001206,503.2521308,391.4294511,1.098396599,155665.5915,1551.124989,265.4852413,172.7454469,1,1.316997226
Range,120587.3424,0.208258971,251.6260654,213.5029539,0.138347757,119814.2211,798.8914552,135.6821218,93.2081098,0,0.11148596
Sum,1316436.228,17.0448361,5298.26299,4026.092852,14.48662689,1297987.589,16634.92253,2741.6113,1832.295888,14,17.57162315
Index of Minimum,7,14,7,7,8,7,7,7,7,1,8
Index of Maximum,13,3,13,13,5,13,13,13,11,1,6
Number of Elements,14,14,14,14,14,14,14,14,14,14,14
