Measurement Table glutinata25.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,38177.11423,1.323515899,250.7172458,166.2939492,1.043994084,37697.58813,777.4865577,128.657998,81.06718726,1,1.276034364
P1R2,27549.12678,1.135954552,206.4668597,156.0006453,1.014009321,27146.00315,614.5694116,108.6015811,73.82428746,1,1.107200169
P1R3,30910.83601,1.113877647,208.1833653,174.1082718,0.957499089,30505.7018,636.5210087,109.5289767,79.36908407,1,1.056901761
P1R4,24527.20753,1.266755316,199.5337962,149.3973825,0.996112177,24153.23748,571.5951323,101.1738772,70.70548978,1,1.076445011
P1R5,41182.94875,1.343034222,263.086711,170.6558526,1.100878018,40687.33791,765.4065162,134.7318941,79.79618702,1,1.145816817
P1R6,26481.50261,1.232487703,206.8948917,150.603733,1.079214955,26086.06931,655.7564217,106.3143302,68.47060888,1,1.311796953
P1R7,44592.91219,1.116786489,253.8294888,214.2423785,0.968638699,44096.05528,817.6626999,135.9926813,95.0493885,1,1.206531848
P1R8,35673.92763,1.312502489,238.629371,155.3419485,1.087039968,35215.51274,714.4524675,122.6690619,74.14517865,1,1.153460753
P1R9,23495.77401,1.224403792,195.3742113,150.229462,1.033395216,23127.66377,599.6417925,100.2858591,65.54186258,1,1.237206462
P1R10,44054.07363,1.152744834,256.4144253,207.2541435,1.016382403,43558.46278,780.3785323,137.0293088,94.53900588,1,1.112572292
P1R11,26843.40911,1.334470216,210.793917,127.3950383,1.136145446,26432.41408,670.3813486,107.5163324,62.13813418,1,1.35299806
P1R12,34869.69097,1.279076207,237.6922913,173.9002846,1.063753187,34430.59024,740.8649662,123.3383606,79.14184723,1,1.268597369
P1R13,49830.50343,1.015215183,260.7376755,241.0687475,0.971555875,49297.97822,871.5903599,146.7028909,108.1656215,1,1.226269382
P1R14,39071.82752,1.366086623,256.1476865,164.4825864,1.109076083,38579.23256,756.1171907,131.0362007,73.0571349,1,1.1792742
P1R15,44498.41438,1.274384032,264.3066531,193.4350294,0.991185874,44008.83531,773.7161828,133.0054314,96.4816962,1,1.082464452
P1R16,50001.40372,1.307666276,284.7580749,195.1682833,1.112781737,49452.5122,849.3593881,146.0699656,82.98811822,1,1.16087319
P1R17,31206.39299,1.115255645,216.5758356,178.5551785,0.99473594,30788.18992,653.0479456,113.3375285,83.13184317,1,1.10229068
P1R18,28067.85942,1.3844064,218.797137,139.6594057,1.042714809,27671.77287,626.6205448,112.6597997,67.20501132,1,1.129178064
Mean value,35613.05138,1.238812418,234.9410909,172.6551289,1.039950716,35163.06432,715.2871371,122.1473377,79.71209371,1,1.176995101
Standard Deviation,8444.6534,0.103391922,26.5130158,27.82863681,0.053528284,8391.696352,87.21165789,14.68311937,11.91196352,0,0.083806258
Minimum,23495.77401,1.015215183,195.3742113,127.3950383,0.957499089,23127.66377,571.5951323,100.2858591,62.13813418,1,1.056901761
Maximum,50001.40372,1.3844064,284.7580749,241.0687475,1.136145446,49452.5122,871.5903599,146.7028909,108.1656215,1,1.35299806
Range,26505.62971,0.369191217,89.38386354,113.6737092,0.178646357,26324.84843,299.9952276,46.41703183,46.02748728,0,0.296096299
Sum,641034.9249,22.29862352,4228.939637,3107.792321,18.71911288,632935.1577,12875.16847,2198.652078,1434.817687,18,21.18591183
Index of Minimum,9,13,9,11,3,9,4,9,11,1,3
Index of Maximum,16,18,16,13,11,16,13,13,13,1,11
Number of Elements,18,18,18,18,18,18,18,18,18,18,18
