Measurement Table menardii44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,327752.4285,1.221717468,722.1496885,545.6699905,1.003354626,323361.3971,2097.961485,361.5533338,243.8083131,1,1.083170957
P1R2,82835.08743,1.307145122,364.9536191,242.7540309,1.045544319,80655.2167,1047.918815,184.386674,110.9298447,1,1.083460222
P1R3,314172.564,1.162978936,689.5981275,561.7934714,0.909882247,310031.8526,2010.880749,350.3469905,268.4950803,1,1.037902301
P1R4,216923.2118,1.437234621,641.5681229,423.1821822,1.102200446,213314.4306,1730.367249,336.7650128,180.4541442,1,1.116982821
P1R5,529280.9552,1.495816935,1002.940872,621.7201364,1.121575485,523565.3133,2750.049599,525.626233,251.3926473,1,1.149477154
P1R6,426128.2211,1.428042451,876.6552198,561.7749055,1.124528027,421017.5194,2468.544902,452.2382331,229.5186448,1,1.15178668
P1R7,1221082.224,1.330444302,1427.827089,929.6173224,1.108160546,1212456.611,4182.144182,760.6285477,394.8253677,2,1.147947308
P1R8,447801.7683,1.272179497,834.82503,605.9520126,1.045845421,442618.0565,2482.424723,430.9285189,251.4878789,1,1.107932254
P1R9,356393.218,1.192461827,738.953585,563.7579846,0.999259442,351970.8965,2178.986288,377.7429628,252.7944753,1,1.073476144
P1R10,588690.2549,1.249992759,971.3705227,738.5159041,0.981872678,582943.323,2798.164072,502.393616,330.6459822,1,1.068833795
P1R11,399969.7724,1.332261044,846.1671685,577.1778844,1.068805796,395119.8208,2373.008895,432.9697023,267.5925389,1,1.134122779
P1R12,600747.3389,1.284519711,1001.192245,672.8172188,1.092936473,594645.7869,2921.667802,515.9167614,276.5683518,1,1.142334991
P1R13,523335.8533,1.29786476,924.4644303,673.9788649,1.036606991,517776.6614,2673.604121,481.757933,286.5655508,1,1.098605807
P1R14,729015.5214,1.389355174,1118.096693,756.3083031,1.09248774,722361.1792,3214.870725,575.1227769,313.2185322,1,1.138577997
P1R15,632391.9694,1.181068924,988.0633498,747.2766455,0.98579309,626384.2874,2908.950439,513.1558261,332.3138024,1,1.075033372
P1R16,754589.8898,1.27510653,1094.517856,791.8133414,1.028875442,747862.5376,3250.992677,571.7456094,334.7998454,1,1.124605908
P1R17,436579.0845,1.28965646,835.262193,570.7450112,1.040086298,431499.6729,2462.282703,421.5579076,257.9001249,1,1.118112531
P1R18,163813.6342,1.304366121,519.4861975,345.8184778,1.027619855,160757.6432,1479.247109,264.9350116,167.725119,1,1.083178385
P1R19,956577.3367,1.242728859,1221.650193,917.3859486,1.048773607,948973.8642,3670.243543,647.7665182,375.032999,2,1.129602571
P1R20,642363.0527,1.274005942,1015.302399,709.5171222,1.076662833,636219.7806,3004.683641,528.4763851,333.1013053,1,1.129225026
P1R21,178373.9191,1.228564032,524.0438826,399.0293632,0.984808601,175213.628,1522.897344,266.1891259,181.1856668,1,1.053327769
P1R22,282569.6536,1.225547029,670.8144818,519.9678351,1.002854788,278554.1022,1952.615892,341.0691136,230.4303816,1,1.089216566
P1R23,531137.4958,1.216815883,925.3102093,713.3435417,1.030377776,525630.454,2692.298726,481.598446,318.5986983,1,1.097377696
P1R24,287909.8153,1.331139418,698.6588306,474.337469,1.047114267,283831.684,1979.099013,352.0027769,208.9241601,1,1.098156731
P1R25,431676.9829,1.299325016,839.8448747,605.5043199,1.038812834,426649.7213,2443.984629,434.1011865,259.0400402,1,1.114078085
P1R26,627990.5079,1.279919368,1002.150205,746.1871778,1.010536175,621982.8259,2914.713641,518.4586779,320.1269418,1,1.086934943
P1R27,1124625.552,1.278238866,1349.388433,970.1671875,1.050371956,1116615.31,3933.630504,711.4309946,415.1653503,2,1.102741466
P1R28,655066.7969,1.169129776,985.4419828,735.6008287,1.044491285,648840.0848,3018.805481,510.4627205,324.055974,1,1.11769355
P1R29,364632.9207,1.333494655,788.4472499,537.0968586,1.027717029,360001.9992,2226.783121,402.8306305,238.7644421,1,1.096077054
Mean value,511531.9666,1.287280051,883.4187845,629.6141841,1.040619175,506236.4021,2565.235244,457.0399389,274.3262829,1.103448276,1.105171478
Standard Deviation,264151.5179,0.077765661,234.1112677,165.8404037,0.046398747,262734.1806,703.0596939,126.7759125,68.07529079,0.304543478,0.028839066
Minimum,82835.08743,1.162978936,364.9536191,242.7540309,0.909882247,80655.2167,1047.918815,184.386674,110.9298447,1,1.037902301
Maximum,1221082.224,1.495816935,1427.827089,970.1671875,1.124528027,1212456.611,4182.144182,760.6285477,415.1653503,2,1.15178668
Range,1138247.137,0.332838,1062.87347,727.4131566,0.214645781,1131801.395,3134.225366,576.2418737,304.2355056,1,0.113884379
Sum,14834427.03,37.33112149,25619.14475,18258.81134,30.17795607,14680855.66,74391.82207,13254.15823,7955.462203,32,32.04997286
Index of Minimum,2,3,2,2,3,2,2,2,2,1,3
Index of Maximum,7,5,7,27,6,7,7,7,27,7,6
Number of Elements,29,29,29,29,29,29,29,29,29,29,29
