Measurement Table obliquiloculata27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,163031.1821,1.156153681,488.2562094,392.7487029,0.968097695,161820.3674,1471.552609,252.0736084,182.8576556,1,1.064899346
P1R2,36580.7314,1.310740069,247.249217,154.938705,1.090370165,35967.93104,734.766805,125.2291401,74.04701071,1,1.1944659
P1R3,276745.8998,1.048321576,618.3110588,567.0981021,0.906169189,275750.3045,1908.236349,321.9794709,259.4468615,2,1.050844571
P1R4,97397.47059,1.088255914,370.0212166,322.6613477,0.905885602,96464.30543,1119.991929,190.8475096,151.7063714,1,1.034792569
P1R5,46605.68527,1.263038283,268.9732072,196.6063749,1.053670331,45927.16906,810.1305827,137.4144786,89.60286409,1,1.137183462
P1R6,63994.10084,1.060264407,302.2116759,262.6566312,0.899105495,63246.58298,911.624549,152.4951126,129.6261385,1,1.045647043
P1R7,198507.8871,1.040895466,517.8576562,486.6789239,0.870066595,198785.5366,1600.195175,265.9884457,229.924884,1,1.025064723
Mean value,126123.2796,1.138238485,401.8400345,340.4841125,0.95619501,125423.171,1222.356857,206.5753951,159.6016837,1.142857143,1.078985374
Standard Deviation,83079.15422,0.101271677,131.0821497,139.8780489,0.07870108,83093.26768,412.3103374,69.16913806,63.95931558,0.349927106,0.058168444
Minimum,36580.7314,1.040895466,247.249217,154.938705,0.870066595,35967.93104,734.766805,125.2291401,74.04701071,1,1.025064723
Maximum,276745.8998,1.310740069,618.3110588,567.0981021,1.090370165,275750.3045,1908.236349,321.9794709,259.4468615,2,1.1944659
Range,240165.1684,0.269844603,371.0618419,412.1593972,0.220303571,239782.3735,1173.469544,196.7503308,185.3998508,1,0.169401177
Sum,882862.957,7.967669396,2812.880241,2383.388788,6.693365071,877962.197,8556.497998,1446.027766,1117.211786,8,7.552897615
Index of Minimum,2,7,2,2,7,2,2,2,2,1,7
Index of Maximum,3,2,3,3,2,3,3,3,3,3,2
Number of Elements,7,7,7,7,7,7,7,7,7,7,7
