Measurement Table ruber46,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R8,48133.47988,1.22804661,271.7089405,190.5169644,0.988768414,48137.53357,815.0538182,137.9230403,93.83541617,1,1.098193567
P1R9,27556.96448,1.259007259,206.6042703,141.3671712,1.045266279,26746.22707,612.3835518,104.4786183,67.42770944,1,1.11576996
P1R11,67088.52047,1.173980904,317.8968667,257.5391762,1.069580968,65896.73648,981.8641058,172.0644846,104.7171337,1,1.164203814
P1R12,47484.88995,1.450332629,287.144553,174.8279161,1.103913228,46917.37377,822.1253678,145.1641067,78.96806836,1,1.146390455
P1R13,30248.61267,1.468481396,230.7052466,127.6233306,1.080475441,29401.39208,656.5094548,116.6194156,61.72708407,1,1.166552352
P1R14,36961.51841,1.330809043,242.6933717,157.6359779,1.05430329,36061.59988,705.620209,122.9958396,75.86999273,1,1.098720399
P1R15,54270.76205,1.327342384,293.7737174,183.8247403,1.089934143,53318.1456,878.4800431,150.4113558,85.76039155,1,1.151804897
P1R16,47079.52125,1.223953879,277.4810473,215.7415921,1.073381664,46033.67,804.7295916,149.2054369,89.67178572,1,1.11947526
P1R17,63626.67174,1.335656695,324.4599395,199.9841901,1.074252955,64149.59736,961.026875,163.7068493,98.03351548,1,1.145690437
P1R18,27046.19991,1.350488322,214.2331548,144.6552194,1.110269291,26243.56988,613.9954568,110.5632218,60.14904987,1,1.143135103
P1R19,75374.25677,1.25671757,346.8739521,244.0923843,1.074462945,74595.94886,1041.453402,176.9229849,109.8669154,1,1.157056592
P1R20,26065.20765,1.140328373,194.9547888,160.3133676,1.035851507,25278.79236,597.2021529,103.6967039,69.05882479,1,1.122733196
P1R21,44728.38277,1.404817464,278.6473067,176.4894648,1.10871177,43791.98106,794.89587,140.5974203,75.69574907,1,1.148196043
P1R22,34318.51446,1.197727852,229.5603003,171.7163927,1.046294861,33418.59594,680.4871922,117.540493,76.04153804,1,1.102660631
P1R23,29705.41861,1.142631515,212.9616176,168.6676484,1.042589644,28882.52014,640.4868352,112.7258604,72.90850816,1,1.130252529
P1R24,37269.59862,1.360036575,251.6801813,151.579346,1.097009947,36312.92848,723.2525037,128.170797,71.21712835,1,1.146327667
P1R25,51441.2885,1.34535249,291.6270804,180.3068774,1.053617887,50326.52457,845.5485369,149.7175106,88.57000228,1,1.130499311
P1R26,35494.0837,1.244168555,235.6597386,156.3708419,1.059068991,34594.16518,702.4389637,120.440903,77.04737638,1,1.135022549
P1R27,34602.27255,1.256039312,234.1238051,171.3146058,1.060224434,33726.67615,685.6578889,119.1017847,71.65552664,1,1.109255445
P1R28,32810.54288,1.245519384,225.1023944,157.8672477,1.028846554,31955.21491,665.1175117,114.2795631,74.94471458,1,1.101653908
P1R29,48733.42556,1.23689638,275.8400002,200.3082482,1.055064962,47801.07754,819.9715709,139.9791294,90.84716924,1,1.119309168
P1R30,54878.81511,1.232665401,291.4045917,210.2027324,1.054200047,54424.80216,876.4288237,148.2383669,95.29871626,1,1.123121141
P1R31,54927.45935,1.255449894,291.5575709,205.3644564,1.096298241,53942.4134,891.4234528,152.064326,90.063376,1,1.172270662
P1R32,20860.27349,1.116826352,176.4894648,148.9898997,1.022329377,20179.25407,531.2746122,94.93003539,65.38686636,1,1.113071786
P1R33,35696.76805,1.318203771,245.8794186,157.0434078,1.082572473,35396.79521,707.1285411,124.8648103,75.42931523,1,1.124146589
P1R34,23041.15712,1.081044037,180.3068774,157.0434078,0.989054981,22323.65451,553.4200528,95.17630158,66.76450746,1,1.091778776
P1R35,69285.61884,1.289217869,329.0131588,230.0013388,1.08825104,67988.43899,997.9718675,171.3263152,101.1138693,1,1.165713121
P1R36,31716.04738,1.300231013,222.7854216,141.710852,1.07357777,30860.71941,663.2665881,113.4802744,70.58544687,1,1.134384678
P1R37,22457.42619,1.130062344,179.2923261,144.6552194,0.979180132,21739.92358,541.2563527,92.24979559,67.6238018,1,1.072353954
P1R38,56281.39083,1.34918,302.4759766,186.5608665,1.049845201,55126.09002,883.3298915,153.2255322,90.55172925,1,1.126364155
P1R39,53281.66242,1.305244865,290.4291994,180.890469,1.148491048,52142.57636,881.7143634,149.3060537,76.39346585,1,1.186461097
P1R40,89278.40331,1.26677088,389.0040322,273.8192751,1.112217616,89971.58379,1157.944215,198.987779,117.0925094,2,1.18593276
P1R41,106960.5862,1.334307794,428.2865144,289.8284023,1.146349893,106745.7408,1272.443473,223.3912201,116.7768242,2,1.207025925
P1R42,60926.91617,1.338088332,312.1708449,198.2741962,1.043751093,59763.50799,919.211859,159.9618505,97.52363288,1,1.125084944
P1R43,32964.58299,1.349659358,234.5562629,147.842756,1.102172911,32072.77184,676.2686524,118.3671579,67.47863903,1,1.134729057
P1R44,26835.40819,1.238005541,203.0418606,145.2145997,1.013004739,26036.83184,593.7462657,103.3755589,69.2501293,1,1.077466563
P1R45,39936.92469,1.10091332,238.4470893,202.502094,1.007404895,38976.20086,737.2398179,129.0017631,84.40757479,1,1.109706727
P1R46,62134.91491,1.340966992,319.7404996,213.5508819,1.125549793,60922.86248,947.966606,164.0417729,91.84740024,1,1.173804943
P1R47,51554.79174,1.248023404,287.2433567,210.2027324,1.07839349,50804.85964,863.1449746,149.9780883,90.39057448,1,1.166950391
P1R48,98634.31299,1.218716946,408.0057743,292.9446272,1.169533823,97045.26767,1233.930611,214.1087193,105.0129648,2,1.248525083
P1R49,23487.06269,1.186803539,185.4931146,137.5300102,1.007646548,22769.56009,555.1825557,93.75798914,66.46895845,1,1.077226778
P1R50,47411.92359,1.383012714,281.9446804,166.6365992,1.077939655,46337.69652,814.9954264,142.9708952,78.67881538,1,1.140685864
P1R51,27629.93085,1.21608504,204.6328104,150.9092899,0.990947763,26855.67662,598.9717698,104.0763866,71.67988216,1,1.063082004
P1R52,39045.11354,1.350621124,252.7088949,156.0854224,1.073313903,38088.4434,737.0594543,129.0588487,72.40754199,1,1.135015979
P1R53,27702.89721,1.158821104,199.0903108,167.485863,0.976637055,26928.64299,598.2279169,103.7526683,75.6872091,1,1.0575698
P1R54,40909.80958,1.198545734,258.3563639,196.4668114,1.106131937,39916.65626,767.7676035,139.4735517,76.85996814,1,1.175156126
P1R55,41290.85616,1.365324074,264.6959137,170.6745296,1.088928647,40297.70284,760.5838465,133.6470492,78.04123056,1,1.142362826
P1R56,49754.9547,1.173051937,277.5978937,216.5667542,1.035731913,49106.36477,829.686808,141.7580992,96.78019948,1,1.115528683
P1R57,38347.87937,1.193506654,236.261022,169.147637,1.000523949,37427.69241,716.970177,119.9098195,83.86875659,1,1.092947467
P1R58,54886.92248,1.080406051,283.4217041,228.5870204,1.057223319,53735.67537,891.3603438,152.0363528,98.42754338,1,1.176614139
