Measurement Table rubescens31.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,28990.72923,1.074763091,206.1782513,156.7163342,1.029707472,28778.94239,698.4576795,106.9458463,72.28182063,1,1.34894897
P1R2,24882.88961,1.258143712,198.726742,143.2431488,1.084937484,24697.45467,646.1045618,103.6363301,65.99347147,1,1.345065938
P1R3,27951.02405,1.198434967,211.8401039,156.6111488,1.069285106,27736.54302,654.2464711,108.6797733,67.02180004,1,1.228062878
P1R4,30584.0169,1.158313793,217.2692126,165.2944564,1.073664798,30363.87131,679.5369488,115.1083424,68.49541059,1,1.210205624
Mean value,28102.16495,1.172413891,208.5035775,155.4662721,1.064398715,27894.20285,669.5864153,108.592573,68.44812569,1,1.283070853
Standard Deviation,2081.808882,0.066635557,6.873180169,7.887828412,0.020827029,2069.183529,20.73206662,4.175491223,2.385329378,0,0.064262228
Minimum,24882.88961,1.074763091,198.726742,143.2431488,1.029707472,24697.45467,646.1045618,103.6363301,65.99347147,1,1.210205624
Maximum,30584.0169,1.258143712,217.2692126,165.2944564,1.084937484,30363.87131,698.4576795,115.1083424,72.28182063,1,1.34894897
Range,5701.127295,0.18338062,18.54247067,22.05130763,0.055230012,5666.41664,52.35311774,11.47201234,6.288349162,0,0.138743346
Sum,112408.6598,4.689655563,834.0143098,621.8650882,4.257594859,111576.8114,2678.345661,434.3702922,273.7925027,4,5.13228341
Index of Minimum,2,1,2,2,1,2,2,2,2,1,4
Index of Maximum,4,2,4,4,2,4,1,4,1,1,1
Number of Elements,4,4,4,4,4,4,4,4,4,4,4
