Measurement Table sacculifer46.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,67007.18907,1.110541858,313.7238082,261.9983449,0.993845532,65451.04752,937.5238335,166.7752801,115.352206,1,1.068656643
P1R2,77993.28239,1.414631481,365.6616879,204.5229005,1.124379642,76244.28569,1060.281254,184.2032298,101.0756979,1,1.1733431
P1R3,68190.92067,1.416565714,344.9805466,191.4569892,1.15981976,66488.47522,1031.759654,175.1881685,93.8936663,1,1.274092226
P1R4,88367.55938,1.285092844,374.236208,254.8965177,1.060946076,86538.76055,1109.696494,190.2193047,120.6537972,1,1.13236885
P1R5,82834.61165,1.359799912,369.2270845,221.8362322,1.115723756,81039.06371,1083.359946,185.4243466,106.8388412,1,1.152500949
P1R6,80906.06016,1.341535902,365.5161653,238.7300184,1.056447373,79190.31435,1048.57992,185.0862037,110.3286843,1,1.104895396
P1R7,145918.196,1.357652357,486.7025011,286.2577298,1.136934279,143477.5808,1473.365449,245.1539325,142.0589691,1,1.204001628
P1R8,236294.109,1.429999975,642.0316236,381.6614851,1.148626838,233274.9283,1881.639072,337.499648,169.5440097,2,1.2077992
P1R9,282898.5533,1.464734628,709.2948841,342.1350981,1.207065436,279380.6094,2113.445011,356.4450441,151.6474371,2,1.272259792
P1R10,47216.26066,1.268361174,271.0801763,190.900427,1.005823888,45939.42656,785.8934487,136.5206179,93.36915924,1,1.069872253
P1R11,75652.41989,1.373094697,352.1729851,227.8696697,1.077553761,73989.8755,1021.990321,180.1944566,103.241157,1,1.123340524
P1R12,96799.98452,1.261361335,405.1251438,295.9664487,1.088458342,94871.43303,1168.813422,211.0464257,129.7513513,1,1.145895667
P1R13,245750.6614,1.399416477,647.6624118,381.8705193,1.211833223,243157.0922,1971.449142,347.190261,150.6585233,2,1.271962689
P1R14,146543.3126,1.413363933,506.6525967,313.6390065,1.115650685,144135.9484,1453.362413,258.1536112,141.5782993,1,1.166180286
P1R15,72806.1439,1.336869359,346.9412253,217.5071565,1.059799036,71136.94933,1001.721268,177.5604471,104.897108,1,1.122506101
P1R16,175325.2811,1.44471822,557.7949508,301.1121399,1.145715975,172638.6094,1619.960077,281.1919034,147.0828348,1,1.209653125
P1R17,71436.20732,1.391992087,348.3758608,222.4648767,1.106635912,69767.01275,1000.611459,181.8638395,95.53683489,1,1.142012806
P1R18,134080.8799,1.41020251,484.8132378,278.1752434,1.157454795,131740.0174,1407.902994,244.7356046,127.1489898,1,1.197341142
P1R19,64254.01556,1.219558751,317.2021224,243.2829223,1.051760516,62691.22383,946.5508982,170.171518,103.9235746,1,1.137290347
P1R20,292714.2154,1.376603145,736.3077313,481.0262757,1.143737366,294110.7526,2124.962115,382.8080875,205.6850423,2,1.221748003
P1R21,161373.2086,1.382346907,526.6929909,290.1343611,1.184034282,158772.9892,1572.332359,266.5548669,132.5478393,1,1.239088255
P1R22,134972.0037,1.295537158,488.1214618,350.2795682,1.110992568,132671.0423,1395.561592,260.1420518,142.5918912,1,1.168186097
P1R23,331990.164,1.469913134,768.497865,450.293142,1.195784808,330553.7257,2293.548504,401.8444625,194.27663,3,1.266379754
P1R24,168528.7997,1.400417015,546.4366133,335.6991345,1.18805761,165882.029,1600.388069,282.7918186,143.7366647,1,1.228687467
P1R25,351714.5906,1.448014174,786.8153082,438.9861561,1.139550761,355033.0292,2339.026071,411.1578783,201.4100237,3,1.226285306
P1R26,125635.1544,1.34780022,455.870649,286.0950635,1.146892267,123733.2036,1358.933429,237.080553,134.4367092,1,1.187682244
P1R27,155427.9499,1.465611897,528.6590224,309.5412061,1.090975661,153299.893,1489.49287,266.1396458,151.3818316,1,1.151662333
Mean value,147504.8791,1.366138402,483.2072912,296.2347642,1.119425931,145748.4933,1418.227818,249.005304,133.8758434,1.296296296,1.180210822
Standard Deviation,86235.12384,0.081784983,147.673904,77.42885018,0.056312174,86668.36595,441.8279312,77.55120296,31.23626159,0.597204278,0.058033425
Minimum,47216.26066,1.110541858,271.0801763,190.900427,0.993845532,45939.42656,785.8934487,136.5206179,93.36915924,1,1.068656643
Maximum,351714.5906,1.469913134,786.8153082,481.0262757,1.211833223,355033.0292,2339.026071,411.1578783,205.6850423,3,1.274092226
Range,304498.33,0.359371276,515.7351318,290.1258488,0.217987691,309093.6027,1553.132622,274.6372604,112.3158831,2,0.205435583
Sum,3982631.735,36.88573687,13046.59686,7998.338633,30.22450015,3935209.319,38292.15108,6723.143207,3614.647773,35,31.86569218
Index of Minimum,10,1,10,10,1,10,10,10,10,1,1
Index of Maximum,25,23,25,20,13,25,25,25,20,23,3
Number of Elements,27,27,27,27,27,27,27,27,27,27,27
