Measurement Table ZF6364_tenellus25_soso ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R2,16607.718,1.113583628,157.1895569,124.5100622,0.982791102,16116.00635,467.5950323,81.50329735,58.62036826,1,1.079623936
P1R3,19230.3396,1.205973259,173.1677857,128.301509,1.033579979,18627.6632,511.5021295,90.91407184,55.80804878,1,1.117703658
P1R4,33335.2512,1.25846642,231.0648922,154.5633191,1.144439572,32582.82249,709.6466202,117.7448041,62.78929811,1,1.229945116
P1R5,28915.4016,1.324556888,215.1323992,145.0547497,1.091110736,28184.17902,637.7144579,110.8063845,63.97995702,1,1.148252223
P1R6,17406.486,1.096254883,162.9490092,131.8074505,1.038889222,16809.13906,489.8658902,84.95813606,55.11686965,1,1.136054294
P1R7,38766.8736,1.225880172,254.5716214,188.198577,1.118909475,37957.70735,765.7317164,132.27525,76.01558395,1,1.229259167
P1R8,24715.2132,1.123540677,194.2381919,140.9350829,1.087487736,24095.52205,598.2876337,101.8493712,60.94207428,1,1.182153493
Mean value,25568.18331,1.19260799,198.3304938,144.7672501,1.071029689,24910.43422,597.1919257,102.8644736,61.89602858,1,1.160427412
Standard Deviation,7869.794894,0.078678893,34.04040508,20.16518211,0.051515794,7772.888056,105.7976299,17.19747184,6.537397967,0,0.052289509
Minimum,16607.718,1.096254883,157.1895569,124.5100622,0.982791102,16116.00635,467.5950323,81.50329735,55.11686965,1,1.079623936
Maximum,38766.8736,1.324556888,254.5716214,188.198577,1.144439572,37957.70735,765.7317164,132.27525,76.01558395,1,1.229945116
Range,22159.1556,0.228302006,97.38206445,63.6885148,0.16164847,21841.701,298.1366842,50.77195264,20.8987143,0,0.15032118
Sum,178977.2832,8.348255927,1388.313456,1013.37075,7.497207821,174373.0395,4180.34348,720.0513151,433.2722,7,8.122991887
Index of Minimum,1,5,1,1,1,1,1,1,5,1,1
Index of Maximum,6,4,6,6,3,6,6,6,6,1,3
Number of Elements,7,7,7,7,7,7,7,7,7,7,7
