Measurement Table tenellus27.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,31456.67846,1.247529253,223.313322,165.2495093,1.09701517,31159.58714,759.8522201,117.3572591,71.87745002,1,1.474540604
P1R2,34531.76107,1.282208883,244.2197147,176.8686154,1.147672769,34243.26716,771.6952056,124.8249014,72.49160873,1,1.38390592
P1R3,30041.64044,1.136772623,215.1811113,164.8885395,1.090931624,29764.97813,714.3601213,110.9980916,70.51474413,1,1.364328634
P1R4,24186.48313,1.047434487,185.3175365,159.2948474,1.008746241,23943.52744,632.2799957,98.86663805,69.48593257,1,1.328681561
P1R5,32629.20996,1.272396645,231.1325779,163.4162909,1.140026008,32345.65386,745.2331124,122.2413433,65.50317797,1,1.36633914
P1R6,33143.39044,1.391333749,244.2470117,153.5842887,1.129446869,32902.92566,719.5287482,124.4040046,68.05298395,1,1.252137268
P1R7,46327.91132,1.277560602,280.6815216,195.5893515,1.159710894,45993.35432,922.8554735,149.8632227,82.15019601,1,1.473541793
P1R8,43699.50737,1.06829517,261.5454157,194.2275646,1.109419391,43340.30977,913.8915456,139.9580171,82.96106638,1,1.533513012
P1R9,28804.94055,1.263754426,214.4653874,155.2143053,1.109814167,28547.38083,708.1541082,113.6271404,68.33370014,1,1.397910756
Mean value,33869.05808,1.220809538,233.3448443,169.8148125,1.110309237,33582.33159,765.3167256,122.4600687,72.37453999,1,1.397210965
Standard Deviation,6618.408627,0.106285909,26.60755168,14.84509302,0.042103307,6586.000103,90.0779183,14.37055781,5.791963184,0,0.080511562
Minimum,24186.48313,1.047434487,185.3175365,153.5842887,1.008746241,23943.52744,632.2799957,98.86663805,65.50317797,1,1.252137268
Maximum,46327.91132,1.391333749,280.6815216,195.5893515,1.159710894,45993.35432,922.8554735,149.8632227,82.96106638,1,1.533513012
Range,22141.42819,0.343899262,95.36398515,42.00506289,0.150964653,22049.82689,290.5754778,50.99658466,17.45788841,0,0.281375744
Sum,304821.5227,10.98728584,2100.103599,1528.333312,9.992783133,302240.9843,6887.850531,1102.140618,651.3708599,9,12.57489869
Index of Minimum,4,4,4,6,4,4,4,4,5,1,6
Index of Maximum,7,6,7,7,7,7,7,7,8,1,8
Number of Elements,9,9,9,9,9,9,9,9,9,9,9
