Measurement Table truncatulinoides20.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,157880.9083,1.250827399,503.9950307,382.9553151,1.105828775,157215.0571,1711.346556,270.3120786,166.0930505,3,1.482422335
P1R2,40427.75281,1.32412316,262.2835899,181.4434287,1.07546079,40116.91112,756.9862341,139.3510371,77.22036223,1,1.136681089
P1R3,39795.23581,1.268122381,260.3910296,187.7346005,1.048293737,39486.8942,746.2709181,137.9864402,81.34979402,1,1.122354925
P1R4,219080.8859,1.271761868,596.559213,447.8945817,1.094465991,218302.9067,2017.705082,317.2882355,183.8745456,4,1.484041394
P1R5,54639.8013,1.314545356,311.9510343,215.1636829,1.100502851,54264.37454,887.1687317,167.170865,92.09671975,1,1.15421791
P1R6,41296.10947,1.088538848,243.1561675,212.0111025,0.932911372,40986.51782,741.045454,123.0607684,103.5417909,1,1.066200371
Mean value,92186.78227,1.252986502,363.0560108,271.2004519,1.059577253,91728.77692,1143.420496,192.5282375,117.3627105,1.833333333,1.240986337
Standard Deviation,70523.44688,0.07797352,136.6689571,104.3841743,0.059798525,70333.51564,519.8627086,74.03459884,41.90504469,1.213351648,0.17339694
Minimum,39795.23581,1.088538848,243.1561675,181.4434287,0.932911372,39486.8942,741.045454,123.0607684,77.22036223,1,1.066200371
Maximum,219080.8859,1.32412316,596.559213,447.8945817,1.105828775,218302.9067,2017.705082,317.2882355,183.8745456,4,1.484041394
Range,179285.6501,0.235584312,353.4030454,266.451153,0.172917403,178816.0125,1276.659628,194.2274671,106.6541834,3,0.417841022
Sum,553120.6936,7.517919012,2178.336065,1627.202711,6.357463516,550372.6615,6860.522976,1155.169425,704.176263,11,7.445918024
Index of Minimum,3,6,6,2,6,3,6,6,2,2,6
Index of Maximum,4,2,4,4,1,4,4,4,4,4,4
Number of Elements,6,6,6,6,6,6,6,6,6,6,6
