Measurement Table ZF5803_tumida44 ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R2,546304.0608,1.53160105,1017.426525,601.0458725,1.174504378,542986.7384,2970.112908,541.2017515,235.8922501,1,1.292846169
P1R3,554138.6436,1.669932198,1075.708407,604.7830385,1.079894138,550880.3358,2828.926664,551.820161,298.2351699,1,1.156049061
P1R4,534748.5504,1.424342933,1013.496773,663.06,1.098696126,531530.9805,2890.462196,543.6891683,281.3284323,1,1.250823874
P1R5,409681.4508,1.430566254,869.3106993,575.3457847,1.0802242,406869.1218,2392.870369,465.1727974,264.1499505,1,1.119885881
P1R8,228886.9704,1.330299376,605.7233428,414.4896669,1.008614046,226826.8146,1759.52829,311.9292266,197.9372091,1,1.08614616
P1R9,504129.1104,1.340357859,923.975051,632.1052653,1.049527542,501017.2434,2662.111119,483.1379309,267.663348,1,1.125614925
P1R10,493891.5672,1.277393266,883.9277301,621.3462803,1.056037968,490811.8197,2771.561506,454.9282303,271.527235,1,1.245443946
P1R11,313196.9328,1.465462731,773.8021747,500.52,1.087770294,310734.5995,2219.580535,405.214937,232.7663423,1,1.261660072
P1R12,322868.682,1.255722649,709.4014841,510.1489265,1.01857614,320435.6069,2207.493038,366.1414202,241.7040912,1,1.210174711
P1R13,636977.5416,1.401382905,1062.574809,706.9953245,1.083430008,633493.8098,3179.900187,564.3923532,295.6982613,1,1.27020775
Mean value,454482.351,1.412706122,893.5346995,582.9840159,1.073727484,451558.707,2588.254681,468.7627976,258.690229,1,1.201885255
Standard Deviation,123414.6552,0.11774789,149.7277223,81.87240608,0.043967007,122976.8473,411.0998878,81.53654094,29.81988138,0,0.069938186
Minimum,228886.9704,1.255722649,605.7233428,414.4896669,1.008614046,226826.8146,1759.52829,311.9292266,197.9372091,1,1.08614616
Maximum,636977.5416,1.669932198,1075.708407,706.9953245,1.174504378,633493.8098,3179.900187,564.3923532,298.2351699,1,1.292846169
Range,408090.5712,0.414209549,469.9850638,292.5056575,0.165890332,406666.9952,1420.371898,252.4631265,100.2979609,0,0.206700009
Sum,4544823.51,14.12706122,8935.346995,5829.840159,10.73727484,4515587.07,25882.54681,4687.627976,2586.90229,10,12.01885255
Index of Minimum,5,9,5,5,5,5,5,5,5,1,5
Index of Maximum,10,2,2,10,1,10,10,10,2,1,1
Number of Elements,10,10,10,10,10,10,10,10,10,10,10
