Measurement Table tumida44.tif ,,,,,,,,,,,
Feature Name,Area(µm^2),Aspect Ratio,"Diameter, Max(µm)","Diameter, Min(µm)",Fourier Descriptor{mean},"Area, Polygonal(µm^2)","Perimeter, Bounding Polygon(µm)","Radius, Max(µm)","Radius, Min(µm)",Relative Size,Roundness
P1R1,602144.5337,1.427609798,1049.939823,664.1644371,1.121279734,599704.8325,2963.013851,559.4765797,266.6432042,1,1.16498403
P1R2,368412.9477,1.338434683,792.0396769,559.247878,1.076999032,366521.9739,2281.934959,421.2164608,237.6580033,1,1.130567935
P1R3,493345.3621,1.273740371,903.4637754,634.6565308,1.112541232,491155.3811,2663.088053,485.2976816,246.4202517,1,1.149058933
P1R4,567978.86,1.338514247,996.127502,704.6716634,1.067982392,565672.2335,2809.344837,532.7140809,300.6619323,1,1.110287363
P1R5,356242.3711,1.4293771,786.734621,525.1161955,1.024063741,354410.5416,2213.8552,403.8238545,239.6224756,1,1.100479483
P1R6,430583.4335,1.341557526,863.6024855,585.4352883,1.096644027,428533.0988,2506.498993,462.8412906,244.2066808,1,1.166650723
Mean value,469784.5847,1.358205621,898.651314,612.2153322,1.083251693,467666.3436,2572.955982,477.561658,255.868758,1,1.137004744
Standard Deviation,93471.16788,0.054882445,97.92240776,61.72448414,0.032297638,93255.49399,269.0141758,55.73811434,22.14862205,0,0.025483242
Minimum,356242.3711,1.273740371,786.734621,525.1161955,1.024063741,354410.5416,2213.8552,403.8238545,237.6580033,1,1.100479483
Maximum,602144.5337,1.4293771,1049.939823,704.6716634,1.121279734,599704.8325,2963.013851,559.4765797,300.6619323,1,1.166650723
Range,245902.1626,0.155636729,263.2052019,179.5554679,0.097215994,245294.2909,749.1586508,155.6527252,63.00392904,0,0.066171241
Sum,2818707.508,8.149233726,5391.907884,3673.291993,6.499510158,2805998.061,15437.73589,2865.369948,1535.212548,6,6.822028467
Index of Minimum,5,3,5,5,5,5,5,5,2,1,5
Index of Maximum,1,5,1,4,1,1,1,1,4,1,6
Number of Elements,6,6,6,6,6,6,6,6,6,6,6
