"area","diam.max"
621055.4328,941.35712
630567.4284,1028.93169
235210.5504,586.17691
477017.5932,865.74667
606224.9736,949.44351
248696.4168,624.66377
521209.4328,899.05874
873066.7368,1199.61122
221371.8948,586.63663
696618.8856,1140.36
481663.7604,872.42157
286830.9324,650.47219
919841.2596,1321.85917
508928.3748,884.45471
653958.018,989.67468
260444.9628,636.02626
859720.6548,1207.44
397906.2792,815.26775
170051.0508,549.89721
639826.4808,1032.93483
825060.78,1185.10777
326343.3228,758.91041
601099.5456,1045.79147
436992.66,796.15054
