"area","diam.max"
83743.83342,347.30411
80322.45751,371.4207
71023.50391,333.97732
59481.35247,300.52234
79130.96668,331.68741
71602.60839,331.3059
56066.63293,304.24255
76401.85359,347.34244
63222.23431,315.58305
72847.35021,342.55687
85647.55621,359.13862
43545.99462,265.32585
77673.22091,335.61757
84229.74868,353.00703
77500.1552,347.39034
79996.29521,347.60105
65079.36248,314.31496
76834.51786,348.93894
79430.50348,364.3552
66510.48276,323.23124
62589.87884,301.98065
90380.23768,383.54381
67462.34415,334.77359
67768.53733,325.89737
68494.08202,319.60711
70963.59654,321.02021
77347.05861,340.56909
84349.5634,353.18612
52066.15253,282.91852
61691.26843,299.21267
62436.78225,322.15862
60240.17904,297.00212
68181.23247,327.26296
67808.47557,317.76907
54941.70583,293.55308
59527.94709,297.51715
68600.584,328.47094
73493.01843,336.32091
60286.77365,314.8968
71882.17607,336.04371
79630.19468,364.1816
69133.09387,332.0284
78418.73472,341.06712
66969.77252,322.75725
53989.84444,278.41241
70763.90534,321.00984
49836.26745,267.8477
42128.18709,244.05169
42054.96698,248.49784
51720.228,302.08043
52532.3088,281.64573
50974.7112,301.51801
57418.1064,300.27919
43206.6924,263.67802
56852.3124,299.54678
55654.1604,297.01392
45875.9088,253.7991
61125.7212,304.61487
48704.8788,275.4807
49164.1704,278.83105
53151.354,285.4371
45063.828,263.36228
57877.398,295.53109
72914.2056,326.56115
80429.2812,349.25425
66910.1328,311.41145
77127.7068,355.03837
55933.7292,296.7
64174.3524,311.15485
48671.5968,266.6527
