"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_log_max.1"
"calida","G.calida",25,"A",8,25057.58971,10.1289320430582,158.295892903133,56818.6195475,10.9292470239014,237.320635585897,77122.67268125,11.1185495640392,268.935039257268,63198.588045,11.0540329994902,251.393027121455,105452.388075,11.5633057137267,324.51154060438,134912.56673,11.8086097938005,366.961719325376,143339.9578,11.872974415143,378.602638395455
"calida","G.calida",25,"B",5,110296.548,11.6109279082877,332.10924106384,125200.2276,11.7376695555379,353.836441876752,141256.79568,11.8466978069474,374.761438933154,143844.804,11.876490247368,379.26877540868,160272.7992,11.984632637362,400.340853773381,165390.23952,12.0159414764175,406.669676789171,166669.5996,12.0237686861814,408.251882543118
"conglobatus","G.conglobatus",25,"A",3,61099.97486,11.020266733703,247.184091033383,61784.993265,11.0313543205001,248.562053588629,82043.03751,11.2596858315827,282.402854233974,62470.01167,11.0424419072973,249.940016143874,92514.568835,11.3793953805226,300.012235834269,116550.214567,11.6489581591029,340.070011586584,122559.126,11.7163488537479,350.084455524663
"conglobatus","G.conglobatus",25,"B",7,99806.0616,11.5109841979301,315.920973662718,140609.7936,11.8504527725393,374.671577172822,242215.935942857,12.2249127382946,470.215499472557,212645.3544,12.267381054217,461.134854896049,236278.9026,12.3713912119565,485.918039036826,515098.8576,13.0737995095226,704.891809837289,629282.7432,13.3523359469239,793.273435329836
"falconensis","G.falconensis",25,"A",17,28968.60448,10.2739679183915,170.201658276293,34433.39258,10.4467820870577,185.562368437138,37409.0682247059,10.5220821909512,193.048780733531,37081.34179,10.5208692053789,192.565162451571,40248.02363,10.6028161792809,200.619100860312,45088.321966,10.7163763824216,212.339993760256,45276.51335,10.7205437079246,212.782784430508
"falconensis","G.falconensis",25,"B",9,15030.1512,9.61781354257666,122.597517103733,30732.5988,10.333079220374,175.307155586987,34452.0472,10.404802890829,183.812308204035,35245.638,10.4700970559026,187.738216674176,41116.5828,10.624166793563,202.772243662687,43527.53088,10.6810450421398,208.627113878721,44038.7424,10.6928250345706,209.85409788708
"glutinata","G.glutinata",25,"A",18,23495.77401,10.0645758545993,153.283312888259,27678.80994,10.228389690642,166.368135029473,35613.0513838889,10.4519897877244,187.382996238347,35271.8093,10.4707743298762,187.804853955796,43336.29241,10.6763247244706,208.15192331578,49856.1384735,10.8168961588107,223.284840109514,50001.40372,10.8198063584162,223.609936541291
"glutinata","G.glutinata",25,"B",14,36676.764,10.509898700014,191.511785538123,66321.0414,11.0915220197002,256.820938956626,94031.1591428571,11.3787796571916,301.314233653155,90943.065,11.417916441213,301.562214024295,116779.8816,11.663119920492,341.318784775231,153352.80576,11.9403226588294,391.58581947792,157264.1064,11.9656818773755,396.565387294454
"inflata","G.inflata",25,"A",30,29565.56374,10.2943655758898,171.946397868638,56096.6978125,10.9348321950978,236.847412716437,75779.5825103333,11.1549726688127,269.990940351018,72760.59607,11.1936238039283,269.65369207931,96923.49498,11.4813057773205,311.296629650653,119602.85842,11.6919274976895,345.836070999672,136366.9734,11.8231048645746,369.278991278952
"obliquiloculata","P.obliquiloculata",25,"A",3,73400.30532,11.203683374267,270.924907160637,101604.39641,11.4887494222207,315.607178385127,130372.947073333,11.7070725019316,354.900094395134,129808.4875,11.7738154701744,360.289449609616,158859.26795,11.9587670657639,396.887688012383,182099.89231,12.1067283422354,426.166278734596,187910.0484,12.1437186613533,433.485926415149
"obliquiloculata","P.obliquiloculata",25,"B",10,79457.4468,11.2829768969621,281.88197317317,88956.1296,11.3958398278432,298.25075037535,121888.00296,11.6620348455674,344.849214072192,108133.218,11.5907959717559,328.809583930117,150754.1472,11.9233891018393,388.269111760749,182892.24486,12.1101436509216,426.967505192966,201562.4484,12.2138545299722,448.957067435184
"ruber","G.ruber",25,"A",62,23693.85198,10.072970883344,153.928074047589,34076.9572725,10.4363721869485,184.599242731823,53365.973476129,10.8019180937643,226.27367726825,47805.92616,10.7747200438846,218.635560285746,67105.703125,11.1140216230018,259.047510860183,92365.114606,11.4335009078928,303.916012458198,116481.3553,11.6654864988367,341.293649662574
"ruber","G.ruber",25,"B",11,34579.998,10.4510307014004,185.956978895657,75806.4114,11.2351270634297,275.273829193494,85250.3301818182,11.3014439452451,288.352710613031,88057.5156,11.3857454663294,296.744866172947,89558.5338,11.4026476158782,299.263312249553,122574.2778,11.6843352078876,347.326919689206,153157.1076,11.9392195205866,391.352919498501
"sacculifer","G.sacculifer",25,"A",28,35959.71656,10.4901546064633,189.630473711374,57176.9022025,10.9535772798331,239.097412945478,111620.259481429,11.4777115533771,322.585632137163,104797.076,11.5596280808372,323.711377662776,154136.54095,11.9453487670929,392.578086685215,216684.40002,12.2832155640525,465.149946061797,240451.0323,12.3902717398968,490.358065397114
"sacculifer","G.sacculifer",25,"B",9,140549.886,11.8533177652351,374.89983462253,157164.2604,11.965046781984,396.439478861528,217214.6032,12.2507497762088,461.732310496054,208731.3912,12.2488034947874,456.871307043898,262688.1696,12.4787229407806,512.531140127115,299680.44696,12.610268449336,547.402950789667,304603.5204,12.6267662768288,551.908978365092
"tenellus","G.tenellus",25,"A",20,21894.19,9.99397658380352,147.966854396517,24302.3980725,10.097943791576,155.877283588097,27459.939644,10.2110190401747,165.317692352274,26924.55589,10.2007483617943,164.085165106845,30957.763185,10.3403743940963,175.947977150637,33349.097243,10.4146879402652,182.61283329398,35423.96399,10.4751438189654,188.212550033201
"tenellus","G.tenellus",25,"B",7,16607.718,9.71762280605267,128.870935435419,18318.4128,9.81442133634968,135.303571201759,25568.1833142857,10.1019230698096,158.029512642357,24715.2132,10.1151742520441,157.210728641528,31125.3264,10.3432501850639,176.312365421789,37137.38688,10.5200361846146,192.598967236826,38766.8736,10.5653213877436,196.893051172458
"truncatulinoides","G.truncatulinoides",25,"A",12,57919.11364,10.9668027237657,240.663901821607,75108.1642975,11.2266780282751,274.058241563806,130495.4404,11.6862154888147,353.194477062763,126727.59165,11.7348112627548,354.662142953581,184194.3222,12.1233102208522,429.131583814467,202883.87736,12.2203813069295,450.425455104681,203767.4319,12.2247345827809,451.406060991653
"truncatulinoides","G.truncatulinoides",25,"B",4,168260.4792,12.0332685290741,410.195659655243,218582.8632,12.2849611962183,466.4009556529,253622.1528,12.4152787430497,500.164036936887,270279.7938,12.4987949187488,518.793748445446,305319.0834,12.6291124655802,552.556829729433,305598.6522,12.6300277776175,552.809758907019,305668.5444,12.6302566056269,552.872991201415
"universa","O.universa",25,"A",6,185304.1688,12.1297539095919,430.469707180424,260715.9324,12.4709172700005,510.568954059006,294398.536533333,12.5593167357668,538.076360874836,284098.6106,12.5560594919854,532.873524951986,310483.6048,12.6455612141226,557.165489642273,409269.50165,12.9121613792895,638.197630811468,440689.52,12.9960958701979,663.844499864238
"universa","O.universa",25,"B",5,189421.1748,12.1517282528515,435.225429863651,341233.6896,12.7403228282951,584.152111696945,341622.42336,12.7062673452208,579.721061259482,382616.5284,12.8547885352643,618.560044296429,384839.766,12.8605823344301,620.35454862522,404968.7196,12.9112482870965,636.321447177178,410000.958,12.9239147752631,640.313171815167
"dutertrei","N.dutertrei",25,"B",7,98607.9096,11.4989067564403,314.01896375856,137168.4348,11.8289479452601,370.361002173446,151807.760228571,11.9061020222052,387.293125245286,142154.0784,11.8646668074871,377.033259010396,170207.4762,12.040046029511,412.075365739154,201013.96104,12.2100143570188,448.221712267746,207140.5116,12.241152641967,455.126918122846
"pachyderma","N.pachyderma",25,"B",2,29374.6932,10.2878888071366,171.390469980101,34428.5649,10.4188036326626,184.214984202839,39482.4366,10.5497184581886,197.039498425578,39482.4366,10.5497184581886,197.039498425578,44536.3083,10.6806332837146,209.864012648316,48579.40566,10.7853651441355,220.123624026506,49590.18,10.8115481092407,222.688526871054
"siphonifera","G.siphonifera",25,"B",5,137740.8852,11.8331295556789,371.134591758839,141435.1872,11.8595968501432,376.078698147077,165814.91784,12.0046119284191,405.754627598068,161956.8684,11.9950853343207,402.438651722222,169778.1384,12.0422477954539,412.041428014223,208486.43568,12.2428496442899,456.072100281226,218163.51,12.293000106499,467.079768347977
"calida","G.calida",27,"A",11,32405.74445,10.3860909839045,180.015956098341,39390.94874,10.5811456234791,198.464301484861,61150.2624181818,10.923595839835,241.188494399733,49054.3453,10.8006840502644,221.482155714631,77088.12871,11.228971437894,276.0147223868,110994.70515,11.6128351231012,332.792587874132,121387.1864,11.7067406034372,348.40663943157
"calida","G.calida",27,"B",6,89082.6012,11.3973193216634,298.467085622519,96036.8751,11.4657558173858,309.366508010354,112399.9704,11.6176234540408,334.258227636289,119236.0932,11.6885237398382,345.276704580609,126135.4518,11.7449579406375,355.141933517828,129430.3698,11.7708571697929,359.760629842109,130105.9944,11.7761047387658,360.702085383492
"conglobatus","G.conglobatus",27,"A",12,73562.32952,11.2058883465148,271.223762823245,96407.62549,11.4733414909039,310.266741396005,161493.431010833,11.8269703546698,384.96835535514,113624.3584,11.6406387967807,337.080911637042,195895.681775,12.154474433848,439.068505210337,342852.765355,12.7316264966646,583.569531909991,405236.8277,12.9122269349364,636.582145288414
"conglobatus","G.conglobatus",27,"B",2,270828.9468,12.509242707956,520.412285404563,271359.7947,12.5111951495445,520.921315904667,271890.6426,12.513147591133,521.430346404771,271890.6426,12.513147591133,521.430346404771,272421.4905,12.5151000327215,521.939376904876,272846.16882,12.5166619859923,522.346601304959,272952.3384,12.51705247431,522.44840740498
"dehiscens","S.dehiscens",27,"A",1,386229.6171,12.8641873345395,621.473746106784,386229.6171,12.8641873345395,621.473746106784,386229.6171,12.8641873345395,621.473746106784,386229.6171,12.8641873345395,621.473746106784,386229.6171,12.8641873345395,621.473746106784,386229.6171,12.8641873345395,621.473746106784,386229.6171,12.8641873345395,621.473746106784
"dutertrei","N.dutertrei",27,"A",11,61867.91564,11.0327569986089,248.732618769634,75905.86653,11.2365826691607,275.464291946065,88919.3295981818,11.3762832133409,296.782939732312,87012.3748,11.3738056266022,294.978600579771,104573.8876,11.5576487241468,323.378825632495,110778.5734,11.6152453911173,332.830553234918,111809.0016,11.6245473516677,334.378530411269
"dutertrei","N.dutertrei",27,"B",8,128015.8848,11.759909635202,357.793075394145,137865.6927,11.8335466042696,371.257620511608,170235.7659,12.0142794440405,409.35615186018,156135.8466,11.958017578182,395.09444505188,179436.5748,12.0886033545296,422.628422151428,248909.75442,12.4218340138185,498.536424297245,262834.6104,12.4792802555512,512.673980615361
"glutinata","G.glutinata",27,"A",24,26750.92189,10.1943242149079,163.557090613645,30221.7057275,10.3162449360156,173.840844585788,33894.1351495833,10.4162083034339,183.402404355582,33287.355345,10.4129327367318,182.448219738648,34258.9737575,10.4416991004256,185.091579817485,47201.1522075,10.7614581681661,217.219899197533,52932.84635,10.8767793391477,230.071394028028
"glutinata","G.glutinata",27,"B",14,23217.5232,10.0526625828959,152.372973981609,30358.1763,10.318094263368,174.115649723562,39807.6492857143,10.5558117136232,197.777105447679,41495.9976,10.6288074234462,203.474606106577,48383.7075,10.7869181140812,219.962951976578,52079.6736,10.8604560537358,228.205489461246,52945.0056,10.8770090236347,230.097817460314
"menardii","G.menardii",27,"A",1,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665,73905.06592,11.2105366556017,271.854861865665
"obliquiloculata","P.obliquiloculata",27,"A",7,36580.7314,10.5072769162775,191.260898774423,55299.893055,10.9080119989464,234.42702630304,126123.279585714,11.5058560490896,335.36864424905,97397.47059,11.4865555199916,312.085678284025,180769.5346,12.1001404372707,424.656719799075,253274.49599,12.4311737579929,501.90918015998,276745.8998,12.5308550349236,526.066440480668
"obliquiloculata","P.obliquiloculata",27,"B",4,100405.1376,11.5169686562453,316.867697312301,151211.7747,11.9036890000137,386.760202136256,155087.4636,11.9261960930392,391.429936055727,171112.7466,12.0499277637705,413.642233993211,174988.4355,12.0724348567959,418.311967912682,177173.06598,12.0848551220556,420.916456721885,177719.2236,12.0879601883705,421.567578924186
"ruber","G.ruber",27,"A",96,19299.66924,9.86784323692229,138.923249458109,28107.5686075,10.2437926038382,167.65305449507,38666.6034395833,10.4887418910468,192.704036627128,33079.719155,10.4066557670283,181.877404160257,42335.7975075,10.653214917174,205.747697195213,64892.76518,11.0804341796465,254.736931305029,161831.8677,11.9943132215677,402.283317700349
"ruber","G.ruber",27,"B",6,51300.8748,10.845463083645,226.496964218066,58191.9129,10.9709008721736,241.193535037375,73982.5578,11.175702692013,269.536794202433,69862.2462,11.1474618591768,263.865245331713,82311.3783,11.3177946873816,286.86609521524,105018.0228,11.554307707092,323.46731206397,112107.0888,11.627209843457,334.823966884093
"sacculifer","G.sacculifer",27,"A",47,28351.35285,10.2524300275941,168.378599738803,53162.484835,10.8811074516143,230.569866848442,106040.157448511,11.3663513877445,309.064789508244,83349.07682,11.3307928121728,288.702401825825,125249.8068,11.7369161289232,353.804847862845,282827.57366,12.5460520336593,530.962514551895,366783.1944,12.8125262015209,605.626282785019
"sacculifer","G.sacculifer",27,"B",14,82865.5236,11.3249743752488,287.863724008427,117024.5043,11.669355267391,342.020962603205,177859.008,12.0044113607056,413.048177584946,155117.4174,11.9436350025722,393.034529438441,226533.933,12.3306474581438,475.955504361569,291822.56676,12.5838582513912,540.200228656878,295517.5344,12.5964834521389,543.615244819348
"siphonifera","G.siphonifera",27,"A",29,38792.06996,10.5659711222482,196.957025668038,76802.12123,11.2489875389366,277.131956349317,118194.38634931,11.573665978952,334.951506970329,99161.94133,11.5045095637106,314.899890965367,163330.1892,12.0035291314375,404.141298557819,213786.1665,12.2668143714725,461.692779849035,249358.8167,12.4266481690819,499.358405055928
"siphonifera","G.siphonifera",27,"B",3,70012.0152,11.1564221520163,264.597836725851,110479.599,11.5405537119218,326.558527391668,136453.9812,11.7424815460368,362.390301940093,150947.1828,11.9246852718273,388.519218057486,169674.9642,12.035511243047,411.286534547214,184657.18932,12.1241720200227,429.500387738997,188402.7456,12.1463372142666,434.053851036942
"tenellus","G.tenellus",27,"A",9,24186.48313,10.0935492077514,155.520040927207,30041.64044,10.310339712909,173.325244670244,33869.0580822222,10.4120384747486,183.19170131675,32629.20996,10.3929631772195,180.635572244229,34531.76107,10.4496347902419,185.827234467933,45276.54974,10.7201367800449,212.761225882831,46327.91132,10.7434998947266,215.239195594111
"tenellus","G.tenellus",27,"B",10,21779.7408,9.98873549558969,147.579608347495,24239.2806,10.093803537477,155.613886826148,28946.02104,10.256555252023,169.425540280888,28922.058,10.2713204608699,170.020691037262,31937.4072,10.3715300422678,178.710257515044,36774.9459,10.5057248331952,191.441808900977,40624.0092,10.6121145304115,201.553985820177
"truncatulinoides","G.truncatulinoides",27,"A",3,74873.67824,11.2235576823738,273.630550633514,156422.95247,11.8017334668401,380.727260825875,213280.730046667,12.1003903410835,444.4301372487,237972.2267,12.3799092513065,487.823971018235,282484.25595,12.5388066704383,529.829930556294,318093.87935,12.6659246057438,563.43469818674,326996.2852,12.6977040895702,571.835890094352
